"Common.Name","Scientific.Name","Endemic.Near.Endemic","Long.Term.Trend","Current.Annual.Change","Range.Size","Long.Term.Status","Current.Status","Range.Status","Concern.Status","WLPA.Schedule","IUCN"
"White-bellied Minivet","Pericrocotus erythropygius","X","","-8.36±9.55","13.58±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Long-tailed Minivet","Pericrocotus ethologus","","-29.06±29.83","-7.21±5.78","29.35±0.07","Uncertain","Moderate Decline","Large","Moderate","Schedule-IV","LC"
"Scarlet Minivet","Pericrocotus flammeus","X","-49.88±25.1","-7.23±6.66","19.68±0.04","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Coal Tit","Periparus ater","","-35.2±51.78","-3.31±13.41","12.75±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Rufous-vented Tit","Periparus rubidiventris","","","-3.17±24.21","6.11±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Rufous-naped Tit","Periparus rufonuchalis","","","-7.37±12.48","9.75±0.09","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Oriental Honey-buzzard","Pernis ptilorhynchus","","-2.18±16.58","-5.2±2.29","163.28±0.14","Stable","Strong Decline","Very Large","Low","Schedule-I","LC"
"Streak-throated Swallow","Petrochelidon fluvicola","","-22.59±20.32","7.16±5.33","111.17±0.13","Stable","Strong Increase","Very Large","Low","Schedule-IV","LC"
"Green-billed Malkoha","Phaenicophaeus tristis","","24.33±71.69","4.51±11.96","20.98±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Blue-faced Malkoha","Phaenicophaeus viridirostris","X","-11.95±31.7","-4.77±5.17","45.92±0.06","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Great Cormorant","Phalacrocorax carbo","","-3.25±21.52","-0.76±3.66","24.43±0.08","Stable","Uncertain","Moderate","Low","Schedule-IV","LC"
"Indian Cormorant","Phalacrocorax fuscicollis","","67.97±30.41","-6.2±2.19","151.49±0.11","Moderate Increase","Strong Decline","Very Large","Low","Schedule-IV","LC"
"Lesser Flamingo","Phoeniconaias minor","","","-2.23±19.75","2.23±0.08","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","NT"
"Greater Flamingo","Phoenicopterus roseus","","53.97±72.43","-2.99±8.54","8.52±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Blue-capped Redstart","Phoenicurus coeruleocephala","","","8.13±24.58","12.11±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"White-winged Redstart","Phoenicurus erythrogastrus","","","-16.45±12.78","7.18±0.06","Data Deficient","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"Blue-fronted Redstart","Phoenicurus frontalis","","-56.63±37.63","3.44±17.34","16.64±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Plumbeous Water-redstart","Phoenicurus fuliginosus","","-25.04±32.09","-9.49±5.12","26.06±0.06","Uncertain","Strong Decline","Large","Moderate","Schedule-IV","LC"
"White-capped Water-redstart","Phoenicurus leucocephalus","","-28.77±30.93","-3.67±6.78","29.63±0.06","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Black Redstart","Phoenicurus ochruros","","-45.86±18.25","-4.18±5.37","81.29±0.08","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Mountain Tailorbird","Phyllergates cucullatus","","","0.49±51.33","8.89±0.11","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Tickell's Leaf-warbler","Phylloscopus affinis","","-58.19±41.03","-2.67±16.36","11.55±0.12","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Green-crowned Warbler","Phylloscopus burkii","","","","1.15±0.12","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Yellow-vented Warbler","Phylloscopus cantator","X","","","7.78±0.12","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Chestnut-crowned Warbler","Phylloscopus castaniceps","","","4±41.1","8.09±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Lemon-rumped Leaf-warbler","Phylloscopus chloronotus","","-60.02±29.03","-4.83±11.88","21.61±0.08","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Common Chiffchaff","Phylloscopus collybita","","-35.32±22.2","1.79±6.28","71.02±0.13","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Smoky Warbler","Phylloscopus fuligiventer","","","","0.98±0.09","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Dusky Warbler","Phylloscopus fuscatus","","","9.28±16.39","12.05±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Sulphur-bellied Warbler","Phylloscopus griseolus","","-57.95±77.79","1.69±34.58","3.67±0.14","Uncertain","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Hume's Leaf-warbler","Phylloscopus humei","","-8.63±41.17","17.07±12.3","31.88±0.07","Uncertain","Strong Increase","Large","Low","Schedule-IV","LC"
"Yellow-browed Warbler","Phylloscopus inornatus","","","-16.02±8.6","10.19±0.07","Data Deficient","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"White-spectacled Warbler","Phylloscopus intermedius","","","-11.05±36.79","7.36±0.1","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Ashy-throated Warbler","Phylloscopus maculipennis","","-31.1±64.81","-0.49±17.27","12.62±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Large-billed Leaf-warbler","Phylloscopus magnirostris","","-89.46±37.43","-7.84±54.51","9.97±0.05","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Western Crowned Leaf-warbler","Phylloscopus occipitalis","","-73.17±20.54","3.94±16.12","5.12±0.07","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Grey-cheeked Warbler","Phylloscopus poliogenys","","","-0.44±56.64","6.36±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Buff-barred Warbler","Phylloscopus pulcher","","-43.65±74.39","0.39±25.36","14.14±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Blyth's Leaf-warbler","Phylloscopus reguloides","","-69.65±64.49","-11.73±25.69","5.67±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Mountain Chiffchaff","Phylloscopus sindianus","","","","5.59±0.06","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Brooks's Leaf-warbler","Phylloscopus subviridis","","","","1.03±0.08","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Greenish Warbler","Phylloscopus trochiloides","","-44.82±15.12","2.75±5.35","92.17±0.08","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Tytler's Leaf-warbler","Phylloscopus tytleri","","","-5.12±59.39","0.51±0.08","Data Deficient","Uncertain","Very Restricted","High","Schedule-IV","NT"
"Whistler's Warbler","Phylloscopus whistleri","","22.18±141.22","-10.19±14.91","17.84±0.09","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Grey-hooded Warbler","Phylloscopus xanthoschistos","X","-14.56±42.58","-5.35±7.32","22.3±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Grey-capped Woodpecker","Picoides canicapillus","","-30.05±33.68","-7.68±6.14","21.25±0.1","Uncertain","Moderate Decline","Moderate","Moderate","Schedule-IV","LC"
"Indian Pygmy Woodpecker","Picoides nanus","X","-59.49±11.2","-3.95±4.41","67.89±0.09","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Speckled Piculet","Picumnus innominatus","","-29.07±32.68","2.71±8.78","29.35±0.08","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Grey-faced Woodpecker","Picus canus","","15.96±52.26","6.74±9.27","20.28±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Lesser Yellownape","Picus chlorolophus","","-17.55±27.56","2.35±5.88","37.21±0.07","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Scaly-bellied Woodpecker","Picus squamatus","X","","-5.81±10.38","12.58±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Streak-throated Woodpecker","Picus xanthopygaeus","","29.08±56.47","-6.17±5.81","28.79±0.07","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Indian Pitta","Pitta brachyura","X","-33.14±30.09","3.19±8.65","29.75±0.07","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Eurasian Spoonbill","Platalea leucorodia","","-14.88±26.8","-4.07±4.9","23.74±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-I","LC"
"Glossy Ibis","Plegadis falcinellus","","139.63±62.76","-0.15±4.11","98.47±0.08","Strong Increase","Uncertain","Large","Low","Schedule-IV","LC"
"Black-breasted Weaver","Ploceus benghalensis","X","","-0.13±8.22","32.24±0.09","Data Deficient","Uncertain","Large","Low","Schedule-IV","LC"
"Streaked Weaver","Ploceus manyar","","-38.74±27.81","-10.5±5.21","38.7±0.1","Uncertain","Strong Decline","Large","Moderate","Schedule-IV","LC"
"Finn's Weaver","Ploceus megarhynchus","X","","","1.89±0.08","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Baya Weaver","Ploceus philippinus","","-2.09±18.97","-4.76±2.77","157.97±0.11","Stable","Moderate Decline","Very Large","Low","Schedule-IV","LC"
"Pacific Golden Plover","Pluvialis fulva","","-88.46±5.84","-11.18±5.95","16.83±0.05","Strong Decline","Strong Decline","Moderate","High","Schedule-IV","LC"
"Grey Plover","Pluvialis squatarola","","-86.79±17.3","-3.39±21.82","5.34±0.04","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Scaly-breasted Cupwing","Pnoepyga albiventer","","","-4.29±120.6","10.22±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Nepal Cupwing","Pnoepyga immaculata","X","","","3.24±0.16","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Pygmy Cupwing","Pnoepyga pusilla","","","6.11±32.45","8.74±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Great Crested Grebe","Podiceps cristatus","","-59.12±49.05","5.3±25.79","14.62±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Indian Scimitar-babbler","Pomatorhinus horsfieldii","X","-56.31±15.75","-2.2±6.05","27.58±0.05","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Streak-breasted Scimitar-babbler","Pomatorhinus ruficollis","","","5.85±31.73","7±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"White-browed Scimitar-babbler","Pomatorhinus schisticeps","","","-2.28±10.99","14.71±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Slender-billed Scimitar-babbler","Pomatorhinus superciliaris","","","","3.62±0.1","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Black-throated Prinia","Prinia atrogularis","X","","","4.87±0.08","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Rufous-fronted Prinia","Prinia buchanani","X","-74.57±10.94","-9.92±5.22","34.51±0.1","Strong Decline","Strong Decline","Large","High","Schedule-IV","LC"
"Grey-crowned Prinia","Prinia cinereocapilla","X","","","0.38","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","VU"
"Striated Prinia","Prinia crinigera","","-31.4±42.19","9.68±13.5","16.2±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Yellow-bellied Prinia","Prinia flaviventris","","","-3.13±9.9","18.02±0.09","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Graceful Prinia","Prinia gracilis","","","14.34±13.2","26±0.09","Data Deficient","Moderate Increase","Large","Low","Schedule-IV","LC"
"Grey-breasted Prinia","Prinia hodgsonii","","-37.54±12.76","-1.5±3.41","119.03±0.1","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Plain Prinia","Prinia inornata","","120.82±37.75","-0.68±2.63","176.37±0.1","Strong Increase","Uncertain","Very Large","Low","Schedule-IV","LC"
"Ashy Prinia","Prinia socialis","X","104.72±36.98","-0.15±2.81","167.98±0.07","Strong Increase","Uncertain","Very Large","Low","Schedule-IV","LC"
"Jungle Prinia","Prinia sylvatica","X","-36.86±18.88","-1.56±4.95","92.55±0.1","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Dark-breasted Rosefinch","Procarduelis nipalensis","","","0.02±18.94","8.13±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black-throated Accentor","Prunella atrogularis","","","","5.82±0.08","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Alpine Accentor","Prunella collaris","","","-0.69±21.5","10.55±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Altai Accentor","Prunella himalayana","","","","2.49±0.08","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Maroon-backed Accentor","Prunella immaculata","","","","1.73±0.07","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Robin Accentor","Prunella rubeculoides","","","-8.07±22.61","9.03±0.1","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Rufous-breasted Accentor","Prunella strophiata","","-50.01±42.07","-7.67±11.84","14.42±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Long-tailed Broadbill","Psarisomus dalhousiae","","","7.4±22.2","9.18±0.05","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Red-naped Ibis","Pseudibis papillosa","X","100.53±46.61","-2.44±3.42","136.12±0.08","Strong Increase","Uncertain","Very Large","Low","Schedule-IV","LC"
"Blue-throated Barbet","Psilopogon asiaticus","","17.32±41.14","3.91±6.64","34.79±0.05","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Black-eared Barbet","Psilopogon duvaucelii","","","3.11±35.59","11.34±0.15","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Golden-throated Barbet","Psilopogon franklinii","","","-15.39±8.64","7.6±0.07","Data Deficient","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"Coppersmith Barbet","Psilopogon haemacephalus","","4.22±15.51","3.14±2.85","173.51±0.08","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Lineated Barbet","Psilopogon lineatus","","-18.02±33.12","-2.6±6.39","21.28±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Malabar Barbet","Psilopogon malabaricus","X","-62.17±24.05","-8.06±8.65","9.4±0.03","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Great Barbet","Psilopogon virens","","33.86±53.89","2.23±7.06","23.64±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"White-cheeked Barbet","Psilopogon viridis","X","12.27±60.99","3.75±10.69","26.75±0.04","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Brown-headed Barbet","Psilopogon zeylanicus","X","22.58±34.41","1.45±4.92","79.66±0.07","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Red-breasted Parakeet","Psittacula alexandri","","18.42±84.43","-5.08±10.5","12.13±0.05","Uncertain","Uncertain","Moderate","Moderate","Schedule-IV","NT"
"Nicobar Parakeet","Psittacula caniceps","X","","","0.1","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","NT"
"Malabar Parakeet","Psittacula columboides","X","-57.99±27.37","-5.42±9.61","13.14±0.03","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Plum-headed Parakeet","Psittacula cyanocephala","X","-30.53±14.32","-0.42±3.76","129.6±0.08","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Alexandrine Parakeet","Psittacula eupatria","","56.16±37.65","5.96±4.65","101.5±0.08","Uncertain","Moderate Increase","Very Large","Low","Schedule-IV","NT"
"Slaty-headed Parakeet","Psittacula himalayana","X","10.38±77.78","8.02±15.46","11.29±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Rose-ringed Parakeet","Psittacula krameri","","18.94±13.28","1.24±1.89","207.71±0.07","Stable","Stable","Very Large","Low","Schedule-IV","LC"
"Long-tailed Parakeet","Psittacula longicauda","X","","14.59±13.44","0.6±0.01","Data Deficient","Moderate Increase","Restricted","Low","Schedule-IV","VU"
"White-breasted Parrotbill","Psittiparus ruficeps","X","","","0.95±0.07","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Chestnut-bellied Sandgrouse","Pterocles exustus","","-53.13±18.42","0.5±7.57","41.74±0.08","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Painted Sandgrouse","Pterocles indicus","X","","-5.54±10.88","17.22±0.09","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black-headed Shrike-babbler","Pteruthius rufiventer","X","","","4.44±0.11","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Green Shrike-babbler","Pteruthius xanthochlorus","","","1.19±32.89","9.83±0.11","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Dusky Crag Martin","Ptyonoprogne concolor","","-24.62±17.42","8.15±5.33","104.72±0.08","Stable","Strong Increase","Very Large","Low","Schedule-IV","LC"
"Eurasian Crag Martin","Ptyonoprogne rupestris","","-77.49±22.62","-3.4±16.34","4.89±0.07","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Koklass Pheasant","Pucrasia macrolopha","","","","6.87±0.07","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Red-vented Bulbul","Pycnonotus cafer","","13.69±8.77","-0.39±1.19","221.73±0.07","Stable","Stable","Very Large","Low","Schedule-IV","LC"
"Red-whiskered Bulbul","Pycnonotus jocosus","","24.92±27.23","-0.06±3.59","113.5±0.06","Uncertain","Uncertain","Very Large","Low","Schedule-IV","LC"
"Himalayan Bulbul","Pycnonotus leucogenys","X","90.16±103.3","2.92±10.4","17.22±0.04","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"White-eared Bulbul","Pycnonotus leucotis","","-10.11±38.49","-1.63±7.66","34.5±0.07","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"White-browed Bulbul","Pycnonotus luteolus","X","-10.6±26.47","-0.35±5.16","65.01±0.06","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Yellow-throated Bulbul","Pycnonotus xantholaemus","X","","-11.21±9.75","9.37±0.06","Data Deficient","Moderate Decline","Moderate","Moderate","Schedule-IV","VU"
"Yellow-billed Chough","Pyrrhocorax graculus","","","1.85±16.8","12.69±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Red-billed Chough","Pyrrhocorax pyrrhocorax","","-47.7±42.3","6.37±18.5","12.68±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Gold-naped Finch","Pyrrhoplectes epauletta","X","","20.53±33","2.66±0.09","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Orange Bullfinch","Pyrrhula aurantiaca","X","","","2.24±0.1","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Red-headed Bullfinch","Pyrrhula erythrocephala","X","","","6.89±0.08","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Brown Bullfinch","Pyrrhula nipalensis","","","","4.91±0.12","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Andaman Crake","Rallina canningi","X","","","0.49±0.04","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Slaty-legged Crake","Rallina eurizonoides","","","","8.27±0.12","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Pied Avocet","Recurvirostra avosetta","","-26.55±37.02","-8.85±7.32","21.98±0.07","Uncertain","Moderate Decline","Moderate","Moderate","Schedule-IV","LC"
"Jerdon's Courser","Rhinoptilus bitorquatus","X","","","","Data Deficient","Data Deficient","Data Deficient","High","Schedule-I","CR"
"White-throated Fantail","Rhipidura albicollis","","52.22±56.83","1.69±6.49","36.82±0.07","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"White-spotted Fantail","Rhipidura albogularis","X","44.66±51.52","15.78±8.39","47.14±0.07","Uncertain","Strong Increase","Large","Low","Schedule-IV","LC"
"White-browed Fantail","Rhipidura aureola","","-33±18.51","-3.76±4.25","85.54±0.09","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Dark-fronted Babbler","Rhopocichla atriceps","X","-79.21±12.57","-6.67±8.68","9.58±0.03","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Narcondam Hornbill","Rhyticeros narcondami","X","","","0","Data Deficient","Data Deficient","Restricted","High","Schedule-I","EN"
"Wreathed Hornbill","Rhyticeros undulatus","","","","2.96±0.05","Data Deficient","Data Deficient","Restricted","High","Schedule-I","VU"
"Long-billed Wren-babbler","Rimator malacoptilus","X","","","1.49±0.06","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Asian Plain Martin","Riparia chinensis","","-36.59±22.76","3±6.99","57.56±0.09","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Greater Painted-snipe","Rostratula benghalensis","","-51.74±15.2","-3.3±4.78","84.3±0.15","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Black-crested Bulbul","Rubigula flaviventris","","7.61±50.87","5.38±9.82","23.03±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Flame-throated Bulbul","Rubigula gularis","X","-68.56±21.31","-4.73±9.92","9.61±0.03","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Indian Skimmer","Rynchops albicollis","","","","3.48±0.06","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Indian Spotted Creeper","Salpornis spilonota","X","","","3.61±0.1","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Red-headed Vulture","Sarcogyps calvus","","-81.11±9.63","-17.77±4.22","17.71±0.07","Strong Decline","Strong Decline","Moderate","High","Schedule-IV","CR"
"African Comb Duck","Sarkidiornis melanotos","","1.29±31.15","-6.02±4.43","81.23±0.08","Uncertain","Moderate Decline","Large","Moderate","Schedule-IV","LC"
"Spot-winged Starling","Saroglossa spilopterus","","","","1.06±0.05","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"White-browed Piculet","Sasia ochracea","","","-5.33±32.07","9.13±0.1","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Pied Bushchat","Saxicola caprata","","11.36±20.09","-3.01±2.91","61.87±0.07","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Grey Bushchat","Saxicola ferreus","","9.79±53.41","-6.42±6.95","29.84±0.06","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"White-throated Bushchat","Saxicola insignis","","","","","Data Deficient","Data Deficient","Data Deficient","High","Schedule-IV","VU"
"White-browed Bushchat","Saxicola macrorhynchus","X","","","5.28±0.08","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","VU"
"Indian Robin","Saxicoloides fulicatus","X","-7.24±14.51","-1.78±2.59","180.96±0.07","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Broad-tailed Grassbird","Schoenicola platyurus","X","","","2.52±0.08","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Yellow-throated Fulvetta","Schoeniparus cinereus","X","","","2.45±0.05","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Rufous-throated Fulvetta","Schoeniparus rufogularis","","","","0.69±0.07","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Red-fronted Serin","Serinus pusillus","","","12.95±23.32","13.31±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"White-bellied Sholakili","Sholicola albiventris","X","-12.3±167.67","1.08±28.88","1.07±0.03","Uncertain","Uncertain","Restricted","High","Schedule-IV","VU"
"Nilgiri Blue Sholakili","Sholicola major","X","","19.19±62.45","1.6±0.04","Data Deficient","Uncertain","Restricted","High","Schedule-IV","EN"
"Hoary-throated Barwing","Sibia nipalensis","X","","-8.91±12.7","1.53±0.05","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Streak-throated Barwing","Sibia waldeni","X","","12.58±34.99","3.28±0.11","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Kashmir Nuthatch","Sitta cashmirensis","X","","","1.68±0.09","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Indian Nuthatch","Sitta castanea","X","-74.25±13.09","-8.32±6.58","24.92±0.09","Strong Decline","Moderate Decline","Moderate","High","Schedule-IV","LC"
"Chestnut-bellied Nuthatch","Sitta cinnamoventris","","3.09±47.9","1.06±8.19","18.31±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Beautiful Nuthatch","Sitta formosa","","","","1.97±0.08","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Velvet-fronted Nuthatch","Sitta frontalis","","-62.04±12.72","-5.54±4.75","31.33±0.06","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"White-tailed Nuthatch","Sitta himalayensis","X","-53.23±30.48","-2.7±10.12","9.99±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"White-cheeked Nuthatch","Sitta leucopsis","X","","","6.97±0.12","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Blue-winged Minla","Siva cyanouroptera","","","-2.1±19.33","10.59±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Northern Shoveler","Spatula clypeata","","-27.92±23.26","0.21±5.82","92.08±0.08","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Garganey","Spatula querquedula","","-35.76±18.62","1.53±5.2","78.4±0.09","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Rusty-throated Wren-babbler","Spelaeornis badeigularis","X","","","0.71±0.07","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Rufous-throated Wren-babbler","Spelaeornis caudatus","X","","","1.65±0.04","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","NT"
"Naga Wren-babbler","Spelaeornis chocolatinus","X","","","0.31","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","NT"
"Tawny-breasted Wren-babbler","Spelaeornis longicaudatus","X","","","0.12","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","VU"
"Bar-winged Wren-babbler","Spelaeornis troglodytoides","","","","0.56±0.03","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","LC"
"Eastern Spotted Dove","Spilopelia chinensis","","17.17±15.23","-2.09±1.99","200.67±0.08","Stable","Stable","Very Large","Low","Schedule-IV","LC"
"Laughing Dove","Spilopelia senegalensis","","8.5±18.69","-1.27±2.9","181.27±0.06","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Crested Serpent-eagle","Spilornis cheela","","-21.22±16.33","-6.36±2.88","111.66±0.09","Stable","Strong Decline","Very Large","Low","Schedule-I","LC"
"Andaman Serpent-eagle","Spilornis elgini","X","","-4.68±9.93","0.48±0.02","Data Deficient","Uncertain","Restricted","High","Schedule-I","VU"
"Great Nicobar Serpent-eagle","Spilornis klossi","X","","","0.1","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-I","NT"
