"Common.Name","Scientific.Name","Endemic.Near.Endemic","Long.Term.Trend","Current.Annual.Change","Range.Size","Long.Term.Status","Current.Status","Range.Status","Concern.Status","WLPA.Schedule","IUCN"
"Peregrine Falcon","Falco peregrinus","","-34.97±20.51","-3.6±4.76","17.67±0.15","Stable","Uncertain","Moderate","Low","Schedule-I","LC"
"Eurasian Hobby","Falco subbuteo","","","-1.83±54.62","4.75±0.27","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Common Kestrel","Falco tinnunculus","","-56.7±9.24","-12.9±2.28","19.26±0.08","Moderate Decline","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"Pygmy Blue-flycatcher","Ficedula hodgsoni","","","","6.45±0.13","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Snowy-browed Flycatcher","Ficedula hyperythra","","","-1.87±63.29","11.93±0.14","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black-and-orange Flycatcher","Ficedula nigrorufa","X","","3.78±16.6","3.31±0.04","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Red-breasted Flycatcher","Ficedula parva","","-28.1±24.69","-4.37±5.38","68.87±0.09","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Rusty-tailed Flycatcher","Ficedula ruficauda","","-74.79±85.16","-10.98±41.27","1.79±0.2","Uncertain","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Sapphire Flycatcher","Ficedula sapphira","","","","5.85±0.11","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Rufous-gorgeted Flycatcher","Ficedula strophiata","","-52.03±38.49","-5.3±11.77","16.8±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Kashmir Flycatcher","Ficedula subrubra","X","","","0.93±0.04","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Ultramarine Flycatcher","Ficedula superciliaris","","-31.01±36.85","-0.93±9.33","6.74±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Slaty-blue Flycatcher","Ficedula tricolor","","-44.67±42.77","-4.83±11.85","18.82±0.12","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Little Pied Flycatcher","Ficedula westermanni","","-52.54±34.53","-1.75±12.29","13.94±0.1","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black Francolin","Francolinus francolinus","","-33.76±28.38","0.06±7.85","35.48±0.09","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Swamp Francolin","Francolinus gularis","X","","","3.39±0.09","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Painted Francolin","Francolinus pictus","X","","2.64±9.24","40.25±0.1","Data Deficient","Uncertain","Large","Low","Schedule-IV","LC"
"Grey Francolin","Francolinus pondicerianus","","5.4±19.24","2.44±3.5","154.91±0.07","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Common Coot","Fulica atra","","12.62±21.7","-6.62±2.4","37.13±0.08","Stable","Strong Decline","Large","Moderate","Schedule-IV","LC"
"Brown-throated Fulvetta","Fulvetta ludlowi","X","","-4.03±22.64","0.8±0.05","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"White-browed Fulvetta","Fulvetta vinipectus","","","","3.49±0.06","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Crested Lark","Galerida cristata","","-61.47±12.95","-1.63±5.72","41.13±0.08","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Sykes's Lark","Galerida deva","X","","-5.18±6.82","31.87±0.09","Data Deficient","Uncertain","Large","Low","Schedule-IV","LC"
"Malabar Lark","Galerida malabarica","X","-59.8±26.15","-10.02±8.21","15.86±0.05","Moderate Decline","Moderate Decline","Moderate","Moderate","Schedule-IV","LC"
"Watercock","Gallicrex cinerea","","","-12.32±7.71","14.19±0.06","Data Deficient","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"Common Snipe","Gallinago gallinago","","-43.25±19.21","-0.55±5.58","35.27","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Pintail Snipe","Gallinago stenura","","-66±22.68","-6.09±9.06","16.18±0.08","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Common Moorhen","Gallinula chloropus","","41.44±31.13","-0.36±3.73","35.25±0.08","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Painted Spurfowl","Galloperdix lunulata","X","-33.3±35.74","-8.9±6.83","20.78±0.07","Uncertain","Moderate Decline","Moderate","Moderate","Schedule-IV","LC"
"Red Spurfowl","Galloperdix spadicea","X","-34.52±20.63","-3.13±4.88","36.34±0.07","Stable","Uncertain","Large","Low","Schedule-IV","LC"
