GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,OBSERVATION COUNT,BREEDING BIRD ATLAS CODE,BREEDING BIRD ATLAS CATEGORY,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID, LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS349478307,11/13/2018 14:28,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,2,,,,India,IN,Karnataka,IN-KA,Bangalore,IN-KA-BN,,,,,Eagle owl Place,L3971447,P,12.921167,77.527437,10/24/2015,12:19:00,obsr599170,S25524428,Stationary,P21,EBIRD,19,,,2,1,G1444416,1,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS368776530,11/15/2018 13:54,9131,species,Great Hornbill,Buceros bicornis,,,2,,,,India,IN,Karnataka,IN-KA,Uttara Kannada,IN-KA-UK,,,,,Navalse,L4192319,P,14.6346627,74.4487238,5/1/2015,6:30:00,obsr684366,S27129119,Traveling,P22,EBIRD,240,6,,4,1,G1574461,1,1,1,,,Saw a male and a female sitting atop a really tall tree at the edge of the forest. Female distinguishable from the male by the red skin surrounding the eyes.
URN:CornellLabOfOrnithology:EBIRD:OBS369310896,11/15/2018 13:55,9131,species,Great Hornbill,Buceros bicornis,,,2,,,,India,IN,Karnataka,IN-KA,Uttara Kannada,IN-KA-UK,,,,,Navalse,L4192319,P,14.6346627,74.4487238,5/1/2015,6:30:00,obsr685374,S27175628,Traveling,P22,EBIRD,240,6,,4,1,G1574461,1,1,1,,,Saw a male and a female sitting atop a really tall tree at the edge of the forest. Female distinguishable from the male by the red skin surrounding the eyes.
URN:CornellLabOfOrnithology:EBIRD:OBS469932207,11/13/2018 14:15,9131,species,Great Hornbill,Buceros bicornis,,,1,,,,India,IN,Tamil Nadu,IN-TN,Coimbatore,IN-TN-CO,,,,,Upasi - GHS Cinchona,L4849892,P,10.2779308,76.9778323,2/18/2017,8:00:00,obsr791113,S34752338,Traveling,P22,EBIRD_IND,30,8,,2,1,G2236680,0,1,0,,"Submitted by Santhosh, arulmanikandan",
URN:CornellLabOfOrnithology:EBIRD:OBS471271910,11/13/2018 14:15,9131,species,Great Hornbill,Buceros bicornis,,,3,,,,India,IN,Tamil Nadu,IN-TN,Coimbatore,IN-TN-CO,,,,,Upasi - GHS Cinchona,L4849892,P,10.2779308,76.9778323,2/17/2017,6:45:00,obsr660861,S34861876,Stationary,P21,EBIRD_IND,90,,,1,1,,0,1,0,,Submitted by Ranjitha 9th for Gbbc17,
URN:CornellLabOfOrnithology:EBIRD:OBS470309289,11/13/2018 14:15,9131,species,Great Hornbill,Buceros bicornis,,,1,,,,India,IN,Tamil Nadu,IN-TN,Coimbatore,IN-TN-CO,,,,,Upasi - GHS Cinchona,L4849892,P,10.2779308,76.9778323,2/18/2017,8:00:00,obsr660861,S34785433,Traveling,P22,EBIRD_IND,30,8,,2,1,G2236680,0,1,0,,"Submitted by Santhosh, arulmanikandan",
URN:CornellLabOfOrnithology:EBIRD:OBS473305827,11/13/2018 14:14,9131,species,Great Hornbill,Buceros bicornis,,,1,,,,India,IN,Kerala,IN-KL,Thrissur,IN-KL-TS,,,,,Chimmony WL--Mankuzhi,L4814211,H,10.4522099,76.4835548,3/5/2017,6:53:00,obsr854109,S35018640,Traveling,P22,EBIRD_IND,15,0.1,,3,1,G2259344,0,1,0,,,I'd by Raphy Kallettumkara
URN:CornellLabOfOrnithology:EBIRD:OBS473333071,11/13/2018 14:14,9131,species,Great Hornbill,Buceros bicornis,,,2,,,,India,IN,Kerala,IN-KL,Thrissur,IN-KL-TS,,,,,Chimmony WL--Mankuzhi,L4814211,H,10.4522099,76.4835548,3/4/2017,7:55:00,obsr456476,S35020537,Traveling,P22,EBIRD_IND,15,0.1,,3,1,G2259555,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS473333682,11/13/2018 14:14,9131,species,Great Hornbill,Buceros bicornis,,,1,,,,India,IN,Kerala,IN-KL,Thrissur,IN-KL-TS,,,,,Chimmony WL--Mankuzhi,L4814211,H,10.4522099,76.4835548,3/5/2017,6:53:00,obsr456476,S35020605,Traveling,P22,EBIRD_IND,15,0.1,,3,1,G2259344,0,1,0,,,I'd by Raphy Kallettumkara
URN:CornellLabOfOrnithology:EBIRD:OBS473080625,11/13/2018 14:14,9131,species,Great Hornbill,Buceros bicornis,,,1,,,,India,IN,Kerala,IN-KL,Thrissur,IN-KL-TS,,,,,Chimmony WL--Mankuzhi,L4814211,H,10.4522099,76.4835548,3/5/2017,6:53:00,obsr548151,S35001010,Traveling,P22,EBIRD_IND,15,0.1,,3,1,G2259344,0,1,0,,,I'd by Raphy Kallettumkara
