eBird English Name,eBird Scientific Name,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Breeding Period,Ground Nester (Open),Ground Nester (Concealed),Canopy Nester,mid story/Shrub/thicket nester,Earthen Cavity nester,Tree Cavity Nester,Cliff Nester,Nest in urban structures,Nest in urban gardens,Area of distribution range (sq. km.),Remarks
Himalayan Griffon,Gyps himalayensis,0,0,0,0,0,100,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
White-rumped Vulture,Gyps bengalensis,0,0,0,0,0,100,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Indian Vulture,Gyps indicus,0,0,0,0,0,100,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Slender-billed Vulture,Gyps tenuirostris,0,0,0,0,0,100,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Eurasian Griffon,Gyps fulvus,0,0,0,0,0,100,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Cinereous Vulture,Aegypius monachus,0,0,0,0,0,100,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Mountain Hawk-Eagle,Nisaetus nipalensis,0,80,20,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Legge's Hawk-Eagle,Nisaetus kelaarti,0,80,20,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,,,,,,,,,,,,,,,,,,,,,,,,
Changeable Hawk-Eagle,Nisaetus limnaeetus,0,50,50,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,,,,,,,,,,,,,,,,,,,,,,,,
Crested Hawk-Eagle,Nisaetus cirrhatus,0,50,50,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,50,20,30,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Rufous-bellied Eagle,Lophotriorchis kienerii,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,50,20,10,10,10,0,Ref_2,1,Other,,,,,,,,,,,,
Black Eagle,Ictinaetus malaiensis,0,50,50,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,,,,,,,,,,,,,,,,,,,,,,,,
Indian Spotted Eagle,Clanga hastata,10,50,20,10,0,10,0,0,0,0,VertFishScav,Ref_2,A,,,,,,,,,,,,,,,,,,,,,,,,
Greater Spotted Eagle,Clanga clanga,10,50,20,10,0,10,0,0,0,0,VertFishScav,Ref_2,A,,,,,,,,,,,,,,,,,,,,,,,,
Tawny Eagle,Aquila rapax,10,50,20,10,0,10,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Steppe Eagle,Aquila nipalensis,0,90,0,0,0,10,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Imperial Eagle,Aquila heliaca,0,70,20,0,0,10,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Golden Eagle,Aquila chrysaetos,0,80,10,0,0,10,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Bonelli's Eagle,Aquila fasciata,0,80,10,0,0,10,0,0,0,0,VertFishScav,Ref_2,A,,,,,,,,,,,,,,,,,,,,,,,,
Booted Eagle,Hieraaetus pennatus,10,90,0,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Eurasian Marsh-Harrier,Circus aeruginosus,10,60,20,10,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Eastern Marsh-Harrier,Circus spilonotus,0,80,10,10,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Hen Harrier,Circus cyaneus,10,70,10,0,0,10,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Pallid Harrier,Circus macrourus,20,70,10,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Pied Harrier,Circus melanoleucos,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Montagu's Harrier,Circus pygargus,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Crested Goshawk,Accipiter trivirgatus,20,60,20,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,33,33,33,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Shikra,Accipiter badius,10,30,60,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,50,0,50,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Nicobar Sparrowhawk,Accipiter butleri,10,0,90,0,0,0,0,0,0,0,VertFishScav,Ref_2,B,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Chinese Sparrowhawk,Accipiter soloensis,10,20,70,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Japanese Sparrowhawk,Accipiter gularis,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,10,10,60,10,10,0,Ref_2,1,Other,,,,,,,,,,,,
Besra,Accipiter virgatus,20,60,20,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,50,0,30,20,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Eurasian Sparrowhawk,Accipiter nisus,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,20,20,20,20,20,0,Ref_2,1,Jessica,,,,,,,,,,,,
Northern Goshawk,Accipiter gentilis,0,90,10,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
White-bellied Sea-Eagle,Haliaeetus leucogaster,0,40,20,20,0,20,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,30,40,30,0,0,0,0,0,Ref_2,1,Morgane; Walter,,,,,,,,,,,,
Pallas's Fish-Eagle,Haliaeetus leucoryphus,0,10,10,60,0,20,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,40,50,10,0,0,0,0,0,Ref_2,1,Morgane; Walter,,,,,,,,,,,,
White-tailed Eagle,Haliaeetus albicilla,0,30,0,40,0,30,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,50,20,0,20,0,10,0,Ref_2,1,Morgane; Walter,,,,,,,,,,,,
