species,detprobB,occB,occB.ci,trivB,sampareaB,detprobM,occM,occM.ci,trivM,sampareaM,migstatus
European Goldfinch,0.03,11.5359172,0.073,6.191,238.2723,NA,NA,NA,NA,NA,R
Fire-fronted Serin,0.043,13.3102318,0.0718,7.7188,238.2723,NA,NA,NA,NA,NA,R
Crested Bunting,0.04,10.4925361,0.0692,5.3009,149.858,0.017,8.7379521,0.0825,3.7478,196.9801,LM
Black-headed Bunting,NA,NA,NA,NA,NA,0.015,15.7617643,0.0767,7.1124,219.6426,W/P
Red-headed Bunting,NA,NA,NA,NA,NA,0.008,16.771658,0.0911,7.4541,224.4491,W/P
Rock Bunting,0.077,18.8845207,0.0539,13.6769,238.2723,NA,NA,NA,NA,NA,R
Chestnut-breasted Bunting,0.219,0.7528218,0.0848,0.368,149.858,0.025,6.1529896,0.0662,3.436,196.9801,LM
Gray-necked Bunting,NA,NA,NA,NA,NA,0.016,13.5539488,0.0738,6.2252,224.4491,W/P
House Sparrow,0.183,113.2427374,0.0943,75.4365,149.858,0.158,168.6543546,0.0953,115.8315,196.9801,LM
Sind Sparrow,0.031,6.8524558,0.0637,3.8385,238.2723,NA,NA,NA,NA,NA,R
Russet Sparrow,0.124,21.0505426,0.051,14.8466,238.2723,NA,NA,NA,NA,NA,R
Eurasian Tree Sparrow,0.099,18.2531676,0.0575,11.5192,238.2723,NA,NA,NA,NA,NA,R
Streaked Weaver,0.006,38.7014775,0.0989,16.3061,238.2723,NA,NA,NA,NA,NA,R
Baya Weaver,0.048,157.9742045,0.1078,90.7826,238.2723,NA,NA,NA,NA,NA,R
Bengal Weaver,0.015,32.2442885,0.0897,14.3222,238.2723,NA,NA,NA,NA,NA,R
Red Avadavat,0.021,93.9219201,0.0965,47.2633,238.2723,NA,NA,NA,NA,NA,R
White-rumped Munia,0.033,72.2911162,0.0842,41.3664,238.2723,NA,NA,NA,NA,NA,R
Black-throated Munia,0.017,11.1418565,0.0384,8.724,238.2723,NA,NA,NA,NA,NA,R
Scaly-breasted Munia,0.058,166.225373,0.1123,96.8688,238.2723,NA,NA,NA,NA,NA,R
Tricolored Munia,0.014,95.7051818,0.1223,44.9348,238.2723,NA,NA,NA,NA,NA,R
Nepal House-Martin,0.022,2.7922101,0.0798,1.4809,149.858,0.015,3.9209805,0.1093,1.9179,196.9801,LM
Rusty-bellied Shortwing,0.009,2.2386757,0.1041,1.0833,238.2723,NA,NA,NA,NA,NA,R
Long-billed Pipit,NA,NA,NA,NA,NA,0.009,19.9968731,0.0901,7.3971,224.4491,W/P
Orange Bullfinch,0.015,2.2385453,0.0977,0.75,238.2723,NA,NA,NA,NA,NA,R
Blyth's Swift,0.017,1.2359222,0.0941,0.6173,149.858,0.001,2.6535455,0.0985,0.878,196.9801,LM
Common Tern,0.06,4.0941071,0.048,2.1538,149.858,0.014,8.0744032,0.0599,3.4302,196.9801,LM
Andaman Drongo,0.295,0.5788416,1.00E-04,0.5373,238.2723,NA,NA,NA,NA,NA,R
Bristled Grassbird,0.03,0.9582267,0.0405,0.4999,149.858,0,0.5035034,0.2777,0.25,196.9801,LM
Upland Pipit,0.005,8.6317672,0.1336,3.5625,238.2723,NA,NA,NA,NA,NA,R
Fork-tailed Drongo-Cuckoo,0.018,5.0003648,0.0842,2.6933,149.858,0.01,8.3658836,0.0616,4.7948,196.9801,LM
Chestnut Munia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R
Common Kingfisher,0.056,183.1182754,0.1177,111.1986,238.2723,NA,NA,NA,NA,NA,R
Clamorous Reed Warbler,0.005,7.4426266,0.091,2.7106,149.858,NA,NA,NA,33.3567,196.9801,LM
Chinese Rubythroat,0.292,0.1825799,0.0205,0.1157,149.858,NA,NA,NA,0.125,196.9801,LM
Tibetan Blackbird,0.009,0.9941747,0.2579,0.1875,149.858,NA,NA,NA,0.25,196.9801,LM
Temminck's Stint,NA,NA,NA,NA,NA,NA,NA,NA,29.2548,232.4067,W/P
Common Snipe,NA,NA,NA,NA,NA,NA,NA,NA,35.267,224.4491,W/P
Common Sandpiper,NA,NA,NA,NA,NA,NA,NA,NA,95.9124,238.2723,W/P
Marsh Sandpiper,NA,NA,NA,NA,NA,NA,NA,NA,33.1612,238.2723,W/P
Ward's Trogon,NA,NA,NA,0.2277,238.2723,NA,NA,NA,NA,NA,R
Mountain Bamboo-Partridge,0.106,3.1075897,0.0735,1.3149,238.2723,NA,NA,NA,NA,NA,R
Blood Pheasant,0.035,1.1155538,0.0503,0.4934,238.2723,NA,NA,NA,NA,NA,R
Ashy Wood-Pigeon,0.006,2.1100197,0.0769,0.9686,238.2723,NA,NA,NA,NA,NA,R
Jerdon's Baza,0.003,11.6227789,0.133,3.8036,238.2723,NA,NA,NA,NA,NA,R
Darjeeling Woodpecker,0.027,3.5521269,0.084,1.9122,238.2723,NA,NA,NA,NA,NA,R
Pale-headed Woodpecker,0.01,5.1596364,0.162,1.5747,238.2723,NA,NA,NA,NA,NA,R
Black-headed Shrike-Babbler,0.013,4.4434053,0.1115,1.6908,238.2723,NA,NA,NA,NA,NA,R
Black-browed Tit,0.021,2.6313149,0.0939,1.269,238.2723,NA,NA,NA,NA,NA,R
Hodgson's Treecreeper,0.012,11.3083468,0.1084,4.7309,238.2723,NA,NA,NA,NA,NA,R
Pale-footed Bush Warbler,0.002,1.5824875,0.1148,0.5388,238.2723,NA,NA,NA,NA,NA,R
Golden-spectacled Warbler,0.027,1.1469532,0.119,0.5054,149.858,NA,NA,NA,0.0625,196.9801,LM
Spotted Bush Warbler,0.011,2.6535167,0.0635,0.9963,238.2723,NA,NA,NA,NA,NA,R
Black-throated Prinia,0.039,4.8666102,0.0779,2.5255,238.2723,NA,NA,NA,NA,NA,R
White-browed Fulvetta,0.047,3.4891577,0.063,1.9682,238.2723,NA,NA,NA,NA,NA,R
Pale-billed Parrotbill,0.018,2.1596158,0.1017,0.9352,238.2723,NA,NA,NA,NA,NA,R
Black-throated Parrotbill,0.027,4.7458794,0.111,1.9833,238.2723,NA,NA,NA,NA,NA,R
White-naped Yuhina,0.033,4.4020982,0.0607,2.5113,238.2723,NA,NA,NA,NA,NA,R
Rufous-vented Yuhina,0.06,3.6226455,0.087,2.0943,238.2723,NA,NA,NA,NA,NA,R
Buff-chested Babbler,0.012,4.7938408,0.1491,1.725,238.2723,NA,NA,NA,NA,NA,R
Yellow-throated Fulvetta,0.055,2.4467539,0.0507,1.3253,238.2723,NA,NA,NA,NA,NA,R
Himalayan Cutia,0.022,3.3610847,0.0526,1.7421,238.2723,NA,NA,NA,NA,NA,R
Bhutan Laughingthrush,0.066,0.7958099,0.0679,0.6083,238.2723,NA,NA,NA,NA,NA,R
Red-tailed Minla,0.044,6.6607419,0.0983,2.9777,238.2723,NA,NA,NA,NA,NA,R
Rufous-backed Sibia,0.058,3.2090975,0.0692,1.6391,238.2723,NA,NA,NA,NA,NA,R
White-gorgeted Flycatcher,0.004,4.932822,0.2523,1.2795,238.2723,NA,NA,NA,NA,NA,R
Sapphire Flycatcher,0.01,5.8528744,0.1119,2.1626,238.2723,NA,NA,NA,NA,NA,R
Grandala,0.033,2.1249721,0.0517,1.2091,238.2723,NA,NA,NA,NA,NA,R
Long-tailed Thrush,0.002,5.5099758,0.1664,1.6963,238.2723,NA,NA,NA,NA,NA,R
Dark-sided Thrush,0.001,2.7237305,0.1889,0.6438,238.2723,NA,NA,NA,NA,NA,R
Himalayan Accentor,NA,NA,NA,NA,NA,0.017,2.4930553,0.0838,1.0375,214.9666,W/P
Black-throated Accentor,NA,NA,NA,NA,NA,0.026,5.8234612,0.0827,2.8125,208.3546,W/P
Maroon-backed Accentor,0.011,1.733759,0.0748,0.9242,238.2723,NA,NA,NA,NA,NA,R
Black-and-yellow Grosbeak,0.028,7.8294917,0.0733,4.1245,238.2723,NA,NA,NA,NA,NA,R
Spot-winged Grosbeak,0.013,6.424507,0.0789,2.9103,238.2723,NA,NA,NA,NA,NA,R
Crimson-browed Finch,0.012,2.3697482,0.0763,1.1523,238.2723,NA,NA,NA,NA,NA,R
Brown Bullfinch,0.006,4.9122206,0.1243,1.8962,238.2723,NA,NA,NA,NA,NA,R
Fire-capped Tit,0.005,4.0163889,0.0948,1.5548,238.2723,NA,NA,NA,NA,NA,R
