Rank,eBird Scientific Name 2019,Scientific Name
species,Penelope superciliaris,Penelope superciliaris
ssp,,
ssp,Penelope superciliaris superciliaris,
ssp,Penelope superciliaris jacupemba,
ssp,,
ssp,Penelope superciliaris major,
species,Penelope dabbenei,Penelope dabbenei
species,Penelope purpurascens,Penelope purpurascens
ssp,Penelope purpurascens purpurascens,
ssp,Penelope purpurascens aequatorialis,
ssp,Penelope purpurascens brunnescens,
species,Penelope perspicax,Penelope perspicax
ssp,,
species,Penelope albipennis,Penelope albipennis
species,Penelope jacquacu,Penelope jacquacu
ssp,Penelope jacquacu granti,
ssp,Penelope jacquacu orienticola,
ssp,Penelope jacquacu jacquacu,
ssp,Penelope jacquacu speciosa,
species,Penelope obscura,Penelope obscura
ssp,Penelope obscura bronzina,
ssp,Penelope obscura obscura,
ssp,Penelope obscura bridgesi,
species,Penelope pileata,Penelope pileata
species,Penelope ochrogaster,Penelope ochrogaster
species,Penelope jacucaca,Penelope jacucaca
species,Pipile pipile,Pipile pipile
ssp,,
species,Pipile cumanensis,Pipile cumanensis
ssp,Pipile cumanensis cumanensis,
species,,Pipile grayi
ssp,Pipile cumanensis grayi,
species,Pipile cujubi,Pipile cujubi
ssp,Pipile cujubi cujubi,
ssp,Pipile cujubi nattereri,
ssp,,
species,Pipile jacutinga,Pipile jacutinga
species,Aburria aburri,Aburria aburri
species,Chamaepetes unicolor,Chamaepetes unicolor
species,Chamaepetes goudotii,Chamaepetes goudotii
ssp,Chamaepetes goudotii goudotii,
ssp,Chamaepetes goudotii sanctaemarthae,
ssp,Chamaepetes goudotii fagani,
ssp,Chamaepetes goudotii tschudii,
ssp,Chamaepetes goudotii rufiventris,
species,Penelopina nigra,Penelopina nigra
species,Oreophasis derbianus,Oreophasis derbianus
species,Nothocrax urumutum,Nothocrax urumutum
species,Mitu tomentosum,Mitu tomentosum
species,Mitu salvini,Mitu salvini
species,Mitu tuberosum,Mitu tuberosum
species,Mitu mitu,Mitu mitu
species,Pauxi pauxi,Pauxi pauxi
ssp,Pauxi pauxi pauxi,
ssp,Pauxi pauxi gilliardi,
species,Pauxi unicornis,Pauxi unicornis
ssp,,
species,Pauxi koepckeae,Pauxi koepckeae
ssp,,
species,Crax rubra,Crax rubra
ssp,Crax rubra rubra,
ssp,Crax rubra griscomi,
species,Crax alberti,Crax alberti
ssp,,
species,Crax daubentoni,Crax daubentoni
ssp,,
species,Crax alector,Crax alector
ssp,Crax alector alector,
ssp,Crax alector erythrognatha,
species,Crax globulosa,Crax globulosa
species,Crax fasciolata,Crax fasciolata
ssp,Crax fasciolata fasciolata,
ssp,,
species,,Crax pinima
ssp,Crax fasciolata pinima,
ssp,Crax fasciolata grayi,
species,Crax blumenbachii,Crax blumenbachii
species,Agelastes meleagrides,Agelastes meleagrides
species,Agelastes niger,Agelastes niger
species,Numida meleagris,Numida meleagris
ssp,Numida meleagris sabyi,
ssp,Numida meleagris galeatus,
ssp,,
ssp,,
ssp,,
ssp,Numida meleagris meleagris,
ssp,,
ssp,,
ssp,,
ssp,,
ssp,,
ssp,Numida meleagris somaliensis,
ssp,Numida meleagris reichenowi,
ssp,Numida meleagris mitratus,
ssp,Numida meleagris marungensis,
ssp,,
ssp,,
ssp,Numida meleagris papillosus,
ssp,,
ssp,Numida meleagris coronatus,
ssp,,
species,Guttera plumifera,Guttera plumifera
ssp,Guttera plumifera plumifera,
ssp,Guttera plumifera schubotzi,
species,Guttera pucherani,Guttera pucherani
ssp,Guttera pucherani pucherani,
species,,Guttera verreauxi
ssp,Guttera pucherani verreauxi,
ssp,,
ssp,,
ssp,,
ssp,,
ssp,,
ssp,Guttera pucherani sclateri,
ssp,Guttera pucherani barbata,
ssp,,
species,,Guttera edouardi
ssp,Guttera pucherani edouardi,
species,Acryllium vulturinum,Acryllium vulturinum
species,Ptilopachus petrosus,Ptilopachus petrosus
ssp,Ptilopachus petrosus petrosus,
ssp,,
ssp,,
ssp,,
