Rank,eBird Scientific Name 2019,Scientific Name
ssp,Aphrastura spinicauda spinicauda,
ssp,Aphrastura spinicauda bullocki,
ssp,Aphrastura spinicauda fulva,
species,Aphrastura masafuerae,Aphrastura masafucrae
species,Sylviorthorhynchus desmursii,Sylviorthorhynchus desmurii
species,Leptasthenura fuliginiceps,Leptasthenura fuliginiceps
ssp,Leptasthenura fuliginiceps fuliginiceps,
ssp,Leptasthenura fuliginiceps paranensis,
species,Sylviorthorhynchus yanacensis,Sylviorthorhynchus yanacensis
species,Leptasthenura platensis,Leptasthenura platensis
species,Leptasthenura aegithaloides,Leptasthenura aegithaloides
ssp,Leptasthenura aegithaloides grisescens,
species,,Leptasthenura berlepschi
ssp,Leptasthenura aegithaloides berlepschi,
ssp,Leptasthenura aegithaloides aegithaloides,
species,,Leptasthenura pallida
ssp,Leptasthenura aegithaloides pallida,
species,Leptasthenura striolata,Leptasthenura striolata
species,Leptasthenura pileata,Leptasthenura pileata
ssp,Leptasthenura pileata cajabambae,
ssp,Leptasthenura pileata pileata,
ssp,Leptasthenura pileata latistriata,
species,Leptasthenura xenothorax,Leptasthenura xenothorax
species,Leptasthenura striata,Leptasthenura striata
ssp,Leptasthenura striata superciliaris,
ssp,Leptasthenura striata albigularis,
ssp,Leptasthenura striata striata,
species,Leptasthenura andicola,Leptasthenura andicola
ssp,Leptasthenura andicola certhia,
ssp,Leptasthenura andicola extima,
ssp,Leptasthenura andicola exterior,
ssp,Leptasthenura andicola andicola,
ssp,Leptasthenura andicola peruviana,
species,Leptasthenura setaria,Leptasthenura setaria
species,Phacellodomus rufifrons,Phacellodomus rufifrons
ssp,Phacellodomus rufifrons peruvianus,
ssp,Phacellodomus rufifrons specularis,
ssp,Phacellodomus rufifrons rufifrons,
ssp,Phacellodomus rufifrons sincipitalis,
ssp,,
species,,Phacellodomus inornatus
ssp,Phacellodomus rufifrons inornatus,
ssp,Phacellodomus rufifrons castilloi,
species,Phacellodomus striaticeps,Phacellodomus striaticeps
ssp,Phacellodomus striaticeps griseipectus,
ssp,Phacellodomus striaticeps striaticeps,
species,Phacellodomus sibilatrix,Phacellodomus sibilatrix
species,Phacellodomus dorsalis,Phacellodomus dorsalis
species,Phacellodomus maculipectus,Phacellodomus maculipectus
ssp,,
species,Phacellodomus striaticollis,Phacellodomus striaticollis
ssp,,
species,Phacellodomus ruber,Phacellodomus ruber
species,Phacellodomus erythrophthalmus,Phacellodomus erythrophthalmus
ssp,,
species,Phacellodomus ferrugineigula,Phacellodomus ferrugineigula
ssp,,
species,Hellmayrea gularis,Hellmayrea gularis
ssp,Hellmayrea gularis gularis,
ssp,Hellmayrea gularis brunneidorsalis,
ssp,Hellmayrea gularis cinereiventris,
ssp,Hellmayrea gularis rufiventris,
species,Anumbius annumbi,Anumbius annumbi
species,Coryphistera alaudina,Coryphistera alaudina
ssp,Coryphistera alaudina campicola,
ssp,Coryphistera alaudina alaudina,
species,Asthenes dorbignyi,Asthenes dorbignyi
ssp,Asthenes dorbignyi consobrina,
ssp,Asthenes dorbignyi dorbignyi,
species,,Asthenes arequipae
ssp,Asthenes dorbignyi arequipae,
species,,Asthenes huancavelicae
species,,Asthenes usheri
ssp,Asthenes dorbignyi usheri,
ssp,Asthenes dorbignyi huancavelicae,
species,Asthenes berlepschi,Asthenes berlepschi
species,Asthenes baeri,Asthenes baeri
ssp,Asthenes baeri chacoensis,
ssp,Asthenes baeri baeri,
ssp,,
species,Asthenes luizae,Asthenes luizae
species,Asthenes hudsoni,Asthenes hudsoni
species,Asthenes anthoides,Asthenes anthoides
species,Asthenes urubambensis,Asthenes urubambensis
ssp,Asthenes urubambensis huallagae,
ssp,Asthenes urubambensis urubambensis,
species,Asthenes flammulata,Asthenes flammulata
ssp,Asthenes flammulata multostriata,
ssp,Asthenes flammulata quindiana,
ssp,Asthenes flammulata flammulata,
ssp,Asthenes flammulata pallida,
ssp,Asthenes flammulata taczanowskii,
species,Asthenes virgata,Asthenes virgata
species,Asthenes maculicauda,Asthenes maculicauda
species,Asthenes wyatti,Asthenes wyatti
ssp,Asthenes wyatti wyatti,
ssp,Asthenes wyatti sanctaemartae,
ssp,Asthenes wyatti phelpsi,
ssp,Asthenes wyatti mucuchiesi,
ssp,Asthenes wyatti aequatorialis,
ssp,Asthenes wyatti azuay,
ssp,Asthenes wyatti graminicola,
species,Asthenes sclateri,
species,,
ssp,Asthenes sclateri punensis,
ssp,Asthenes sclateri cuchacanchae,
ssp,Asthenes sclateri lilloi,
ssp,Asthenes sclateri sclateri,
ssp,,
species,Asthenes humilis,Asthenes humilis
ssp,Asthenes humilis cajamarcae,
ssp,Asthenes humilis humilis,
ssp,Asthenes humilis robusta,
species,Asthenes modesta,Asthenes modesta
ssp,Asthenes modesta proxima,
ssp,Asthenes modesta modesta,
ssp,,
ssp,Asthenes modesta rostrata,
ssp,Asthenes modesta serrana,
ssp,,
ssp,Asthenes modesta australis,
species,Asthenes moreirae,Asthenes moreirae
species,Asthenes pyrrholeuca,Asthenes pyrrholeuca
ssp,Asthenes pyrrholeuca pyrrholeuca,
ssp,Asthenes pyrrholeuca affinis,
ssp,Asthenes pyrrholeuca flavogularis,
ssp,Asthenes pyrrholeuca sordida,
species,Asthenes harterti,Asthenes harterti
ssp,,
ssp,,
species,Asthenes helleri,Asthenes helleri
species,Asthenes vilcabambae,Asthenes vilcabambae
ssp,,
species,Asthenes ayacuchensis,Asthenes ayacuchensis
ssp,,
species,Asthenes pudibunda,Asthenes pudibunda
ssp,Asthenes pudibunda neglecta,
ssp,Asthenes pudibunda pudibunda,
ssp,Asthenes pudibunda grisior,
species,Asthenes ottonis,Asthenes ottonis
species,Asthenes heterura,Asthenes heterura
species,Asthenes palpebralis,Asthenes palpebralis
species,Asthenes coryi,Asthenes coryi
species,Asthenes perijana,Asthenes perijana
species,Asthenes fuliginosa,Asthenes fuliginosa
ssp,Asthenes fuliginosa fuliginosa,
ssp,Asthenes fuliginosa fumigata,
ssp,Asthenes fuliginosa peruviana,
ssp,Asthenes fuliginosa plengei,
species,Asthenes griseomurina,Asthenes griseomurina
species,Acrobatornis fonsecai,Acrobatornis fonsecai
species,Metopothrix aurantiaca,Metopothrix aurantiaca
species,Xenerpestes minlosi,Xenerpestes minlosi
ssp,Xenerpestes minlosi minlosi,
ssp,Xenerpestes minlosi umbraticus,
species,Xenerpestes singularis,Xenerpestes singularis
species,Siptornis striaticollis,Siptornis striaticollis
ssp,,
ssp,,
species,Roraimia adusta,Roraimia adusta
ssp,Roraimia adusta obscurodorsalis,
ssp,,
ssp,Roraimia adusta duidae,
ssp,Roraimia adusta adusta,
species,Thripophaga macroura,Thripophaga macroura
species,Thripophaga cherriei,Thripophaga cherriei
species,Thripophaga amacurensis,Thripophaga amacurensis
species,Thripophaga fusciceps,Thripophaga fusciceps
ssp,Thripophaga fusciceps dimorpha,
ssp,Thripophaga fusciceps obidensis,
ssp,Thripophaga fusciceps fusciceps,
species,Thripophaga berlepschi,Cranioleuca berlepschi
species,Limnoctites rectirostris,Limnoctites rectirostris
species,Cranioleuca marcapatae,Cranioleuca marcapatae
species,,Cranioleuca weskei
ssp,Cranioleuca marcapatae weskei,
ssp,Cranioleuca marcapatae marcapatae,
species,Cranioleuca albiceps,Cranioleuca albiceps
ssp,Cranioleuca albiceps albiceps,
ssp,Cranioleuca albiceps discolor,
species,Cranioleuca vulpina,Cranioleuca vulpina
ssp,Cranioleuca vulpina apurensis,
ssp,Cranioleuca vulpina vulpina,
ssp,,
ssp,Cranioleuca vulpina foxi,
ssp,Cranioleuca vulpina reiseri,
species,Cranioleuca dissita,Cranioleuca dissita
ssp,,
species,Cranioleuca vulpecula,Cranioleuca vulpecula
ssp,,
species,Limnoctites sulphuriferus,Cranioleuca sulphurifera
species,Cranioleuca subcristata,Cranioleuca subcristata
ssp,Cranioleuca subcristata subcristata,
ssp,Cranioleuca subcristata fuscivertex,
species,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia
ssp,Cranioleuca pyrrhophia rufipennis,
ssp,Cranioleuca pyrrhophia striaticeps,
ssp,Cranioleuca pyrrhophia pyrrhophia,
species,Cranioleuca henricae,Cranioleuca henricae
species,Cranioleuca obsoleta,Cranioleuca obsoleta
species,Cranioleuca pallida,Cranioleuca pallida
species,Cranioleuca semicinerea,Cranioleuca semicinerea
ssp,Cranioleuca semicinerea semicinerea,
ssp,Cranioleuca semicinerea goyana,
species,Cranioleuca albicapilla,Cranioleuca albicapilla
ssp,Cranioleuca albicapilla albicapilla,
ssp,Cranioleuca albicapilla albigula,
species,Cranioleuca erythrops,Cranioleuca erythrops
ssp,Cranioleuca erythrops rufigenis,
ssp,Cranioleuca erythrops griseigularis,
ssp,Cranioleuca erythrops erythrops,
species,Cranioleuca demissa,Cranioleuca demissa
ssp,,
ssp,,
species,Cranioleuca hellmayri,Cranioleuca hellmayri
species,Cranioleuca curtata,Cranioleuca curtata
ssp,Cranioleuca curtata curtata,
species,,
ssp,Cranioleuca curtata cisandina,
ssp,Cranioleuca curtata debilis,
species,Cranioleuca antisiensis,Cranioleuca antisiensis
ssp,Cranioleuca antisiensis antisiensis,
ssp,Cranioleuca antisiensis palamblae,
species,,Cranioleuca baroni
ssp,Cranioleuca antisiensis baroni,
ssp,Cranioleuca antisiensis capitalis,
ssp,Cranioleuca antisiensis zaratensis,
species,Cranioleuca gutturata,Thripophaga gutturata
species,Cranioleuca muelleri,Cranioleuca muelleri
species,Pseudasthenes humicola,Pseudasthenes humicola
ssp,Pseudasthenes humicola goodalli,
ssp,Pseudasthenes humicola humicola,
ssp,Pseudasthenes humicola polysticta,
species,Pseudasthenes patagonica,Pseudasthenes patagonica
species,Pseudasthenes steinbachi,Pseudasthenes steinbachi
species,Pseudasthenes cactorum,Pseudasthenes cactorum
ssp,Pseudasthenes cactorum cactorum,
ssp,Pseudasthenes cactorum lachayensis,
species,Spartonoica maluroides,Spartonoica maluroides
species,Pseudoseisura cristata,Pseudoseisura cristata
ssp,,
species,Pseudoseisura unirufa,Pseudoseisura unirufa
ssp,,
species,Pseudoseisura lophotes,Pseudoseisura lophotes
ssp,,
ssp,,
species,Pseudoseisura gutturalis,Pseudoseisura gutturalis
ssp,,
ssp,,
species,Certhiaxis cinnamomeus,Certhiaxis cinnamomeus
ssp,Certhiaxis cinnamomeus fuscifrons,
ssp,Certhiaxis cinnamomeus marabinus,
ssp,Certhiaxis cinnamomeus valencianus,
ssp,Certhiaxis cinnamomeus orenocensis,
ssp,Certhiaxis cinnamomeus cinnamomeus,
ssp,Certhiaxis cinnamomeus pallidus,
ssp,Certhiaxis cinnamomeus cearensis,
ssp,Certhiaxis cinnamomeus russeolus,
species,Certhiaxis mustelinus,Certhiaxis mustelinus
species,Mazaria propinqua,Mazaria propinqua
species,Schoeniophylax phryganophilus,Schoeniophylax phryganophilus
ssp,Schoeniophylax phryganophilus phryganophilus,
ssp,Schoeniophylax phryganophilus petersi,
species,Synallaxis scutata,Synallaxis scutata
ssp,Synallaxis scutata scutata,
ssp,Synallaxis scutata teretiala,
ssp,Synallaxis scutata whitii,
species,Synallaxis cinerascens,Synallaxis cinerascens
species,Synallaxis gujanensis,Synallaxis gujanensis
ssp,Synallaxis gujanensis columbiana,
ssp,Synallaxis gujanensis gujanensis,
ssp,Synallaxis gujanensis huallagae,
ssp,Synallaxis gujanensis canipileus,
ssp,Synallaxis gujanensis inornata,
ssp,Synallaxis gujanensis certhiola,
species,Synallaxis albilora,Synallaxis albilora
species,,Synallaxis simoni
ssp,Synallaxis albilora simoni,
ssp,Synallaxis albilora albilora,
species,Synallaxis maranonica,Synallaxis maranonica
ssp,,
species,Synallaxis hypochondriaca,Synallaxis hypochondriaca
species,Synallaxis stictothorax,Synallaxis stictothorax
ssp,Synallaxis stictothorax stictothorax,
ssp,Synallaxis stictothorax maculata,
species,,Synallaxis chinchipensis
ssp,Synallaxis stictothorax chinchipensis,
species,Synallaxis zimmeri,Synallaxis zimmeri
species,Synallaxis brachyura,Synallaxis brachyura
ssp,Synallaxis brachyura nigrifumosa,
ssp,Synallaxis brachyura chapmani,
ssp,,
ssp,Synallaxis brachyura brachyura,
ssp,Synallaxis brachyura caucae,
species,Synallaxis subpudica,Synallaxis subpudica
species,Synallaxis hellmayri,Synallaxis hellmayri
species,Synallaxis ruficapilla,Synallaxis ruficapilla
species,Synallaxis cinerea,Synallaxis cinerea
species,Synallaxis infuscata,Synallaxis infuscata
species,Synallaxis moesta,Synallaxis moesta
ssp,Synallaxis moesta brunneicaudalis,
ssp,Synallaxis moesta moesta,
ssp,Synallaxis moesta obscura,
species,Synallaxis macconnelli,Synallaxis macconnelli
ssp,,
ssp,,
ssp,,
ssp,,
species,Synallaxis cabanisi,Synallaxis cabanisi
ssp,Synallaxis cabanisi cabanisi,
ssp,Synallaxis cabanisi fulviventris,
species,Synallaxis hypospodia,Synallaxis hypospodia
ssp,,
species,Synallaxis spixi,Synallaxis spixi
species,Synallaxis albigularis,Synallaxis albigularis
ssp,Synallaxis albigularis rodolphei,
ssp,Synallaxis albigularis albigularis,
species,Synallaxis beverlyae,Synallaxis beverlyae
species,Synallaxis albescens,Synallaxis albescens
ssp,Synallaxis albescens latitabunda,
ssp,Synallaxis albescens hypoleuca,
ssp,Synallaxis albescens insignis,
ssp,Synallaxis albescens occipitalis,
ssp,Synallaxis albescens littoralis,
ssp,Synallaxis albescens perpallida,
ssp,Synallaxis albescens nesiotis,
ssp,Synallaxis albescens trinitatis,
ssp,Synallaxis albescens josephinae,
ssp,Synallaxis albescens inaequalis,
ssp,Synallaxis albescens griseonota,
ssp,Synallaxis albescens albescens,
ssp,Synallaxis albescens australis,
species,Synallaxis frontalis,Synallaxis frontalis
species,,
ssp,Synallaxis frontalis frontalis,
ssp,Synallaxis frontalis fuscipennis,
species,Synallaxis azarae,Synallaxis azarae
ssp,Synallaxis azarae elegantior,
ssp,Synallaxis azarae media,
ssp,Synallaxis azarae ochracea,
ssp,Synallaxis azarae fruticicola,
ssp,Synallaxis azarae infumata,
ssp,Synallaxis azarae urubambae,
ssp,Synallaxis azarae azarae,
ssp,,
ssp,Synallaxis azarae samaipatae,
species,,
ssp,Synallaxis azarae superciliosa,
species,Synallaxis courseni,Synallaxis courseni
species,Synallaxis candei,Synallaxis candei
ssp,Synallaxis candei candei,
ssp,Synallaxis candei atrigularis,
ssp,Synallaxis candei venezuelensis,
species,Synallaxis erythrothorax,Synallaxis erythrothorax
ssp,Synallaxis erythrothorax erythrothorax,
ssp,Synallaxis erythrothorax furtiva,
ssp,Synallaxis erythrothorax pacifica,
species,Synallaxis kollari,Synallaxis kollari
species,Synallaxis tithys,Synallaxis tithys
species,Synallaxis fuscorufa,Synallaxis fuscorufa
species,Synallaxis unirufa,Synallaxis unirufa
ssp,Synallaxis unirufa munoztebari,
ssp,Synallaxis unirufa meridana,
ssp,Synallaxis unirufa unirufa,
ssp,Synallaxis unirufa ochrogaster,
species,Synallaxis castanea,Synallaxis castanea
ssp,,
species,Synallaxis cinnamomea,Synallaxis cinnamomea
ssp,Synallaxis cinnamomea carri,
ssp,Synallaxis cinnamomea terrestris,
ssp,Synallaxis cinnamomea cinnamomea,
ssp,Synallaxis cinnamomea aveledoi,
ssp,Synallaxis cinnamomea bolivari,
ssp,Synallaxis cinnamomea striatipectus,
ssp,Synallaxis cinnamomea pariae,
species,Synallaxis rutilans,Synallaxis rutilans
ssp,Synallaxis rutilans caquetensis,
ssp,Synallaxis rutilans confinis,
ssp,Synallaxis rutilans dissors,
ssp,Synallaxis rutilans amazonica,
ssp,Synallaxis rutilans rutilans,
ssp,Synallaxis rutilans omissa,
ssp,Synallaxis rutilans tertia,
species,Synallaxis cherriei,Synallaxis cherriei
ssp,,
ssp,Synallaxis cherriei napoensis,
ssp,Synallaxis cherriei cherriei,
species,Euchrepomis callinota,Euchrepomis callinota
ssp,Euchrepomis callinota callinota,
ssp,Euchrepomis callinota peruviana,
ssp,Euchrepomis callinota venezuelana,
ssp,Euchrepomis callinota guianensis,
species,Euchrepomis humeralis,Euchrepomis humeralis
ssp,,
ssp,,
species,Euchrepomis sharpei,Euchrepomis sharpei
species,Euchrepomis spodioptila,Euchrepomis spodioptila
ssp,Euchrepomis spodioptila signata,
ssp,Euchrepomis spodioptila spodioptila,
ssp,,
ssp,Euchrepomis spodioptila meridionalis,
species,Myrmornis torquata,Myrmornis torquata
species,,Myrmornis stictoptera
ssp,Myrmornis torquata stictoptera,
ssp,Myrmornis torquata torquata,
species,Pygiptila stellaris,Pygiptila stellaris
ssp,Pygiptila stellaris maculipennis,
ssp,Pygiptila stellaris occipitalis,
ssp,Pygiptila stellaris purusiana,
ssp,Pygiptila stellaris stellaris,
species,Thamnistes anabatinus,Thamnistes anabatinus
ssp,Thamnistes anabatinus anabatinus,
ssp,Thamnistes anabatinus saturatus,
ssp,Thamnistes anabatinus coronatus,
ssp,Thamnistes anabatinus intermedius,
ssp,Thamnistes anabatinus gularis,
species,,Thamnistes aequatorialis
ssp,Thamnistes anabatinus aequatorialis,
species,Thamnistes rufescens,
ssp,,
species,Microrhopias quixensis,Microrhopias quixensis
ssp,Microrhopias quixensis boucardi,
ssp,Microrhopias quixensis virgatus,
ssp,Microrhopias quixensis consobrina,
ssp,Microrhopias quixensis quixensis,
ssp,Microrhopias quixensis intercedens,
ssp,Microrhopias quixensis nigriventris,
ssp,Microrhopias quixensis albicauda,
ssp,Microrhopias quixensis microstictus,
ssp,Microrhopias quixensis bicolor,
ssp,Microrhopias quixensis emiliae,
species,Neoctantes niger,Neoctantes niger
species,Clytoctantes alixii,Clytoctantes alixii
species,Clytoctantes atrogularis,Clytoctantes atrogularis
species,Epinecrophylla fulviventris,Epinecrophylla fulviventris
ssp,,
ssp,,
ssp,,
species,Epinecrophylla gutturalis,Epinecrophylla gutturalis
species,Epinecrophylla leucophthalma,Epinecrophylla leucophthalma
ssp,Epinecrophylla leucophthalma dissita,
ssp,Epinecrophylla leucophthalma leucophthalma,
ssp,Epinecrophylla leucophthalma phaeonota,
ssp,Epinecrophylla leucophthalma sordida,
species,Epinecrophylla haematonota,Epinecrophylla haematonota
ssp,Epinecrophylla haematonota haematonota,
species,,
ssp,Epinecrophylla haematonota pyrrhonota,
species,,
ssp,Epinecrophylla haematonota fjeldsaai,
species,Epinecrophylla amazonica,Epinecrophylla amazonica
ssp,Epinecrophylla amazonica amazonica,
species,,
ssp,Epinecrophylla amazonica dentei,
species,Epinecrophylla spodionota,Epinecrophylla spodionota
ssp,Epinecrophylla spodionota spodionota,
ssp,Epinecrophylla spodionota sororia,
species,Epinecrophylla ornata,Epinecrophylla ornata
ssp,Epinecrophylla ornata ornata,
ssp,Epinecrophylla ornata saturata,
ssp,Epinecrophylla ornata atrogularis,
ssp,Epinecrophylla ornata meridionalis,
species,,Epinecrophylla hoffmannsi
ssp,Epinecrophylla ornata hoffmannsi,
species,Epinecrophylla erythrura,Epinecrophylla erythrura
ssp,Epinecrophylla erythrura erythrura,
ssp,Epinecrophylla erythrura septentrionalis,
species,Myrmorchilus strigilatus,Myrmorchilus strigilatus
ssp,Myrmorchilus strigilatus strigilatus,
ssp,Myrmorchilus strigilatus suspicax,
species,Aprositornis disjuncta,Aprositornis disjuncta
species,Ammonastes pelzelni,Ammonastes pelzelni
species,Myrmophylax atrothorax,Myrmophylax atrothorax
ssp,Myrmophylax atrothorax metae,
ssp,Myrmophylax atrothorax atrothorax,
ssp,Myrmophylax atrothorax tenebrosa,
ssp,Myrmophylax atrothorax maynana,
species,,
ssp,Myrmophylax atrothorax melanura,
ssp,,
ssp,,
species,Myrmotherula ignota,Myrmotherula ignota
ssp,Myrmotherula ignota ignota,
species,,
ssp,Myrmotherula ignota obscura,
species,Myrmotherula brachyura,Myrmotherula brachyura
ssp,,
species,Myrmotherula surinamensis,Myrmotherula surinamensis
ssp,,
species,Myrmotherula multostriata,Myrmotherula multostriata
ssp,,
species,Myrmotherula pacifica,Myrmotherula pacifica
ssp,,
species,Myrmotherula cherriei,Myrmotherula cherriei
species,Myrmotherula klagesi,Myrmotherula klagesi
species,Myrmotherula longicauda,Myrmotherula longicauda
ssp,Myrmotherula longicauda soderstromi,
ssp,Myrmotherula longicauda pseudoaustralis,
ssp,Myrmotherula longicauda longicauda,
ssp,Myrmotherula longicauda australis,
species,Myrmotherula ambigua,Myrmotherula ambigua
species,Myrmotherula sclateri,Myrmotherula sclateri
species,Myrmotherula axillaris,Myrmotherula axillaris
ssp,Myrmotherula axillaris albigula,
ssp,Myrmotherula axillaris melaena,
ssp,Myrmotherula axillaris heterozyga,
ssp,Myrmotherula axillaris axillaris,
ssp,Myrmotherula axillaris fresnayana,
species,,Myrmotherula luctuosa
ssp,Myrmotherula axillaris luctuosa,
species,Myrmotherula schisticolor,Myrmotherula schisticolor
ssp,Myrmotherula schisticolor schisticolor,
ssp,Myrmotherula schisticolor sanctaemartae,
ssp,Myrmotherula schisticolor interior,
species,Myrmotherula sunensis,Myrmotherula sunensis
ssp,Myrmotherula sunensis sunensis,
ssp,Myrmotherula sunensis yessupi,
species,Myrmotherula minor,Myrmotherula minor
species,Myrmotherula longipennis,Myrmotherula longipennis
ssp,Myrmotherula longipennis longipennis,
ssp,Myrmotherula longipennis zimmeri,
ssp,Myrmotherula longipennis garbei,
ssp,Myrmotherula longipennis transitiva,
ssp,Myrmotherula longipennis ochrogyna,
ssp,Myrmotherula longipennis paraensis,
species,Myrmotherula urosticta,Myrmotherula urosticta
species,Myrmotherula iheringi,Myrmotherula iheringi
ssp,Myrmotherula iheringi heteroptera,
ssp,Myrmotherula iheringi iheringi,
species,,
ssp,Myrmotherula iheringi oreni,
species,Myrmotherula fluminensis,
species,Myrmotherula grisea,Myrmotherula grisea
species,Myrmotherula unicolor,Myrmotherula unicolor
species,Myrmotherula snowi,Myrmotherula snowi
species,Myrmotherula behni,Myrmotherula behni
ssp,Myrmotherula behni behni,
ssp,Myrmotherula behni yavii,
ssp,Myrmotherula behni inornata,
ssp,Myrmotherula behni camanii,
species,Myrmotherula menetriesii,Myrmotherula menetriesii
ssp,Myrmotherula menetriesii pallida,
ssp,Myrmotherula menetriesii cinereiventris,
ssp,Myrmotherula menetriesii menetriesii,
ssp,Myrmotherula menetriesii berlepschi,
ssp,Myrmotherula menetriesii omissa,
species,Myrmotherula assimilis,Myrmotherula assimilis
ssp,,
ssp,,
species,Terenura maculata,Terenura maculata
species,Terenura sicki,Terenura sicki
species,Myrmochanes hemileucus,Myrmochanes hemileucus
species,Formicivora iheringi,Formicivora iheringi
species,Formicivora erythronotos,Formicivora erythronotos
species,Formicivora grisea,Formicivora grisea
ssp,Formicivora grisea rufiventris,
ssp,Formicivora grisea grisea,
ssp,Formicivora grisea deluzae,
species,,Formicivora intermedia
ssp,Formicivora grisea alticincta,
ssp,Formicivora grisea hondae,
ssp,Formicivora grisea fumosa,
ssp,Formicivora grisea intermedia,
ssp,Formicivora grisea tobagensis,
ssp,Formicivora grisea orenocensis,
species,Formicivora serrana,Formicivora serrana
ssp,Formicivora serrana serrana,
ssp,Formicivora serrana interposita,
species,Formicivora littoralis,
ssp,,
species,Formicivora melanogaster,Formicivora melanogaster
ssp,Formicivora melanogaster melanogaster,
ssp,Formicivora melanogaster bahiae,
species,Formicivora rufa,Formicivora rufa
ssp,Formicivora rufa urubambae,
ssp,Formicivora rufa chapmani,
ssp,Formicivora rufa rufa,
species,Formicivora grantsaui,Formicivora grantsaui
species,Stymphalornis acutirostris,Formicivora acutirostris
ssp,Stymphalornis acutirostris acutirostris,
species,,Formicivora paludicola
ssp,Stymphalornis acutirostris paludicola,
species,Dichrozona cincta,Dichrozona cincta
ssp,,
ssp,,
ssp,,
species,Rhopias gularis,Rhopias gularis
species,Isleria hauxwelli,Isleria hauxwelli
ssp,Isleria hauxwelli suffusa,
ssp,Isleria hauxwelli hauxwelli,
ssp,,
ssp,Isleria hauxwelli hellmayri,
species,Isleria guttata,Isleria guttata
species,Thamnomanes ardesiacus,Thamnomanes ardesiacus
ssp,Thamnomanes ardesiacus ardesiacus,
ssp,Thamnomanes ardesiacus obidensis,
species,Thamnomanes saturninus,Thamnomanes saturninus
ssp,Thamnomanes saturninus huallagae,
ssp,Thamnomanes saturninus saturninus,
species,Thamnomanes caesius,Thamnomanes caesius
ssp,Thamnomanes caesius glaucus,
ssp,Thamnomanes caesius persimilis,
ssp,Thamnomanes caesius simillimus,
ssp,Thamnomanes caesius hoffmannsi,
ssp,Thamnomanes caesius caesius,
species,Thamnomanes schistogynus,Thamnomanes schistogynus
ssp,Thamnomanes schistogynus intermedius,
ssp,Thamnomanes schistogynus schistogynus,
species,Megastictus margaritatus,Megastictus margaritatus
species,Herpsilochmus pileatus,Herpsilochmus pileatus
ssp,,
species,Herpsilochmus sellowi,Herpsilochmus sellowi
species,Herpsilochmus atricapillus,Herpsilochmus atricapillus
ssp,,
species,Herpsilochmus stotzi,Herpsilochmus stotzi
species,Herpsilochmus praedictus,Herpsilochmus praedictus
species,Herpsilochmus motacilloides,Herpsilochmus motacilloides
ssp,,
species,Herpsilochmus parkeri,Herpsilochmus parkeri
species,Herpsilochmus sticturus,Herpsilochmus sticturus
ssp,,
species,Herpsilochmus dugandi,Herpsilochmus dugandi
ssp,,
species,Herpsilochmus stictocephalus,Herpsilochmus stictocephalus
species,Herpsilochmus dorsimaculatus,Herpsilochmus dorsimaculatus
species,Herpsilochmus roraimae,Herpsilochmus roraimae
ssp,Herpsilochmus roraimae kathleenae,
ssp,Herpsilochmus roraimae roraimae,
species,Herpsilochmus pectoralis,Herpsilochmus pectoralis
species,Herpsilochmus longirostris,Herpsilochmus longirostris
species,Herpsilochmus gentryi,Herpsilochmus gentryi
species,Herpsilochmus axillaris,Herpsilochmus axillaris
ssp,Herpsilochmus axillaris senex,
ssp,Herpsilochmus axillaris aequatorialis,
ssp,Herpsilochmus axillaris puncticeps,
ssp,Herpsilochmus axillaris axillaris,
species,Herpsilochmus rufimarginatus,Herpsilochmus rufimarginatus
ssp,Herpsilochmus rufimarginatus exiguus,
ssp,Herpsilochmus rufimarginatus frater,
species,,Herpsilochmus scapularis
ssp,Herpsilochmus rufimarginatus scapularis,
ssp,Herpsilochmus rufimarginatus rufimarginatus,
species,Dysithamnus stictothorax,Dysithamnus stictothorax
species,Dysithamnus mentalis,Dysithamnus mentalis
ssp,Dysithamnus mentalis septentrionalis,
ssp,Dysithamnus mentalis suffusus,
ssp,Dysithamnus mentalis extremus,
ssp,Dysithamnus mentalis semicinereus,
ssp,Dysithamnus mentalis viridis,
ssp,Dysithamnus mentalis cumbreanus,
ssp,Dysithamnus mentalis andrei,
ssp,Dysithamnus mentalis oberi,
ssp,Dysithamnus mentalis ptaritepui,
ssp,Dysithamnus mentalis spodionotus,
ssp,Dysithamnus mentalis aequatorialis,
ssp,Dysithamnus mentalis napensis,
ssp,Dysithamnus mentalis tambillanus,
ssp,Dysithamnus mentalis olivaceus,
ssp,Dysithamnus mentalis tavarae,
ssp,Dysithamnus mentalis emiliae,
ssp,Dysithamnus mentalis affinis,
ssp,Dysithamnus mentalis mentalis,
species,Dysithamnus striaticeps,Dysithamnus striaticeps
species,Dysithamnus puncticeps,Dysithamnus puncticeps
ssp,,
ssp,,
ssp,,
species,Dysithamnus xanthopterus,Dysithamnus xanthopterus
species,Dysithamnus occidentalis,Dysithamnus occidentalis
ssp,Dysithamnus occidentalis occidentalis,
ssp,Dysithamnus occidentalis punctitectus,
species,Dysithamnus plumbeus,Dysithamnus plumbeus
ssp,,
species,Dysithamnus leucostictus,Dysithamnus leucostictus
ssp,Dysithamnus leucostictus tucuyensis,
ssp,Dysithamnus leucostictus leucostictus,
species,Thamnophilus bernardi,Thamnophilus bernardi
