CATEGORY,COMMON.NAME,SCIENTIFIC.NAME,SUBSPECIES.COMMON.NAME,SUBSPECIES.SCIENTIFIC.NAME
slash,Lesser/Greater Necklaced Laughingthrush,Garrulax monileger/Ianthocincla pectoralis,NA,NA
slash,Lesser/Greater Sand-Plover,Charadrius mongolus/leschenaultii,NA,NA
slash,Lesser/Greater Spotted Eagle,Clanga pomarina/clanga,NA,NA
slash,Lesser/Greater Yellownape,Picus chlorolophus/Chrysophlegma flavinucha,NA,NA
issf,Little Egret,Egretta garzetta,Little Egret (Western),Egretta garzetta garzetta
slash,Little Egret/Western Reef-Heron,Egretta garzetta/gularis,NA,NA
issf,Little Grebe,Tachybaptus ruficollis,Little Grebe (Little),Tachybaptus ruficollis [ruficollis Group]
issf,Little Ringed Plover,Charadrius dubius,Little Ringed Plover (dubius/jerdoni),Charadrius dubius dubius/jerdoni
issf,Little Swift,Apus affinis,Little Swift (Indian),Apus affinis singalensis
issf,Little Swift,Apus affinis,Little Swift (Little),Apus affinis [affinis Group]
slash,Little/House Swift,Apus affinis/nipalensis,NA,NA
slash,Little/Indian Cormorant,Microcarbo niger/Phalacrocorax fuscicollis,NA,NA
slash,Little/Saunders's Tern,Sternula albifrons/saundersi,NA,NA
spuh,Locustella sp.,Locustella sp.,NA,NA
spuh,Lonchura sp.,Lonchura sp.,NA,NA
issf,Long-billed Pipit,Anthus similis,Long-billed Pipit (Indian),Anthus similis similis/travancoriensis
issf,Long-legged Buzzard,Buteo rufinus,Long-legged Buzzard (Northern),Buteo rufinus rufinus
slash,Long-legged/Upland Buzzard,Buteo rufinus/hemilasius,NA,NA
issf,Long-tailed Shrike,Lanius schach,Long-tailed Shrike (tricolor/longicaudatus),Lanius schach tricolor/longicaudatus
issf,Long-tailed Shrike,Lanius schach,Long-tailed Shrike (erythronotus/caniceps),Lanius schach erythronotus/caniceps
domestic,Mallard (Domestic type),Anas platyrhynchos (Domestic type),NA,NA
issf,Merlin,Falco columbarius,Merlin (Eurasian),Falco columbarius [aesalon Group]
spuh,minivet sp.,Pericrocotus sp.,NA,NA
spuh,Mirafra sp.,Mirafra sp.,NA,NA
spuh,moorhen/coot/gallinule sp.,Gallinula/Fulica/Porphyrio sp.,NA,NA
issf,Mountain Imperial-Pigeon,Ducula badia,Mountain Imperial-Pigeon (badia Group),Ducula badia [badia Group]
spuh,Muscicapa sp.,Muscicapa sp.,NA,NA
spuh,Muscicapid sp.,Muscicapidae sp.,NA,NA
domestic,Muscovy Duck,Cairina moschata,Muscovy Duck (Established Feral),Cairina moschata (Established Feral)
domestic,Muscovy Duck (Domestic type),Cairina moschata (Domestic type),NA,NA
spuh,Mycerobas sp.,Mycerobas sp.,NA,NA
spuh,myna/starling sp.,Sturnidae sp.,NA,NA
spuh,nightjar sp.,Caprimulgidae sp.,NA,NA
spuh,niltava sp.,Niltava sp.,NA,NA
spuh,Nisaetus sp.,Nisaetus sp.,NA,NA
issf,Northern Goshawk,Accipiter gentilis,Northern Goshawk (Eurasian),Accipiter gentilis [gentilis Group]
spuh,nuthatch sp.,Sitta sp.,NA,NA
spuh,Oceanodroma sp.,Oceanodroma sp.,NA,NA
spuh,old world oriole sp.,Oriolus sp.,NA,NA
spuh,old world quail sp.,Synoicus/Coturnix sp.,NA,NA
spuh,old world vulture sp.,Accipitridae sp. (old world vulture sp.),NA,NA
issf,Orange-headed Thrush,Geokichla citrina,Orange-headed Thrush (White-throated),Geokichla citrina cyanota
issf,Orange-headed Thrush,Geokichla citrina,Orange-headed Thrush (Orange-headed),Geokichla citrina [citrina Group]
issf,Oriental Honey-buzzard,Pernis ptilorhynchus,Oriental Honey-buzzard (Northern),Pernis ptilorhynchus orientalis
issf,Oriental Honey-buzzard,Pernis ptilorhynchus,Oriental Honey-buzzard (Indomalayan),Pernis ptilorhynchus [ptilorhynchus Group]
issf,Oriental Magpie-Robin,Copsychus saularis,Oriental Magpie-Robin (Oriental),Copsychus saularis [saularis Group]
issf,Oriental Scops-Owl,Otus sunia,Oriental Scops-Owl (Oriental),Otus sunia [sunia Group]
issf,Osprey,Pandion haliaetus,Osprey (haliaetus),Pandion haliaetus haliaetus
spuh,owl sp.,Strigiformes sp.,NA,NA
