Common.Name,Scientific.Name,Migratory.Status,IUCN,WLPA.Schedule,Long.Term.Trend,Current.Annual.Change,Range.Size,Long.Term.Status,Current.Status,Range.Status,Concern.Status
Hume's Bush Warbler,Horornis brunnescens,R,Least Concern,Schedule-IV,,,3.62±0.11,Data Deficient,Data Deficient,Restricted,Moderate
Aberrant Bush Warbler,Horornis flavolivaceus,R,Least Concern,Schedule-IV,,10.25±82.04,9.45±0.11,Data Deficient,Uncertain,Moderate,Low
Ashy-throated Warbler,Phylloscopus maculipennis,R,Least Concern,Schedule-IV,-31.1±64.81,-0.49±17.27,12.62±0.07,Uncertain,Uncertain,Moderate,Low
Buff-barred Warbler,Phylloscopus pulcher,R,Least Concern,Schedule-IV,-43.65±74.39,0.39±25.36,14.14±0.07,Uncertain,Uncertain,Moderate,Low
Yellow-browed Warbler,Phylloscopus inornatus,W/P,Least Concern,Schedule-IV,,-16.02±8.6,10.19±0.07,Data Deficient,Strong Decline,Moderate,Moderate
Hume's Leaf Warbler,Phylloscopus humei,LM,Least Concern,Schedule-IV,-8.63±41.17,17.07±12.3,31.88±0.07,Uncertain,Strong Increase,Large,Low
Brooks's Leaf Warbler,Phylloscopus subviridis,W/P,Least Concern,Schedule-IV,,,1.03±0.08,Data Deficient,Data Deficient,Restricted,Moderate
Lemon-rumped Warbler,Phylloscopus chloronotus,R,Least Concern,Schedule-IV,-60.02±29.03,-4.83±11.88,21.61±0.08,Moderate Decline,Uncertain,Moderate,Moderate
Tytler's Leaf Warbler,Phylloscopus tytleri,LM,Near Threatened,Schedule-IV,,-5.12±59.39,0.51±0.08,Data Deficient,Uncertain,Very Restricted,High
Sulphur-bellied Warbler,Phylloscopus griseolus,LM,Least Concern,Schedule-IV,-57.95±77.79,1.69±34.58,3.67±0.14,Uncertain,Uncertain,Restricted,Moderate
Tickell's Leaf Warbler,Phylloscopus affinis,LM,Least Concern,Schedule-IV,-58.19±41.03,-2.67±16.36,11.55±0.12,Uncertain,Uncertain,Moderate,Low
Dusky Warbler,Phylloscopus fuscatus,W/P,Least Concern,Schedule-IV,,9.28±16.39,12.05±0.07,Data Deficient,Uncertain,Moderate,Low
Smoky Warbler,Phylloscopus fuligiventer,W/P,Least Concern,Schedule-IV,,,0.98±0.09,Data Deficient,Data Deficient,Restricted,Moderate
Kashmir Chiffchaff,Phylloscopus sindianus,R,Least Concern,Schedule-IV,,,5.59±0.06,Data Deficient,Data Deficient,Moderate,Moderate
Common Chiffchaff,Phylloscopus collybita,W/P,Least Concern,Schedule-IV,-35.32±22.2,1.79±6.28,71.02±0.13,Stable,Uncertain,Large,Low
White-spectacled Warbler,Phylloscopus intermedius,R,Least Concern,Schedule-IV,,-11.05±36.79,7.36±0.1,Data Deficient,Uncertain,Moderate,Low
Grey-cheeked Warbler,Phylloscopus poliogenys,R,Least Concern,Schedule-IV,,-0.44±56.64,6.36±0.08,Data Deficient,Uncertain,Moderate,Low
Green-crowned Warbler,Phylloscopus burkii,LM,Least Concern,Schedule-IV,,,1.15±0.12,Data Deficient,Data Deficient,Restricted,Moderate
Whistler's Warbler,Phylloscopus whistleri,R,Least Concern,Schedule-IV,22.18±141.22,-10.19±14.91,17.84±0.09,Uncertain,Uncertain,Moderate,Low
Green Leaf Warbler,Phylloscopus nitidus,W/P,Least Concern,Schedule-IV,,,,,,,
Greenish Leaf Warbler,Phylloscopus trochiloides,LM,Least Concern,Schedule-IV,-44.82±15.12,2.75±5.35,92.17±0.08,Moderate Decline,Uncertain,Large,Moderate
Large-billed Leaf Warbler,Phylloscopus magnirostris,LM,Least Concern,Schedule-IV,-89.46±37.43,-7.84±54.51,9.97±0.05,Strong Decline,Uncertain,Moderate,Moderate
Chestnut-crowned Warbler,Phylloscopus castaniceps,R,Least Concern,Schedule-IV,,4±41.1,8.09±0.08,Data Deficient,Uncertain,Moderate,Low
Yellow-vented Leaf Warbler,Phylloscopus cantator,R,Least Concern,Schedule-IV,,,7.78±0.12,Data Deficient,Data Deficient,Moderate,Moderate
Western Crowned Leaf Warbler,Phylloscopus occipitalis,LM,Least Concern,Schedule-IV,-73.17±20.54,3.94±16.12,5.12±0.07,Strong Decline,Uncertain,Moderate,Moderate
Blyth's Leaf Warbler,Phylloscopus reguloides,LM,Least Concern,Schedule-IV,-69.65±64.49,-11.73±25.69,5.67±0.06,Uncertain,Uncertain,Moderate,Low
Grey-hooded Leaf Warbler,Phylloscopus xanthoschistos,R,Least Concern,Schedule-IV,-14.56±42.58,-5.35±7.32,22.3±0.06,Uncertain,Uncertain,Moderate,Low
Thick-billed Warbler,Arundinax aedon,W/P,Least Concern,Schedule-IV,,-4.96±10.24,12.32±0.09,Data Deficient,Uncertain,Moderate,Low
Booted Warbler,Iduna caligata,W/P,Least Concern,Schedule-IV,-16.32±26.72,6.94±6.83,77.75±0.09,Uncertain,Uncertain,Large,Low
Sykes's Warbler,Iduna rama,W/P,Least Concern,Schedule-IV,,,,,,,
Paddyfield Warbler,Acrocephalus agricola,W/P,Least Concern,Schedule-IV,-29.75±42.93,7.42±13.4,31.84±0.1,Uncertain,Uncertain,Large,Low
Blyth's Reed Warbler,Acrocephalus dumetorum,W/P,Least Concern,Schedule-IV,18.5±30.3,2.11±4.77,117.09±0.08,Uncertain,Uncertain,Very Large,Low
Clamorous Reed Warbler,Acrocephalus stentoreus,LM,Least Concern,Schedule-IV,0.74±30.59,4.98±5.91,33.36±0.09,Uncertain,Uncertain,Large,Low
Striated Grassbird,Megalurus palustris,R,Least Concern,Schedule-IV,,-9.63±8.91,14.84±0.06,Data Deficient,Uncertain,Moderate,Low
Broad-tailed Grassbird,Schoenicola platyurus,R,Vulnerable,Schedule-IV,,,2.52±0.08,Data Deficient,Data Deficient,Restricted,High
West Himalayan Bush Warbler,Locustella kashmirensis,R,Least Concern,Schedule-IV,,,0.56,Data Deficient,Data Deficient,Very Restricted,High
Spotted Bush Warbler,Locustella thoracica,R,Least Concern,Schedule-IV,,,2.65±0.06,Data Deficient,Data Deficient,Restricted,Moderate
Bristled Grassbird,Chaetornis striata,LM,Vulnerable,Schedule-IV,,,0.96±0.04,Data Deficient,Data Deficient,Restricted,High
Common Tailorbird,Orthotomus sutorius,R,Least Concern,Schedule-IV,13.42±10.99,2.82±1.7,189.44±0.08,Stable,Moderate Increase,Very Large,Low
Striated Prinia,Prinia crinigera,R,Least Concern,Schedule-IV,-31.4±42.19,9.68±13.5,16.2±0.07,Uncertain,Uncertain,Moderate,Low
Black-throated Prinia,Prinia atrogularis,R,Least Concern,Schedule-IV,,,4.87±0.08,Data Deficient,Data Deficient,Moderate,Moderate
Grey-crowned Prinia,Prinia cinereocapilla,R,Vulnerable,Schedule-IV,,,0.38,Data Deficient,Data Deficient,Very Restricted,High
Rufous-fronted Prinia,Prinia buchanani,R,Least Concern,Schedule-IV,-74.57±10.94,-9.92±5.22,34.51±0.1,Strong Decline,Strong Decline,Large,High
Grey-breasted Prinia,Prinia hodgsonii,R,Least Concern,Schedule-IV,-37.54±12.76,-1.5±3.41,119.03±0.1,Stable,Uncertain,Very Large,Low
Graceful Prinia,Prinia gracilis,R,Least Concern,Schedule-IV,,14.34±13.2,26±0.09,Data Deficient,Moderate Increase,Large,Low
Jungle Prinia,Prinia sylvatica,R,Least Concern,Schedule-IV,-36.86±18.88,-1.56±4.95,92.55±0.1,Stable,Uncertain,Large,Low
Yellow-bellied Prinia,Prinia flaviventris,R,Least Concern,Schedule-IV,,-3.13±9.9,18.02±0.09,Data Deficient,Uncertain,Moderate,Low
Ashy Prinia,Prinia socialis,R,Least Concern,Schedule-IV,104.72±36.98,-0.15±2.81,167.98±0.07,Strong Increase,Uncertain,Very Large,Low
Plain Prinia,Prinia inornata,R,Least Concern,Schedule-IV,120.82±37.75,-0.68±2.63,176.37±0.1,Strong Increase,Uncertain,Very Large,Low
Zitting Cisticola,Cisticola juncidis,R,Least Concern,Schedule-IV,-15.22±18.92,-5.03±3.14,123.39±0.12,Stable,Moderate Decline,Very Large,Low
Golden-headed Cisticola,Cisticola exilis,R,Least Concern,Schedule-IV,,,5.4±0.06,Data Deficient,Data Deficient,Moderate,Moderate
Lesser Whitethroat,Sylvia curruca,LM,Least Concern,Schedule-IV,-47.62±30.3,2.74±11.45,80.27±0.09,Uncertain,Uncertain,Large,Low
Eastern Orphean Warbler,Sylvia crassirostris,W/P,Least Concern,Schedule-IV,,-5.48±23.27,11.99±0.11,Data Deficient,Uncertain,Moderate,Low
Fire-tailed Myzornis,Myzornis pyrrhoura,R,Least Concern,Schedule-IV,,16.63±29.11,2.36±0.07,Data Deficient,Uncertain,Restricted,Moderate
Yellow-eyed Babbler,Chrysomma sinense,R,Least Concern,Schedule-IV,-6.64±22.02,-4.91±3.28,113.44±0.1,Stable,Moderate Decline,Very Large,Low
Jerdon's Babbler,Chrysomma altirostre,R,Vulnerable,Schedule-IV,,,2.11±0.08,Data Deficient,Data Deficient,Restricted,High
White-browed Fulvetta,Fulvetta vinipectus,R,Least Concern,Schedule-IV,,,3.49±0.06,Data Deficient,Data Deficient,Restricted,Moderate
White-breasted Parrotbill,Psittiparus ruficeps,R,Least Concern,Schedule-IV,,,0.95±0.07,Data Deficient,Data Deficient,Restricted,Moderate
Black-breasted Parrotbill,Paradoxornis flavirostris,R,Vulnerable,Schedule-IV,,,1.43±0.09,Data Deficient,Data Deficient,Restricted,High
Lesser Rufous-headed Parrotbill,Chleuasicus atrosuperciliaris,R,Least Concern,Schedule-IV,,,2.16±0.1,Data Deficient,Data Deficient,Restricted,Moderate
Black-throated Parrotbill,Suthora nipalensis,R,Least Concern,Schedule-IV,,,4.75±0.11,Data Deficient,Data Deficient,Moderate,Moderate
Striated Yuhina,Yuhina castaniceps,R,Least Concern,Schedule-IV,,,6.51±0.09,Data Deficient,Data Deficient,Moderate,Moderate
White-naped Yuhina,Yuhina bakeri,R,Least Concern,Schedule-IV,,,4.4±0.06,Data Deficient,Data Deficient,Moderate,Moderate
Whiskered Yuhina,Yuhina flavicollis,R,Least Concern,Schedule-IV,9.26±59.33,-3.54±8.24,17.22±0.06,Uncertain,Uncertain,Moderate,Low
Stripe-throated Yuhina,Yuhina gularis,R,Least Concern,Schedule-IV,,-5.56±83.74,6.33±0.06,Data Deficient,Uncertain,Moderate,Low
Rufous-vented Yuhina,Yuhina occipitalis,R,Least Concern,Schedule-IV,,,3.62±0.09,Data Deficient,Data Deficient,Restricted,Moderate
Black-chinned Yuhina,Yuhina nigrimenta,R,Least Concern,Schedule-IV,,2.32±38.21,7.41±0.06,Data Deficient,Uncertain,Moderate,Low
Oriental White-eye,Zosterops palpebrosus,R,Least Concern,Schedule-IV,-9.09±15.91,1.29±3.12,143.44±0.08,Stable,Uncertain,Very Large,Low
Chestnut-capped Babbler,Timalia pileata,R,Least Concern,Schedule-IV,,10.69±83.4,7.82±0.08,Data Deficient,Uncertain,Moderate,Low
Pin-striped Tit Babbler,Mixornis gularis,R,Least Concern,Schedule-IV,-6.31±67.52,5.32±15.77,14.6±0.06,Uncertain,Uncertain,Moderate,Low
Tawny-bellied Babbler,Dumetia hyperythra,R,Least Concern,Schedule-IV,-42.29±16.08,-0.09±4.79,67.64±0.09,Moderate Decline,Uncertain,Large,Moderate
Dark-fronted Babbler,Rhopocichla atriceps,R,Least Concern,Schedule-IV,-79.21±12.57,-6.67±8.68,9.58±0.03,Strong Decline,Uncertain,Moderate,Moderate
Golden Babbler,Cyanoderma chrysaeum,R,Least Concern,Schedule-IV,,-9.1±16,7.54±0.1,Data Deficient,Uncertain,Moderate,Low
Black-chinned Babbler,Cyanoderma pyrrhops,R,Least Concern,Schedule-IV,0.27±62.82,11.46±13.78,9.83±0.05,Uncertain,Uncertain,Moderate,Low
Rufous-capped Babbler,Cyanoderma ruficeps,R,Least Concern,Schedule-IV,,-5.48±17.43,8.82±0.07,Data Deficient,Uncertain,Moderate,Low
Buff-chested Babbler,Cyanoderma ambiguum,R,Least Concern,Schedule-IV,,,4.79±0.15,Data Deficient,Data Deficient,Moderate,Moderate
Rufous-throated Wren Babbler,Spelaeornis caudatus,R,Near Threatened,Schedule-IV,,,1.65±0.04,Data Deficient,Data Deficient,Restricted,Moderate
Mishmi Wren Babbler,Spelaeornis badeigularis,R,Vulnerable,Schedule-IV,,,0.71±0.07,Data Deficient,Data Deficient,Restricted,High
Bar-winged Wren Babbler,Spelaeornis troglodytoides,R,Least Concern,Schedule-IV,,,0.56±0.03,Data Deficient,Data Deficient,Very Restricted,High
Naga Wren Babbler,Spelaeornis chocolatinus,R,Near Threatened,Schedule-IV,,,0.31,Data Deficient,Data Deficient,Very Restricted,High
Tawny-breasted Wren Babbler,Spelaeornis longicaudatus,R,Vulnerable,Schedule-IV,,,0.12,Data Deficient,Data Deficient,Very Restricted,High
Slender-billed Scimitar Babbler,Pomatorhinus superciliaris,R,Least Concern,Schedule-IV,,,3.62±0.1,Data Deficient,Data Deficient,Restricted,Moderate
Streak-breasted Scimitar Babbler,Pomatorhinus ruficollis,R,Least Concern,Schedule-IV,,5.85±31.73,7±0.06,Data Deficient,Uncertain,Moderate,Low
Indian Scimitar Babbler,Pomatorhinus horsfieldii,R,Least Concern,Schedule-IV,-56.31±15.75,-2.2±6.05,27.58±0.05,Moderate Decline,Uncertain,Large,Moderate
White-browed Scimitar Babbler,Pomatorhinus schisticeps,R,Least Concern,Schedule-IV,,-2.28±10.99,14.71±0.08,Data Deficient,Uncertain,Moderate,Low
Rusty-cheeked Scimitar Babbler,Erythrogenys erythrogenys,R,Least Concern,Schedule-IV,-4.71±58.47,8.83±13.7,10.61±0.05,Uncertain,Uncertain,Moderate,Low
Spot-breasted Scimitar Babbler,Erythrogenys mcclellandi,R,Least Concern,Schedule-IV,,,3.35±0.09,Data Deficient,Data Deficient,Restricted,Moderate
Snowy-throated Babbler,Stachyris oglei,R,Vulnerable,Schedule-IV,,,0.15,Data Deficient,Data Deficient,Very Restricted,High
Sikkim Wedge-billed Babbler,Stachyris humei,R,Near Threatened,Schedule-IV,,,0.61±0.06,Data Deficient,Data Deficient,Very Restricted,High
Cachar Wedge-billed Babbler,Stachyris roberti,R,Near Threatened,Schedule-IV,,,1.09±0.08,Data Deficient,Data Deficient,Restricted,Moderate
White-hooded Babbler,Gampsorhynchus rufulus,R,Least Concern,Schedule-IV,,-6.81±17.44,2.65±0.07,Data Deficient,Uncertain,Restricted,Moderate
Yellow-throated Fulvetta,Schoeniparus cinereus,R,Least Concern,Schedule-IV,,,2.45±0.05,Data Deficient,Data Deficient,Restricted,Moderate
Rufous-throated Fulvetta,Schoeniparus rufogularis,R,Least Concern,Schedule-IV,,,0.69±0.07,Data Deficient,Data Deficient,Restricted,Moderate
Rufous-vented Grass Babbler,Laticilla burnesii,R,Near Threatened,Schedule-IV,,,1.16±0.05,Data Deficient,Data Deficient,Restricted,Moderate
Swamp Grass Babbler,Laticilla cinerascens,R,Endangered,Schedule-IV,,,0.19,Data Deficient,Data Deficient,Very Restricted,High
Puff-throated Babbler,Pellorneum ruficeps,R,Least Concern,Schedule-IV,-57.78±11.53,-3.81±4.15,55.02±0.07,Moderate Decline,Uncertain,Large,Moderate
Marsh Babbler,Pellorneum palustre,R,Vulnerable,Schedule-IV,,,1±0.08,Data Deficient,Data Deficient,Restricted,High
Long-billed Wren Babbler,Rimator malacoptilus,R,Least Concern,Schedule-IV,,,1.49±0.06,Data Deficient,Data Deficient,Restricted,Moderate
Abbott's Babbler,Malacocincla abbotti,R,Least Concern,Schedule-IV,,12.67±62.35,5.89±0.06,Data Deficient,Uncertain,Moderate,Low
Indian Grass Babbler,Graminicola bengalensis,R,Near Threatened,Schedule-IV,,,3.29±0.11,Data Deficient,Data Deficient,Restricted,Moderate
Ludlow's Fulvetta,Fulvetta ludlowi,R,Least Concern,Schedule-IV,,-4.03±22.64,0.8±0.05,Data Deficient,Uncertain,Restricted,Moderate
Quaker Tit Babbler,Alcippe poioicephala,R,Least Concern,Schedule-IV,-77±7.86,3.49±6.97,28.5±0.05,Strong Decline,Uncertain,Large,Moderate
Nepal Tit Babbler,Alcippe nipalensis,R,Least Concern,Schedule-IV,,-0.8±36.19,9.33±0.07,Data Deficient,Uncertain,Moderate,Low
Striated Laughingthrush,Grammatoptila striata,R,Least Concern,Schedule-IV,-7.42±60.98,-5.75±8.82,10.38±0.05,Uncertain,Uncertain,Moderate,Low
Himalayan Cutia,Cutia nipalensis,R,Least Concern,Schedule-IV,,,3.36±0.05,Data Deficient,Data Deficient,Restricted,Moderate
Common Babbler,Argya caudata,R,Least Concern,Schedule-IV,-39.03±16.11,0.96±4.68,97.75±0.08,Stable,Uncertain,Large,Low
Striated Babbler,Argya earlei,R,Least Concern,Schedule-IV,,1.48±10.08,17.32±0.07,Data Deficient,Uncertain,Moderate,Low
Slender-billed Babbler,Chatarrhaea longirostris,R,Vulnerable,Schedule-IV,,,1.65±0.09,Data Deficient,Data Deficient,Restricted,High
Large Grey Babbler,Argya malcolmi,R,Least Concern,Schedule-IV,-29.67±17.21,-1.9±4.05,123.81±0.07,Stable,Uncertain,Very Large,Low
Rufous Babbler,Argya subrufa,R,Least Concern,Schedule-IV,-48.32±31.69,-12.34±6.5,11.55±0.04,Uncertain,Strong Decline,Moderate,Moderate
Jungle Babbler,Turdoides striata,R,Least Concern,Schedule-IV,-1.6±15.66,-1.91±2.63,170.67±0.07,Stable,Uncertain,Very Large,Low
Yellow-billed Babbler,Turdoides affinis,R,Least Concern,Schedule-IV,-0.35±32.61,2.13±6.21,47.93±0.05,Uncertain,Uncertain,Large,Low
White-crested Laughingthrush,Garrulax leucolophus,R,Least Concern,Schedule-IV,-19.32±47.44,4.49±11.41,13.12±0.07,Uncertain,Uncertain,Moderate,Low
Lesser Necklaced Laughingthrush,Garrulax monileger,R,Least Concern,Schedule-IV,,8.96±47.18,10.29±0.12,Data Deficient,Uncertain,Moderate,Low
Spot-breasted Laughingthrush,Garrulax merulinus,R,Least Concern,Schedule-IV,,,3.45±0.01,Data Deficient,Data Deficient,Restricted,Moderate
Moustached Laughingthrush,Garrulax cineraceus,R,Least Concern,Schedule-IV,,,0.37,Data Deficient,Data Deficient,Very Restricted,High
Rufous-chinned Laughingthrush,Garrulax rufogularis,R,Least Concern,Schedule-IV,,25.85±36.45,6.08±0.07,Data Deficient,Uncertain,Moderate,Low
Greater Necklaced Laughingthrush,Garrulax pectoralis,R,Least Concern,Schedule-IV,,1.79±29.2,9.49±0.13,Data Deficient,Uncertain,Moderate,Low
White-throated Laughingthrush,Garrulax albogularis,R,Least Concern,Schedule-IV,-4.67±68.34,-1.39±11.74,9.26±0.04,Uncertain,Uncertain,Moderate,Low
Rufous-necked Laughingthrush,Garrulax ruficollis,R,Least Concern,Schedule-IV,,29.51±80.16,8.86±0.07,Data Deficient,Uncertain,Moderate,Low
Chestnut-backed Laughingthrush,Garrulax nuchalis,R,Near Threatened,Schedule-IV,,,0.19,Data Deficient,Data Deficient,Very Restricted,High
Yellow-throated Laughingthrush,Garrulax galbanus,R,Least Concern,Schedule-IV,,,1.65±0.1,Data Deficient,Data Deficient,Restricted,Moderate
Wayanad Laughingthrush,Garrulax delesserti,R,Least Concern,Schedule-IV,,,4.75±0.05,Data Deficient,Data Deficient,Moderate,Moderate
Rufous-vented Laughingthrush,Garrulax gularis,R,Least Concern,Schedule-IV,,,1.46±0.12,Data Deficient,Data Deficient,Restricted,Moderate
Grey-sided Laughingthrush,Garrulax caerulatus,R,Least Concern,Schedule-IV,-77.77±20.23,-16.15±8.07,2.24±0.07,Strong Decline,Strong Decline,Restricted,High
Streaked Laughingthrush,Trochalopteron lineatum,R,Least Concern,Schedule-IV,27.13±86.41,0.69±11.8,15.64±0.05,Uncertain,Uncertain,Moderate,Low
Bhutan Laughingthrush,Trochalopteron imbricatum,R,Least Concern,Schedule-IV,,-0.9±27.01,0.8±0.07,Data Deficient,Uncertain,Restricted,Moderate
Striped Laughingthrush,Trochalopteron virgatum,R,Least Concern,Schedule-IV,,,1.28±0.08,Data Deficient,Data Deficient,Restricted,Moderate
Scaly Laughingthrush,Trochalopteron subunicolor,R,Least Concern,Schedule-IV,,-2.28±21.27,2.1±0.06,Data Deficient,Uncertain,Restricted,Moderate
Brown-capped Laughingthrush,Trochalopteron austeni,R,Least Concern,Schedule-IV,,,0.25,Data Deficient,Data Deficient,Very Restricted,High
Blue-winged Laughingthrush,Trochalopteron squamatum,R,Least Concern,Schedule-IV,,,3.79±0.09,Data Deficient,Data Deficient,Restricted,Moderate
Variegated Laughingthrush,Trochalopteron variegatum,R,Least Concern,Schedule-IV,,-8.84±14.69,10.06±0.05,Data Deficient,Uncertain,Moderate,Low
Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum,R,Least Concern,Schedule-IV,32.45±109.65,-10.05±10.13,9±0.05,Uncertain,Uncertain,Moderate,Low
Assam Laughingthrush,Trochalopteron chrysopterum,R,Least Concern,Schedule-IV,,,2.34±0.08,Data Deficient,Data Deficient,Restricted,Moderate
Banasura Laughingthrush,Montecincla jerdoni,R,Endangered,Schedule-IV,,,0.19,Data Deficient,Data Deficient,Very Restricted,High
Nilgiri Laughingthrush,Montecincla cachinnans,R,Endangered,Schedule-IV,-59.05±77.6,18.85±54.58,0.63±0.03,Uncertain,Uncertain,Very Restricted,High
Palani Laughingthrush,Montecincla fairbanki,R,Near Threatened,Schedule-IV,114.95±368.88,-5.96±17.43,1.35±0.03,Uncertain,Uncertain,Restricted,Moderate
Ashambu Laughingthrush,Montecincla meridionalis,R,Vulnerable,Schedule-IV,,,0.19,Data Deficient,Data Deficient,Very Restricted,High
Rufous Sibia,Heterophasia capistrata,R,Least Concern,Schedule-IV,32±85.03,3.66±12.57,11.17±0.05,Uncertain,Uncertain,Moderate,Low
Grey Sibia,Heterophasia gracilis,R,Least Concern,Schedule-IV,,,3.73±0.06,Data Deficient,Data Deficient,Restricted,Moderate
Beautiful Sibia,Heterophasia pulchella,R,Least Concern,Schedule-IV,,,3.65±0.06,Data Deficient,Data Deficient,Restricted,Moderate
Silver-eared Mesia,Leiothrix argentauris,R,Least Concern,Schedule-IV,,-12.53±31.37,9.27±0.06,Data Deficient,Uncertain,Moderate,Low
Red-billed Leiothrix,Leiothrix lutea,R,Least Concern,Schedule-IV,70.02±130.56,-3.39±11.21,10.24±0.07,Uncertain,Uncertain,Moderate,Low
Red-tailed Minla,Minla ignotincta,R,Least Concern,Schedule-IV,,,6.66±0.1,Data Deficient,Data Deficient,Moderate,Moderate
Rufous-backed Sibia,Leioptila annectens,R,Least Concern,Schedule-IV,,,3.21±0.07,Data Deficient,Data Deficient,Restricted,Moderate
Bugun Liocichla,Liocichla bugunorum,R,Critically Endangered,Schedule-IV,,,0.06,Data Deficient,Data Deficient,Very Restricted,High
Red-faced Liocichla,Liocichla phoenicea,R,Least Concern,Schedule-IV,,8.83±84.66,4.77±0.1,Data Deficient,Uncertain,Moderate,Low
Hoary-throated Barwing,Sibia nipalensis,R,Least Concern,Schedule-IV,,-8.91±12.7,1.53±0.05,Data Deficient,Uncertain,Restricted,Moderate
Streak-throated Barwing,Sibia waldeni,R,Least Concern,Schedule-IV,,12.58±34.99,3.28±0.11,Data Deficient,Uncertain,Restricted,Moderate
Rusty-fronted Barwing,Actinodura egertoni,R,Least Concern,Schedule-IV,,-9.46±21.37,5.77±0.08,Data Deficient,Uncertain,Moderate,Low
Blue-winged Minla,Siva cyanouroptera,R,Least Concern,Schedule-IV,,-2.1±19.33,10.59±0.06,Data Deficient,Uncertain,Moderate,Low
Chestnut-tailed Minla,Chrysominla strigula,R,Least Concern,Schedule-IV,-27.43±50.85,-9.43±8.76,10.37±0.06,Uncertain,Uncertain,Moderate,Low
Asian Fairy-bluebird,Irena puella,R,Least Concern,Schedule-IV,-58.02±18.62,-1.04±7.76,18.87±0.04,Moderate Decline,Uncertain,Moderate,Moderate
Dark-sided Flycatcher,Muscicapa sibirica,LM,Least Concern,Schedule-IV,-22.47±70.57,1.17±16.04,6.99±0.09,Uncertain,Uncertain,Moderate,Low
Asian Brown Flycatcher,Muscicapa dauurica,LM,Least Concern,Schedule-IV,-42.4±16.72,-2.11±4.44,14.18±0.14,Moderate Decline,Uncertain,Moderate,Moderate
Brown-breasted Flycatcher,Muscicapa muttui,W/P,Least Concern,Schedule-IV,-1.69±50.69,1.76±8.51,18.92±0.05,Uncertain,Uncertain,Moderate,Low
Indian Robin,Saxicoloides fulicatus,R,Least Concern,Schedule-IV,-7.24±14.51,-1.78±2.59,180.96±0.07,Stable,Uncertain,Very Large,Low
Oriental Magpie Robin,Copsychus saularis,R,Least Concern,Schedule-IV,30.35±14.68,0.5±1.88,193.72±0.08,Stable,Stable,Very Large,Low
White-rumped Shama,Kittacincla malabarica,R,Least Concern,Schedule-IV,-12.61±32.03,-1.96±6.1,49.98±0.07,Uncertain,Uncertain,Large,Low
Andaman Shama,Kittacincla albiventris,R,Least Concern,Schedule-IV,,0.79±13.95,0.49±0.03,Data Deficient,Uncertain,Restricted,Moderate
White-gorgeted Flycatcher,Anthipes monileger,R,Least Concern,Schedule-IV,,,4.93±0.25,Data Deficient,Data Deficient,Moderate,Moderate
Nilgiri Sholakili,Sholicola major,R,Endangered,Schedule-IV,,19.19±62.45,1.6±0.04,Data Deficient,Uncertain,Restricted,High
White-bellied Sholakili,Sholicola albiventris,R,Vulnerable,Schedule-IV,-12.3±167.67,1.08±28.88,1.07±0.03,Uncertain,Uncertain,Restricted,High
White-bellied Blue Flycatcher,Cyornis pallidipes,R,Least Concern,Schedule-IV,-83.25±8.07,-1.9±8.04,10.86±0.04,Strong Decline,Uncertain,Moderate,Moderate
Pale-chinned Flycatcher,Cyornis poliogenys,R,Least Concern,Schedule-IV,,2.27±23.86,7.65±0.07,Data Deficient,Uncertain,Moderate,Low
Blue-throated Flycatcher,Cyornis rubeculoides,LM,Least Concern,Schedule-IV,-42.21±59.66,3.39±21.55,5.05±0.09,Uncertain,Uncertain,Moderate,Low
Large Blue Flycatcher,Cyornis magnirostris,S,Least Concern,Schedule-IV,,,,Data Deficient,Data Deficient,Data Deficient,High
Tickell's Blue Flycatcher,Cyornis tickelliae,R,Least Concern,Schedule-IV,-5.92±23.72,2.92±4.8,84.17±0.08,Stable,Uncertain,Large,Low
Nicobar Jungle Flycatcher,Cyornis nicobaricus,R,Near Threatened,Schedule-IV,,,0.08,Data Deficient,Data Deficient,Restricted,Moderate
Large Niltava,Niltava grandis,R,Least Concern,Schedule-IV,,0.48±22.54,7.9±0.09,Data Deficient,Uncertain,Moderate,Low
Small Niltava,Niltava macgrigoriae,R,Least Concern,Schedule-IV,23.38±85.66,-0.62±12.11,16.52±0.08,Uncertain,Uncertain,Moderate,Low
Rufous-bellied Niltava,Niltava sundara,R,Least Concern,Schedule-IV,-29.11±35.99,-12.42±5.45,16.51±0.06,Uncertain,Strong Decline,Moderate,Moderate
Nilgiri Flycatcher,Eumyias albicaudatus,R,Least Concern,Schedule-IV,,,4.07±0.03,Data Deficient,Data Deficient,Restricted,Moderate
Verditer Flycatcher,Eumyias thalassinus,LM,Least Concern,Schedule-IV,1.28±31.58,0.96±5.57,11.73±0.05,Uncertain,Uncertain,Moderate,Low
Rusty-bellied Shortwing,Brachypteryx hyperythra,R,Near Threatened,Schedule-IV,,,2.24±0.1,Data Deficient,Data Deficient,Restricted,Moderate
Gould's Shortwing,Heteroxenicus stellatus,R,Least Concern,Schedule-IV,,,0.88±0.03,Data Deficient,Data Deficient,Restricted,Moderate
Lesser Shortwing,Brachypteryx leucophris,R,Least Concern,Schedule-IV,,-4.05±63.42,8.36±0.11,Data Deficient,Uncertain,Moderate,Low
