Common.Name,Scientific.Name,Migratory.Status,IUCN,WLPA.Schedule,Long.Term.Trend,Current.Annual.Change,Range.Size,Long.Term.Status,Current.Status,Range.Status,Concern.Status
Crested Goshawk,Accipiter trivirgatus,R,Least Concern,Schedule-I,-27.36±33.59,-3.3±7.2,27.5±0.07,Uncertain,Uncertain,Large,Low
Shikra,Accipiter badius,R,Least Concern,Schedule-I,16.88±14.15,-1.43±1.74,199.12±0.11,Stable,Stable,Very Large,Low
Nicobar Sparrowhawk,Accipiter butleri,R,Vulnerable,Schedule-I,,,0.04,Data Deficient,Data Deficient,Restricted,High
Besra,Accipiter virgatus,R,Least Concern,Schedule-I,,,12.89,Data Deficient,Data Deficient,Moderate,Moderate
Eurasian Sparrowhawk,Accipiter nisus,LM,Least Concern,Schedule-I,-69.57±30.15,-7.24±13.53,5.73±0.17,Moderate Decline,Uncertain,Moderate,Moderate
Black Kite,Milvus migrans,LM,Least Concern,Schedule-I,6.7±14.99,-1.7±2.15,85.74±0.07,Stable,Uncertain,Large,Low
Brahminy Kite,Haliastur indus,R,Least Concern,Schedule-I,-12.58±25.49,0.95±5.46,72.46±0.06,Uncertain,Uncertain,Large,Low
Pallas's Fish Eagle,Haliaeetus leucoryphus,LM,Endangered,Schedule-I,-70.65±63.63,-4.05±34.36,0.39±0.06,Uncertain,Uncertain,Very Restricted,High
White-bellied Sea Eagle,Haliaeetus leucogaster,R,Least Concern,Schedule-I,-72.59±20.29,-5.89±10.98,10.43±0.04,Strong Decline,Uncertain,Moderate,Moderate
Lesser Fish Eagle,Icthyophaga humilis,R,Near Threatened,Schedule-I,,-7.87±7.67,8.45±0.05,Data Deficient,Uncertain,Moderate,Moderate
Grey-headed Fish Eagle,Icthyophaga ichthyaetus,R,Near Threatened,Schedule-I,3.6±140.67,-4.96±20.99,12.52±0.07,Uncertain,Uncertain,Moderate,Moderate
Common Buzzard,Buteo buteo,W/P,Least Concern,Schedule-I,,-9.02±9.67,12.97±0.07,Data Deficient,Uncertain,Moderate,Low
Himalayan Buzzard,Buteo refectus,R,Least Concern,Schedule-I,-49.55±41.3,3.19±16.57,22.33±0.09,Uncertain,Uncertain,Moderate,Low
Long-legged Buzzard,Buteo rufinus,W/P,Least Concern,Schedule-I,-23.58±53.12,-5.24±11.06,19.43±0.09,Uncertain,Uncertain,Moderate,Low
Dusky Eagle Owl,Bubo coromandus,R,Least Concern,Schedule-IV,,,4.23±0.07,Data Deficient,Data Deficient,Moderate,Moderate
Brown Fish Owl,Ketupa zeylonensis,R,Least Concern,Schedule-IV,-39.5±19.06,-6.71±4.13,48.44±0.09,Stable,Moderate Decline,Large,Low
Collared Owlet,Glaucidium brodiei,R,Least Concern,Schedule-IV,39.33±96.06,-7.47±8.95,16.08±0.08,Uncertain,Uncertain,Moderate,Low
Asian Barred Owlet,Glaucidium cuculoides,R,Least Concern,Schedule-IV,23.7±44.89,-1.73±5.29,25.41±0.08,Uncertain,Uncertain,Large,Low
Jungle Owlet,Glaucidium radiatum,R,Least Concern,Schedule-IV,-9.38±25.58,0.85±4.99,61.25±0.07,Uncertain,Uncertain,Large,Low
Forest Owlet,Heteroglaux blewitti,R,Endangered,Schedule-I,,,1.39±0.06,Data Deficient,Data Deficient,Restricted,High
Short-eared Owl,Asio flammeus,W/P,Least Concern,Schedule-IV,,-9.4±12.95,5.9±0.06,Data Deficient,Uncertain,Moderate,Low
Malabar Trogon,Harpactes fasciatus,R,Least Concern,Schedule-IV,-57.84±23.6,-7.2±7.54,12.41±0.04,Moderate Decline,Uncertain,Moderate,Moderate
Red-headed Trogon,Harpactes erythrocephalus,R,Least Concern,Schedule-IV,,-2.09±36.29,6.26±0.06,Data Deficient,Uncertain,Moderate,Low
Ward's Trogon,Harpactes wardi,R,Near Threatened,Schedule-IV,,,0.23,Data Deficient,Data Deficient,Very Restricted,High
Common Hoopoe,Upupa epops,LM,Least Concern,Schedule-IV,-41.05±9.13,-2.06±2.54,60.3±0.09,Moderate Decline,Uncertain,Large,Moderate
Great Hornbill,Buceros bicornis,R,Vulnerable,Schedule-I,-35.39±32.66,-7.42±6.74,16±0.05,Uncertain,Uncertain,Moderate,Moderate
Austen's Brown Hornbill,Anorrhinus austeni,R,Near Threatened,Schedule-I,,,0.68±0.05,Data Deficient,Data Deficient,Very Restricted,High
Indian Grey Hornbill,Ocyceros birostris,R,Least Concern,Schedule-IV,40.41±30.43,-1.03±3.56,128.23±0.08,Uncertain,Uncertain,Very Large,Low
Malabar Grey Hornbill,Ocyceros griseus,R,Least Concern,Schedule-IV,-66.78±23.1,-3.34±10.71,13.26±0.04,Moderate Decline,Uncertain,Moderate,Moderate
Malabar Pied Hornbill,Anthracoceros coronatus,R,Near Threatened,Schedule-I,3.79±66.28,-10.15±7.67,16.23±0.05,Uncertain,Moderate Decline,Moderate,Moderate
Oriental Pied Hornbill,Anthracoceros albirostris,R,Least Concern,Schedule-I,22.21±68.6,-0.06±9.69,13.54±0.06,Uncertain,Uncertain,Moderate,Low
Rufous-necked Hornbill,Aceros nipalensis,R,Vulnerable,Schedule-I,,12.05±26.43,2.58±0.04,Data Deficient,Uncertain,Restricted,High
Wreathed Hornbill,Rhyticeros undulatus,R,Vulnerable,Schedule-I,,,2.96±0.05,Data Deficient,Data Deficient,Restricted,High
Narcondam Hornbill,Rhyticeros narcondami,R,Endangered,Schedule-I,,,0,Data Deficient,Data Deficient,Restricted,High
Common Kingfisher,Alcedo atthis,R,Least Concern,Schedule-IV,-18.82±10.89,-8.58±1.66,183.12±0.12,Stable,Strong Decline,Very Large,Low
Blue-eared Kingfisher,Alcedo meninting,R,Least Concern,Schedule-IV,,-6.79±12.01,12.49±0.06,Data Deficient,Uncertain,Moderate,Low
Oriental Dwarf Kingfisher,Ceyx erithaca,LM,Least Concern,Schedule-IV,,17.72±63.29,2.57±0.05,Data Deficient,Uncertain,Restricted,Moderate
Stork-billed Kingfisher,Pelargopsis capensis,R,Least Concern,Schedule-IV,-8.83±32.42,-4.3±5.32,43.91±0.06,Uncertain,Uncertain,Large,Low
White-throated Kingfisher,Halcyon smyrnensis,R,Least Concern,Schedule-IV,28.2±12.19,-2.72±1.35,217.45±0.07,Stable,Moderate Decline,Very Large,Low
Black-capped Kingfisher,Halcyon pileata,W/P,Least Concern,Schedule-IV,-85.05±11.44,-5.75±11.24,8.52±0.05,Strong Decline,Uncertain,Moderate,Moderate
Collared Kingfisher,Todiramphus chloris,R,Least Concern,Schedule-IV,,1.08±20.3,2.43±0.04,Data Deficient,Uncertain,Restricted,Moderate
Crested Kingfisher,Megaceryle lugubris,R,Least Concern,Schedule-IV,-16.83±42.93,-7.34±6.69,14.88±0.08,Uncertain,Uncertain,Moderate,Low
Pied Kingfisher,Ceryle rudis,R,Least Concern,Schedule-IV,-43.87±9.73,-9.96±2,168.16±0.11,Moderate Decline,Strong Decline,Very Large,Moderate
Blue-bearded Bee-eater,Nyctyornis athertoni,R,Least Concern,Schedule-IV,6.21±41.72,-3.62±6.33,33.21±0.07,Uncertain,Uncertain,Large,Low
Green Bee-eater,Merops orientalis,R,Least Concern,Schedule-IV,-1.04±11.79,-3.28±1.73,203.82±0.07,Stable,Moderate Decline,Very Large,Low
Blue-cheeked Bee-eater,Merops persicus,S,Least Concern,Schedule-IV,,-9.08±10.34,17.03±0.1,Data Deficient,Uncertain,Moderate,Low
Blue-tailed Bee-eater,Merops philippinus,LM,Least Concern,Schedule-IV,42.23±45.91,-2.63±5,32.76±0.08,Uncertain,Uncertain,Large,Low
Chestnut-headed Bee-eater,Merops leschenaulti,LM,Least Concern,Schedule-IV,-19.4±31.47,-3.82±6.11,16.56±0.06,Uncertain,Uncertain,Moderate,Low
European Roller,Coracias garrulus,W/P,Least Concern,Schedule-IV,,4.47±16.8,29.09±0.09,Data Deficient,Uncertain,Large,Low
Indian Roller,Coracias benghalensis,R,Least Concern,Schedule-IV,-28.45±10.14,-6.41±1.92,207.03±0.09,Stable,Strong Decline,Very Large,Low
Dollarbird,Eurystomus orientalis,R,Least Concern,Schedule-IV,-5.99±69.24,-7.04±9.97,14.07±0.05,Uncertain,Uncertain,Moderate,Low
Malabar Barbet,Psilopogon malabaricus,R,Least Concern,Schedule-IV,-62.17±24.05,-8.06±8.65,9.4±0.03,Moderate Decline,Uncertain,Moderate,Moderate
Coppersmith Barbet,Psilopogon haemacephalus,R,Least Concern,Schedule-IV,4.22±15.51,3.14±2.85,173.51±0.08,Stable,Uncertain,Very Large,Low
Blue-eared Barbet,Psilopogon duvaucelii,R,Least Concern,Schedule-IV,,3.11±35.59,11.34±0.15,Data Deficient,Uncertain,Moderate,Low
Great Barbet,Psilopogon virens,R,Least Concern,Schedule-IV,33.86±53.89,2.23±7.06,23.64±0.05,Uncertain,Uncertain,Moderate,Low
Lineated Barbet,Psilopogon lineatus,R,Least Concern,Schedule-IV,-18.02±33.12,-2.6±6.39,21.28±0.08,Uncertain,Uncertain,Moderate,Low
Brown-headed Barbet,Psilopogon zeylanicus,R,Least Concern,Schedule-IV,22.58±34.41,1.45±4.92,79.66±0.07,Uncertain,Uncertain,Large,Low
White-cheeked Barbet,Psilopogon viridis,R,Least Concern,Schedule-IV,12.27±60.99,3.75±10.69,26.75±0.04,Uncertain,Uncertain,Large,Low
Golden-throated Barbet,Psilopogon franklinii,R,Least Concern,Schedule-IV,,-15.39±8.64,7.6±0.07,Data Deficient,Strong Decline,Moderate,Moderate
Blue-throated Barbet,Psilopogon asiaticus,R,Least Concern,Schedule-IV,17.32±41.14,3.91±6.64,34.79±0.05,Uncertain,Uncertain,Large,Low
Yellow-rumped Honeyguide,Indicator xanthonotus,R,Near Threatened,Schedule-IV,,,2.13±0.06,Data Deficient,Data Deficient,Restricted,Moderate
Eurasian Wryneck,Jynx torquilla,W/P,Least Concern,Schedule-IV,-43.45±97.28,0.54±29.89,33.42±0.11,Uncertain,Uncertain,Large,Low
Speckled Piculet,Picumnus innominatus,R,Least Concern,Schedule-IV,-29.07±32.68,2.71±8.78,29.35±0.08,Uncertain,Uncertain,Large,Low
White-browed Piculet,Sasia ochracea,R,Least Concern,Schedule-IV,,-5.33±32.07,9.13±0.1,Data Deficient,Uncertain,Moderate,Low
Heart-spotted Woodpecker,Hemicircus canente,R,Least Concern,Schedule-IV,-66.52±15.51,-10.68±5.6,13.07±0.04,Strong Decline,Strong Decline,Moderate,High
Brown-capped Pygmy Woodpecker,Dendrocopos nanus,R,Least Concern,Schedule-IV,-59.49±11.2,-3.95±4.41,67.89±0.09,Moderate Decline,Uncertain,Large,Moderate
Grey-capped Pygmy Woodpecker,Dendrocopos canicapillus,R,Least Concern,Schedule-IV,-30.05±33.68,-7.68±6.14,21.25±0.1,Uncertain,Moderate Decline,Moderate,Moderate
Yellow-fronted Pied Woodpecker,Leiopicus mahrattensis,R,Least Concern,Schedule-IV,-72.1±7.61,-6.19±3.93,84.46±0.11,Strong Decline,Moderate Decline,Large,High
