eBird CODE,SCIENTIFIC.NAME,COMMON.NAME,order,family,genus,species
rubwoo1,Dendrocopos hyperythrus,Rufous-bellied Woodpecker,Piciformes,Picidae,Dendrocopos,hyperythrus
grebar1,Psilopogon virens,Great Barbet,Piciformes,Megalaimidae,Psilopogon,virens
brhbar1,Psilopogon zeylanicus,Brown-headed Barbet,Piciformes,Megalaimidae,Psilopogon,zeylanicus
linbar1,Psilopogon lineatus,Lineated Barbet,Piciformes,Megalaimidae,Psilopogon,lineatus
whcbar1,Psilopogon viridis,White-cheeked Barbet,Piciformes,Megalaimidae,Psilopogon,viridis
gotbar1,Psilopogon franklinii,Golden-throated Barbet,Piciformes,Megalaimidae,Psilopogon,franklinii
bltbar2,Psilopogon asiaticus,Blue-throated Barbet,Piciformes,Megalaimidae,Psilopogon,asiaticus
blebar1,Psilopogon duvaucelii,Blue-eared Barbet,Piciformes,Megalaimidae,Psilopogon,duvaucelii
crfbar1,Psilopogon malabaricus,Malabar Barbet,Piciformes,Megalaimidae,Psilopogon,malabaricus
copbar1,Psilopogon haemacephalus,Coppersmith Barbet,Piciformes,Megalaimidae,Psilopogon,haemacephalus
bbbeat1,Nyctyornis athertoni,Blue-bearded Bee-eater,Coraciiformes,Meropidae,Nyctyornis,athertoni
grbeat1,Merops orientalis,Green Bee-eater,Coraciiformes,Meropidae,Merops,orientalis
chbeat1,Merops leschenaulti,Chestnut-headed Bee-eater,Coraciiformes,Meropidae,Merops,leschenaulti
btbeat2,Merops viridis,Blue-throated Bee-eater,Coraciiformes,Meropidae,Merops,viridis
btbeat1,Merops philippinus,Blue-tailed Bee-eater,Coraciiformes,Meropidae,Merops,philippinus
bcbeat1,Merops persicus,Blue-cheeked Bee-eater,Coraciiformes,Meropidae,Merops,persicus
eubeat1,Merops apiaster,European Bee-eater,Coraciiformes,Meropidae,Merops,apiaster
indrol1,Coracias benghalensis,Indian Roller,Coraciiformes,Coraciidae,Coracias,benghalensis
eurrol1,Coracias garrulus,European Roller,Coraciiformes,Coraciidae,Coracias,garrulus
dollar1,Eurystomus orientalis,Dollarbird,Coraciiformes,Coraciidae,Eurystomus,orientalis
bkbkin1,Ceyx erithaca,Black-backed Dwarf-Kingfisher,Coraciiformes,Alcedinidae,Ceyx,erithaca
rubkin1,Ceyx rufidorsa,Rufous-backed Dwarf-Kingfisher,Coraciiformes,Alcedinidae,Ceyx,rufidorsa
blekin1,Alcedo meninting,Blue-eared Kingfisher,Coraciiformes,Alcedinidae,Alcedo,meninting
blykin1,Alcedo hercules,Blyth's Kingfisher,Coraciiformes,Alcedinidae,Alcedo,hercules
comkin1,Alcedo atthis,Common Kingfisher,Coraciiformes,Alcedinidae,Alcedo,atthis
crekin1,Megaceryle lugubris,Crested Kingfisher,Coraciiformes,Alcedinidae,Megaceryle,lugubris
piekin1,Ceryle rudis,Pied Kingfisher,Coraciiformes,Alcedinidae,Ceryle,rudis
stbkin1,Pelargopsis capensis,Stork-billed Kingfisher,Coraciiformes,Alcedinidae,Pelargopsis,capensis
bnwkin1,Pelargopsis amauroptera,Brown-winged Kingfisher,Coraciiformes,Alcedinidae,Pelargopsis,amauroptera
rudkin1,Halcyon coromanda,Ruddy Kingfisher,Coraciiformes,Alcedinidae,Halcyon,coromanda
whtkin2,Halcyon smyrnensis,White-throated Kingfisher,Coraciiformes,Alcedinidae,Halcyon,smyrnensis
blckin1,Halcyon pileata,Black-capped Kingfisher,Coraciiformes,Alcedinidae,Halcyon,pileata
colkin1,Todiramphus chloris,Collared Kingfisher,Coraciiformes,Alcedinidae,Todiramphus,chloris
colfal1,Microhierax caerulescens,Collared Falconet,Falconiformes,Falconidae,Microhierax,caerulescens
piefal2,Microhierax melanoleucos,Pied Falconet,Falconiformes,Falconidae,Microhierax,melanoleucos
leskes1,Falco naumanni,Lesser Kestrel,Falconiformes,Falconidae,Falco,naumanni
eurkes,Falco tinnunculus,Eurasian Kestrel,Falconiformes,Falconidae,Falco,tinnunculus
renfal1,Falco chicquera,Red-necked Falcon,Falconiformes,Falconidae,Falco,chicquera
reffal1,Falco vespertinus,Red-footed Falcon,Falconiformes,Falconidae,Falco,vespertinus
amufal1,Falco amurensis,Amur Falcon,Falconiformes,Falconidae,Falco,amurensis
merlin,Falco columbarius,Merlin,Falconiformes,Falconidae,Falco,columbarius
eurhob,Falco subbuteo,Eurasian Hobby,Falconiformes,Falconidae,Falco,subbuteo
orihob1,Falco severus,Oriental Hobby,Falconiformes,Falconidae,Falco,severus
lagfal1,Falco jugger,Laggar Falcon,Falconiformes,Falconidae,Falco,jugger
sakfal1,Falco cherrug,Saker Falcon,Falconiformes,Falconidae,Falco,cherrug
perfal,Falco peregrinus,Peregrine Falcon,Falconiformes,Falconidae,Falco,peregrinus
gyhpar2,Psittacula finschii,Gray-headed Parakeet,Psittaciformes,Psittaculidae,Psittacula,finschii
slhpar1,Psittacula himalayana,Slaty-headed Parakeet,Psittaciformes,Psittaculidae,Psittacula,himalayana
blhpar3,Psittacula roseata,Blossom-headed Parakeet,Psittaciformes,Psittaculidae,Psittacula,roseata
plhpar1,Psittacula cyanocephala,Plum-headed Parakeet,Psittaciformes,Psittaculidae,Psittacula,cyanocephala
rebpar4,Psittacula alexandri,Red-breasted Parakeet,Psittaciformes,Psittaculidae,Psittacula,alexandri
derpar1,Psittacula derbiana,Derbyan Parakeet,Psittaciformes,Psittaculidae,Psittacula,derbiana
lotpar2,Psittacula longicauda,Long-tailed Parakeet,Psittaciformes,Psittaculidae,Psittacula,longicauda
malpar1,Psittacula columboides,Malabar Parakeet,Psittaciformes,Psittaculidae,Psittacula,columboides
alepar2,Psittacula eupatria,Alexandrine Parakeet,Psittaciformes,Psittaculidae,Psittacula,eupatria
rorpar,Psittacula krameri,Rose-ringed Parakeet,Psittaciformes,Psittaculidae,Psittacula,krameri
nicpar1,Psittacula caniceps,Nicobar Parakeet,Psittaciformes,Psittaculidae,Psittacula,caniceps
vehpar1,Loriculus vernalis,Vernal Hanging-Parrot,Psittaciformes,Psittaculidae,Loriculus,vernalis
blnpit1,Hydrornis nipalensis,Blue-naped Pitta,Passeriformes,Pittidae,Hydrornis,nipalensis
blupit1,Hydrornis cyaneus,Blue Pitta,Passeriformes,Pittidae,Hydrornis,cyaneus
indpit1,Pitta brachyura,Indian Pitta,Passeriformes,Pittidae,Pitta,brachyura
blwpit1,Pitta moluccensis,Blue-winged Pitta,Passeriformes,Pittidae,Pitta,moluccensis
manpit1,Pitta megarhyncha,Mangrove Pitta,Passeriformes,Pittidae,Pitta,megarhyncha
hoopit2,Pitta sordida,Hooded Pitta,Passeriformes,Pittidae,Pitta,sordida
lotbro1,Psarisomus dalhousiae,Long-tailed Broadbill,Passeriformes,Eurylaimidae,Psarisomus,dalhousiae
sibbro1,Serilophus lunatus,Silver-breasted Broadbill,Passeriformes,Eurylaimidae,Serilophus,lunatus
whbmin1,Pericrocotus erythropygius,White-bellied Minivet,Passeriformes,Campephagidae,Pericrocotus,erythropygius
smamin1,Pericrocotus cinnamomeus,Small Minivet,Passeriformes,Campephagidae,Pericrocotus,cinnamomeus
gycmin1,Pericrocotus solaris,Gray-chinned Minivet,Passeriformes,Campephagidae,Pericrocotus,solaris
shbmin2,Pericrocotus brevirostris,Short-billed Minivet,Passeriformes,Campephagidae,Pericrocotus,brevirostris
lotmin1,Pericrocotus ethologus,Long-tailed Minivet,Passeriformes,Campephagidae,Pericrocotus,ethologus
scamin3,Pericrocotus flammeus,Orange Minivet,Passeriformes,Campephagidae,Pericrocotus,flammeus
scamin1,Pericrocotus speciosus,Scarlet Minivet,Passeriformes,Campephagidae,Pericrocotus,speciosus
ashmin1,Pericrocotus divaricatus,Ashy Minivet,Passeriformes,Campephagidae,Pericrocotus,divaricatus
brrmin1,Pericrocotus cantonensis,Brown-rumped Minivet,Passeriformes,Campephagidae,Pericrocotus,cantonensis
rosmin1,Pericrocotus roseus,Rosy Minivet,Passeriformes,Campephagidae,Pericrocotus,roseus
larcus1,Coracina macei,Large Cuckooshrike,Passeriformes,Campephagidae,Coracina,macei
andcus1,Coracina dobsoni,Andaman Cuckooshrike,Passeriformes,Campephagidae,Coracina,dobsoni
pietri1,Lalage nigra,Pied Triller,Passeriformes,Campephagidae,Lalage,nigra
bkwcus1,Lalage melaschistos,Black-winged Cuckooshrike,Passeriformes,Campephagidae,Lalage,melaschistos
bkhcus1,Lalage melanoptera,Black-headed Cuckooshrike,Passeriformes,Campephagidae,Lalage,melanoptera
manwhi1,Pachycephala cinerea,Mangrove Whistler,Passeriformes,Pachycephalidae,Pachycephala,cinerea
bhsbab1,Pteruthius rufiventer,Black-headed Shrike-Babbler,Passeriformes,Vireonidae,Pteruthius,rufiventer
himshb1,Pteruthius ripleyi,Himalayan Shrike-Babbler,Passeriformes,Vireonidae,Pteruthius,ripleyi
blyshb1,Pteruthius aeralatus,Blyth's Shrike-Babbler,Passeriformes,Vireonidae,Pteruthius,aeralatus
grsbab1,Pteruthius xanthochlorus,Green Shrike-Babbler,Passeriformes,Vireonidae,Pteruthius,xanthochlorus
besbab1,Pteruthius melanotis,Black-eared Shrike-Babbler,Passeriformes,Vireonidae,Pteruthius,melanotis
clishb1,Pteruthius intermedius,Clicking Shrike-Babbler,Passeriformes,Vireonidae,Pteruthius,intermedius
whbyuh1,Erpornis zantholeuca,White-bellied Erpornis,Passeriformes,Vireonidae,Erpornis,zantholeuca
marori2,Oriolus traillii,Maroon Oriole,Passeriformes,Oriolidae,Oriolus,traillii
blhori1,Oriolus xanthornus,Black-hooded Oriole,Passeriformes,Oriolidae,Oriolus,xanthornus
eugori2,Oriolus oriolus,Eurasian Golden Oriole,Passeriformes,Oriolidae,Oriolus,oriolus
ingori1,Oriolus kundoo,Indian Golden Oriole,Passeriformes,Oriolidae,Oriolus,kundoo
blnori1,Oriolus chinensis,Black-naped Oriole,Passeriformes,Oriolidae,Oriolus,chinensis
slbori1,Oriolus tenuirostris,Slender-billed Oriole,Passeriformes,Oriolidae,Oriolus,tenuirostris
whbwoo4,Artamus leucorynchus,White-breasted Woodswallow,Passeriformes,Artamidae,Artamus,leucorynchus
ashwoo2,Artamus fuscus,Ashy Woodswallow,Passeriformes,Artamidae,Artamus,fuscus
bwfshr1,Hemipus picatus,Bar-winged Flycatcher-shrike,Passeriformes,Vangidae,Hemipus,picatus
malwoo1,Tephrodornis sylvicola,Malabar Woodshrike,Passeriformes,Vangidae,Tephrodornis,sylvicola
larwoo1,Tephrodornis virgatus,Large Woodshrike,Passeriformes,Vangidae,Tephrodornis,virgatus
comwoo1,Tephrodornis pondicerianus,Common Woodshrike,Passeriformes,Vangidae,Tephrodornis,pondicerianus
comior1,Aegithina tiphia,Common Iora,Passeriformes,Aegithinidae,Aegithina,tiphia
whtior1,Aegithina nigrolutea,White-tailed Iora,Passeriformes,Aegithinidae,Aegithina,nigrolutea
bladro1,Dicrurus macrocercus,Black Drongo,Passeriformes,Dicruridae,Dicrurus,macrocercus
ashdro1,Dicrurus leucophaeus,Ashy Drongo,Passeriformes,Dicruridae,Dicrurus,leucophaeus
whbdro1,Dicrurus caerulescens,White-bellied Drongo,Passeriformes,Dicruridae,Dicrurus,caerulescens
crbdro1,Dicrurus annectens,Crow-billed Drongo,Passeriformes,Dicruridae,Dicrurus,annectens
brodro1,Dicrurus aeneus,Bronzed Drongo,Passeriformes,Dicruridae,Dicrurus,aeneus
lrtdro1,Dicrurus remifer,Lesser Racket-tailed Drongo,Passeriformes,Dicruridae,Dicrurus,remifer
hacdro1,Dicrurus hottentottus,Hair-crested Drongo,Passeriformes,Dicruridae,Dicrurus,hottentottus
anddro1,Dicrurus andamanensis,Andaman Drongo,Passeriformes,Dicruridae,Dicrurus,andamanensis
grtdro1,Dicrurus paradiseus,Greater Racket-tailed Drongo,Passeriformes,Dicruridae,Dicrurus,paradiseus
whbfan2,Rhipidura aureola,White-browed Fantail,Passeriformes,Rhipiduridae,Rhipidura,aureola
spbfan1,Rhipidura albogularis,Spot-breasted Fantail,Passeriformes,Rhipiduridae,Rhipidura,albogularis
whtfan1,Rhipidura albicollis,White-throated Fantail,Passeriformes,Rhipiduridae,Rhipidura,albicollis
brnshr,Lanius cristatus,Brown Shrike,Passeriformes,Laniidae,Lanius,cristatus
rebshr1,Lanius collurio,Red-backed Shrike,Passeriformes,Laniidae,Lanius,collurio
rutshr2,Lanius phoenicuroides,Red-tailed Shrike,Passeriformes,Laniidae,Lanius,phoenicuroides
isashr1,Lanius isabellinus,Isabelline Shrike,Passeriformes,Laniidae,Lanius,isabellinus
burshr1,Lanius collurioides,Burmese Shrike,Passeriformes,Laniidae,Lanius,collurioides
babshr1,Lanius vittatus,Bay-backed Shrike,Passeriformes,Laniidae,Lanius,vittatus
lotshr1,Lanius schach,Long-tailed Shrike,Passeriformes,Laniidae,Lanius,schach
gybshr1,Lanius tephronotus,Gray-backed Shrike,Passeriformes,Laniidae,Lanius,tephronotus
legshr2,Lanius minor,Lesser Gray Shrike,Passeriformes,Laniidae,Lanius,minor
norshr1,Lanius excubitor,Great Gray Shrike,Passeriformes,Laniidae,Lanius,excubitor
wooshr1,Lanius senator,Woodchat Shrike,Passeriformes,Laniidae,Lanius,senator
masshr1,Lanius nubicus,Masked Shrike,Passeriformes,Laniidae,Lanius,nubicus
ruftre2,Dendrocitta vagabunda,Rufous Treepie,Passeriformes,Corvidae,Dendrocitta,vagabunda
grytre1,Dendrocitta formosae,Gray Treepie,Passeriformes,Corvidae,Dendrocitta,formosae
whbtre1,Dendrocitta leucogastra,White-bellied Treepie,Passeriformes,Corvidae,Dendrocitta,leucogastra
coltre1,Dendrocitta frontalis,Collared Treepie,Passeriformes,Corvidae,Dendrocitta,frontalis
andtre1,Dendrocitta bayleii,Andaman Treepie,Passeriformes,Corvidae,Dendrocitta,bayleii
rebcho1,Pyrrhocorax pyrrhocorax,Red-billed Chough,Passeriformes,Corvidae,Pyrrhocorax,pyrrhocorax
yebcho1,Pyrrhocorax graculus,Yellow-billed Chough,Passeriformes,Corvidae,Pyrrhocorax,graculus
gobmag1,Urocissa flavirostris,Yellow-billed Blue-Magpie,Passeriformes,Corvidae,Urocissa,flavirostris
rbbmag,Urocissa erythroryncha,Red-billed Blue-Magpie,Passeriformes,Corvidae,Urocissa,erythroryncha
gremag1,Cissa chinensis,Common Green-Magpie,Passeriformes,Corvidae,Cissa,chinensis
eurjay1,Garrulus glandarius,Eurasian Jay,Passeriformes,Corvidae,Garrulus,glandarius
blhjay1,Garrulus lanceolatus,Black-headed Jay,Passeriformes,Corvidae,Garrulus,lanceolatus
eurmag1,Pica pica,Eurasian Magpie,Passeriformes,Corvidae,Pica,pica
eurnut1,Nucifraga caryocatactes,Eurasian Nutcracker,Passeriformes,Corvidae,Nucifraga,caryocatactes
sponut1,Nucifraga multipunctata,Kashmir Nutcracker,Passeriformes,Corvidae,Nucifraga,multipunctata
eurjac,Corvus monedula,Eurasian Jackdaw,Passeriformes,Corvidae,Corvus,monedula
rook1,Corvus frugilegus,Rook,Passeriformes,Corvidae,Corvus,frugilegus
comrav,Corvus corax,Common Raven,Passeriformes,Corvidae,Corvus,corax
carcro1,Corvus corone,Carrion Crow,Passeriformes,Corvidae,Corvus,corone
hoocro1,Corvus cornix,Hooded Crow,Passeriformes,Corvidae,Corvus,cornix
houcro1,Corvus splendens,House Crow,Passeriformes,Corvidae,Corvus,splendens
labcro1,Corvus macrorhynchos,Large-billed Crow,Passeriformes,Corvidae,Corvus,macrorhynchos
blnmon1,Hypothymis azurea,Black-naped Monarch,Passeriformes,Monarchidae,Hypothymis,azurea
blypaf1,Terpsiphone affinis,Blyth's Paradise-Flycatcher,Passeriformes,Monarchidae,Terpsiphone,affinis
aspfly1,Terpsiphone paradisi,Indian Paradise-Flycatcher,Passeriformes,Monarchidae,Terpsiphone,paradisi
yebflo1,Dicaeum melanoxanthum,Yellow-bellied Flowerpecker,Passeriformes,Dicaeidae,Dicaeum,melanoxanthum
yevflo1,Dicaeum chrysorrheum,Yellow-vented Flowerpecker,Passeriformes,Dicaeidae,Dicaeum,chrysorrheum
thbflo1,Dicaeum agile,Thick-billed Flowerpecker,Passeriformes,Dicaeidae,Dicaeum,agile
pabflo1,Dicaeum erythrorhynchos,Pale-billed Flowerpecker,Passeriformes,Dicaeidae,Dicaeum,erythrorhynchos
plaflo1,Dicaeum concolor,Nilgiri Flowerpecker,Passeriformes,Dicaeidae,Dicaeum,concolor
plaflo2,Dicaeum minullum,Plain Flowerpecker,Passeriformes,Dicaeidae,Dicaeum,minullum
andflo1,Dicaeum virescens,Andaman Flowerpecker,Passeriformes,Dicaeidae,Dicaeum,virescens
scbflo1,Dicaeum cruentatum,Scarlet-backed Flowerpecker,Passeriformes,Dicaeidae,Dicaeum,cruentatum
fibflo2,Dicaeum ignipectus,Fire-breasted Flowerpecker,Passeriformes,Dicaeidae,Dicaeum,ignipectus
litspi1,Arachnothera longirostra,Little Spiderhunter,Passeriformes,Nectariniidae,Arachnothera,longirostra
strspi1,Arachnothera magna,Streaked Spiderhunter,Passeriformes,Nectariniidae,Arachnothera,magna
rucsun2,Chalcoparia singalensis,Ruby-cheeked Sunbird,Passeriformes,Nectariniidae,Chalcoparia,singalensis
pursun3,Leptocoma zeylonica,Purple-rumped Sunbird,Passeriformes,Nectariniidae,Leptocoma,zeylonica
crbsun2,Leptocoma minima,Crimson-backed Sunbird,Passeriformes,Nectariniidae,Leptocoma,minima
vahsun1,Leptocoma brasiliana,Van Hasselt's Sunbird,Passeriformes,Nectariniidae,Leptocoma,brasiliana
pursun4,Cinnyris asiaticus,Purple Sunbird,Passeriformes,Nectariniidae,Cinnyris,asiaticus
olbsun4,Cinnyris jugularis,Olive-backed Sunbird,Passeriformes,Nectariniidae,Cinnyris,jugularis
lobsun2,Cinnyris lotenius,Long-billed Sunbird,Passeriformes,Nectariniidae,Cinnyris,lotenius
fitsun1,Aethopyga ignicauda,Fire-tailed Sunbird,Passeriformes,Nectariniidae,Aethopyga,ignicauda
bltsun1,Aethopyga saturata,Black-throated Sunbird,Passeriformes,Nectariniidae,Aethopyga,saturata
grtsun1,Aethopyga nipalensis,Green-tailed Sunbird,Passeriformes,Nectariniidae,Aethopyga,nipalensis
gousun1,Aethopyga gouldiae,Gould's Sunbird,Passeriformes,Nectariniidae,Aethopyga,gouldiae
wecsun1,Aethopyga vigorsii,Vigors's Sunbird,Passeriformes,Nectariniidae,Aethopyga,vigorsii
eacsun1,Aethopyga siparaja,Crimson Sunbird,Passeriformes,Nectariniidae,Aethopyga,siparaja
asfblu1,Irena puella,Asian Fairy-bluebird,Passeriformes,Irenidae,Irena,puella
goflea1,Chloropsis aurifrons,Golden-fronted Leafbird,Passeriformes,Chloropseidae,Chloropsis,aurifrons
jerlea1,Chloropsis jerdoni,Jerdon's Leafbird,Passeriformes,Chloropseidae,Chloropsis,jerdoni
orblea1,Chloropsis hardwickii,Orange-bellied Leafbird,Passeriformes,Chloropseidae,Chloropsis,hardwickii
blwlea1,Chloropsis cochinchinensis,Blue-winged Leafbird,Passeriformes,Chloropseidae,Chloropsis,cochinchinensis
himacc1,Prunella himalayana,Himalayan Accentor,Passeriformes,Prunellidae,Prunella,himalayana
alpacc1,Prunella collaris,Alpine Accentor,Passeriformes,Prunellidae,Prunella,collaris
mabacc1,Prunella immaculata,Maroon-backed Accentor,Passeriformes,Prunellidae,Prunella,immaculata
robacc1,Prunella rubeculoides,Robin Accentor,Passeriformes,Prunellidae,Prunella,rubeculoides
rubacc1,Prunella strophiata,Rufous-breasted Accentor,Passeriformes,Prunellidae,Prunella,strophiata
broacc1,Prunella fulvescens,Brown Accentor,Passeriformes,Prunellidae,Prunella,fulvescens
bltacc1,Prunella atrogularis,Black-throated Accentor,Passeriformes,Prunellidae,Prunella,atrogularis
benwea1,Ploceus benghalensis,Bengal Weaver,Passeriformes,Ploceidae,Ploceus,benghalensis
strwea2,Ploceus manyar,Streaked Weaver,Passeriformes,Ploceidae,Ploceus,manyar
baywea1,Ploceus philippinus,Baya Weaver,Passeriformes,Ploceidae,Ploceus,philippinus
yelwea1,Ploceus megarhynchus,Yellow Weaver,Passeriformes,Ploceidae,Ploceus,megarhynchus
redava,Amandava amandava,Red Avadavat,Passeriformes,Estrildidae,Amandava,amandava
grnava1,Sporaeginthus formosus,Green Avadavat,Passeriformes,Estrildidae,Sporaeginthus,formosus
indsil,Euodice malabarica,Indian Silverbill,Passeriformes,Estrildidae,Euodice,malabarica
whrmun,Lonchura striata,White-rumped Munia,Passeriformes,Estrildidae,Lonchura,striata
nutman,Lonchura punctulata,Scaly-breasted Munia,Passeriformes,Estrildidae,Lonchura,punctulata
bltmun1,Lonchura kelaarti,Black-throated Munia,Passeriformes,Estrildidae,Lonchura,kelaarti
trimun,Lonchura malacca,Tricolored Munia,Passeriformes,Estrildidae,Lonchura,malacca
chemun,Lonchura atricapilla,Chestnut Munia,Passeriformes,Estrildidae,Lonchura,atricapilla
houspa,Passer domesticus,House Sparrow,Passeriformes,Passeridae,Passer,domesticus
spaspa1,Passer hispaniolensis,Spanish Sparrow,Passeriformes,Passeridae,Passer,hispaniolensis
sinspa1,Passer pyrrhonotus,Sind Sparrow,Passeriformes,Passeridae,Passer,pyrrhonotus
russpa2,Passer cinnamomeus,Russet Sparrow,Passeriformes,Passeridae,Passer,cinnamomeus
eutspa,Passer montanus,Eurasian Tree Sparrow,Passeriformes,Passeridae,Passer,montanus
palroc1,Carpospiza brachydactyla,Pale Rockfinch,Passeriformes,Passeridae,Carpospiza,brachydactyla
rocpet1,Petronia petronia,Rock Sparrow,Passeriformes,Passeridae,Petronia,petronia
chspet1,Gymnornis xanthocollis,Chestnut-shouldered Petronia,Passeriformes,Passeridae,Gymnornis,xanthocollis
blwsno1,Montifringilla adamsi,Black-winged Snowfinch,Passeriformes,Passeridae,Montifringilla,adamsi
whrsno1,Montifringilla taczanowskii,White-rumped Snowfinch,Passeriformes,Passeridae,Montifringilla,taczanowskii
runsno1,Montifringilla ruficollis,Rufous-necked Snowfinch,Passeriformes,Passeridae,Montifringilla,ruficollis
blasno1,Montifringilla blanfordi,Blanford's Snowfinch,Passeriformes,Passeridae,Montifringilla,blanfordi
forwag1,Dendronanthus indicus,Forest Wagtail,Passeriformes,Motacillidae,Dendronanthus,indicus
trepip,Anthus trivialis,Tree Pipit,Passeriformes,Motacillidae,Anthus,trivialis
olbpip,Anthus hodgsoni,Olive-backed Pipit,Passeriformes,Motacillidae,Anthus,hodgsoni
retpip,Anthus cervinus,Red-throated Pipit,Passeriformes,Motacillidae,Anthus,cervinus
rospip1,Anthus roseatus,Rosy Pipit,Passeriformes,Motacillidae,Anthus,roseatus
amepip,Anthus rubescens,American Pipit,Passeriformes,Motacillidae,Anthus,rubescens
watpip1,Anthus spinoletta,Water Pipit,Passeriformes,Motacillidae,Anthus,spinoletta
uplpip1,Anthus sylvanus,Upland Pipit,Passeriformes,Motacillidae,Anthus,sylvanus
nilpip1,Anthus nilghiriensis,Nilgiri Pipit,Passeriformes,Motacillidae,Anthus,nilghiriensis
ricpip1,Anthus richardi,Richard's Pipit,Passeriformes,Motacillidae,Anthus,richardi
oripip1,Anthus rufulus,Paddyfield Pipit,Passeriformes,Motacillidae,Anthus,rufulus
blypip1,Anthus godlewskii,Blyth's Pipit,Passeriformes,Motacillidae,Anthus,godlewskii
tawpip1,Anthus campestris,Tawny Pipit,Passeriformes,Motacillidae,Anthus,campestris
lobpip1,Anthus similis,Long-billed Pipit,Passeriformes,Motacillidae,Anthus,similis
eaywag1,Motacilla flava,Western Yellow Wagtail,Passeriformes,Motacillidae,Motacilla,flava
grywag,Motacilla cinerea,Gray Wagtail,Passeriformes,Motacillidae,Motacilla,cinerea
citwag,Motacilla citreola,Citrine Wagtail,Passeriformes,Motacillidae,Motacilla,citreola
eaywag,Motacilla tschutschensis,Eastern Yellow Wagtail,Passeriformes,Motacillidae,Motacilla,tschutschensis
whbwag1,Motacilla maderaspatensis,White-browed Wagtail,Passeriformes,Motacillidae,Motacilla,maderaspatensis
whiwag,Motacilla alba,White Wagtail,Passeriformes,Motacillidae,Motacilla,alba
comcha,Fringilla coelebs,Common Chaffinch,Passeriformes,Fringillidae,Fringilla,coelebs
brambl,Fringilla montifringilla,Brambling,Passeriformes,Fringillidae,Fringilla,montifringilla
baygro1,Mycerobas icterioides,Black-and-yellow Grosbeak,Passeriformes,Fringillidae,Mycerobas,icterioides
colgro1,Mycerobas affinis,Collared Grosbeak,Passeriformes,Fringillidae,Mycerobas,affinis
spwgro1,Mycerobas melanozanthos,Spot-winged Grosbeak,Passeriformes,Fringillidae,Mycerobas,melanozanthos
whwgro1,Mycerobas carnipes,White-winged Grosbeak,Passeriformes,Fringillidae,Mycerobas,carnipes
hawfin,Coccothraustes coccothraustes,Hawfinch,Passeriformes,Fringillidae,Coccothraustes,coccothraustes
comros,Carpodacus erythrinus,Common Rosefinch,Passeriformes,Fringillidae,Carpodacus,erythrinus
scafin1,Carpodacus sipahi,Scarlet Finch,Passeriformes,Fringillidae,Carpodacus,sipahi
tahmof1,Carpodacus sillemi,Sillem's Rosefinch,Passeriformes,Fringillidae,Carpodacus,sillemi
strros1,Carpodacus rubicilloides,Streaked Rosefinch,Passeriformes,Fringillidae,Carpodacus,rubicilloides
greros1,Carpodacus rubicilla,Great Rosefinch,Passeriformes,Fringillidae,Carpodacus,rubicilla
refros1,Carpodacus puniceus,Red-fronted Rosefinch,Passeriformes,Fringillidae,Carpodacus,puniceus
crbfin3,Carpodacus subhimachalus,Crimson-browed Finch,Passeriformes,Fringillidae,Carpodacus,subhimachalus
whbros1,Carpodacus thura,Himalayan White-browed Rosefinch,Passeriformes,Fringillidae,Carpodacus,thura
cwbros1,Carpodacus dubius,Chinese White-browed Rosefinch,Passeriformes,Fringillidae,Carpodacus,dubius
blyros1,Carpodacus grandis,Blyth's Rosefinch,Passeriformes,Fringillidae,Carpodacus,grandis
bearos1,Carpodacus pulcherrimus,Himalayan Beautiful Rosefinch,Passeriformes,Fringillidae,Carpodacus,pulcherrimus
pirros1,Carpodacus waltoni,Pink-rumped Rosefinch,Passeriformes,Fringillidae,Carpodacus,waltoni
darros1,Carpodacus edwardsii,Dark-rumped Rosefinch,Passeriformes,Fringillidae,Carpodacus,edwardsii
pibros2,Carpodacus rodochroa,Pink-browed Rosefinch,Passeriformes,Fringillidae,Carpodacus,rodochroa
spwros2,Carpodacus rodopeplus,Spot-winged Rosefinch,Passeriformes,Fringillidae,Carpodacus,rodopeplus
vinros2,Carpodacus vinaceus,Vinaceous Rosefinch,Passeriformes,Fringillidae,Carpodacus,vinaceus
brobul1,Pyrrhula nipalensis,Brown Bullfinch,Passeriformes,Fringillidae,Pyrrhula,nipalensis
orabul1,Pyrrhula aurantiaca,Orange Bullfinch,Passeriformes,Fringillidae,Pyrrhula,aurantiaca
rehbul1,Pyrrhula erythrocephala,Red-headed Bullfinch,Passeriformes,Fringillidae,Pyrrhula,erythrocephala
gyhbul2,Pyrrhula erythaca,Gray-headed Bullfinch,Passeriformes,Fringillidae,Pyrrhula,erythaca
trufin2,Bucanetes githagineus,Trumpeter Finch,Passeriformes,Fringillidae,Bucanetes,githagineus
monfin2,Bucanetes mongolicus,Mongolian Finch,Passeriformes,Fringillidae,Bucanetes,mongolicus
blaros1,Agraphospiza rubescens,Blanford's Rosefinch,Passeriformes,Fringillidae,Agraphospiza,rubescens
spefin1,Callacanthis burtoni,Spectacled Finch,Passeriformes,Fringillidae,Callacanthis,burtoni
gonfin1,Pyrrhoplectes epauletta,Gold-naped Finch,Passeriformes,Fringillidae,Pyrrhoplectes,epauletta
dabros1,Procarduelis nipalensis,Dark-breasted Rosefinch,Passeriformes,Fringillidae,Procarduelis,nipalensis
