eBird CODE,SCIENTIFIC.NAME,COMMON.NAME,order,family,genus,species
rebtro,Phaethon aethereus,Red-billed Tropicbird,Phaethontiformes,Phaethontidae,Phaethon,aethereus
rettro,Phaethon rubricauda,Red-tailed Tropicbird,Phaethontiformes,Phaethontidae,Phaethon,rubricauda
whttro,Phaethon lepturus,White-tailed Tropicbird,Phaethontiformes,Phaethontidae,Phaethon,lepturus
ceyfro1,Batrachostomus moniliger,Sri Lanka Frogmouth,Caprimulgiformes,Podargidae,Batrachostomus,moniliger
hodfro1,Batrachostomus hodgsoni,Hodgson's Frogmouth,Caprimulgiformes,Podargidae,Batrachostomus,hodgsoni
grenig1,Lyncornis macrotis,Great Eared-Nightjar,Caprimulgiformes,Caprimulgidae,Lyncornis,macrotis
grynig1,Caprimulgus jotaka,Gray Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,jotaka
grynig2,Caprimulgus indicus,Jungle Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,indicus
eurnig1,Caprimulgus europaeus,Eurasian Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,europaeus
syknig1,Caprimulgus mahrattensis,Sykes's Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,mahrattensis
jernig1,Caprimulgus atripennis,Jerdon's Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,atripennis
latnig2,Caprimulgus macrurus,Large-tailed Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,macrurus
andnig1,Caprimulgus andamanicus,Andaman Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,andamanicus
indnig1,Caprimulgus asiaticus,Indian Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,asiaticus
savnig1,Caprimulgus affinis,Savanna Nightjar,Caprimulgiformes,Caprimulgidae,Caprimulgus,affinis
cretre1,Hemiprocne coronata,Crested Treeswift,Caprimulgiformes,Hemiprocnidae,Hemiprocne,coronata
whrnee1,Zoonavena sylvatica,White-rumped Needletail,Caprimulgiformes,Apodidae,Zoonavena,sylvatica
whtnee,Hirundapus caudacutus,White-throated Needletail,Caprimulgiformes,Apodidae,Hirundapus,caudacutus
sibnee1,Hirundapus cochinchinensis,Silver-backed Needletail,Caprimulgiformes,Apodidae,Hirundapus,cochinchinensis
brbnee1,Hirundapus giganteus,Brown-backed Needletail,Caprimulgiformes,Apodidae,Hirundapus,giganteus
pltswi1,Collocalia affinis,Plume-toed Swiftlet,Caprimulgiformes,Apodidae,Collocalia,affinis
himswi2,Aerodramus brevirostris,Himalayan Swiftlet,Caprimulgiformes,Apodidae,Aerodramus,brevirostris
indswi1,Aerodramus unicolor,Indian Swiftlet,Caprimulgiformes,Apodidae,Aerodramus,unicolor
ednswi1,Aerodramus fuciphagus,White-nest Swiftlet,Caprimulgiformes,Apodidae,Aerodramus,fuciphagus
aspswi1,Cypsiurus balasiensis,Asian Palm-Swift,Caprimulgiformes,Apodidae,Cypsiurus,balasiensis
alpswi1,Apus melba,Alpine Swift,Caprimulgiformes,Apodidae,Apus,melba
darswi1,Apus acuticauda,Dark-rumped Swift,Caprimulgiformes,Apodidae,Apus,acuticauda
fotswi,Apus pacificus,Pacific Swift,Caprimulgiformes,Apodidae,Apus,pacificus
blyswi1,Apus leuconyx,Blyth's Swift,Caprimulgiformes,Apodidae,Apus,leuconyx
houswi1,Apus nipalensis,House Swift,Caprimulgiformes,Apodidae,Apus,nipalensis
litswi1,Apus affinis,Little Swift,Caprimulgiformes,Apodidae,Apus,affinis
comswi,Apus apus,Common Swift,Caprimulgiformes,Apodidae,Apus,apus
grecou1,Centropus sinensis,Greater Coucal,Cuculiformes,Cuculidae,Centropus,sinensis
