Common.Name,Scientific.Name,Migratory.Status,IUCN,WLPA.Schedule,CITES.Appendix,CMS.Appendix,Long.Term.Trend.Mean,Long.Term.Trend.Lower,Long.Term.Trend.Upper,Long.Term.Trend,Current.Annual.Change.Mean,Current.Annual.Change.Lower,Current.Annual.Change.Upper,Current.Annual.Change,Range.Size.Mean,Range.Size.Lower,Range.Size.Upper,Range.Size,Long.Term.Status,Current.Status,Range.Status,Concern.Status
Jungle Bush Quail,Perdicula asiatica,R,Least Concern,Schedule-IV,,,-53.48825391,-67.30833491,-39.66817291,-53.49±13.82,-5.935305112,-10.14164331,-1.728966917,-5.94±4.21,76.3501871,76.2320871,76.4682871,76.35±0.12,Moderate Decline,Moderate Decline,Large,Moderate
Rock Bush Quail,Perdicula argoondah,R,Least Concern,Schedule-IV,,,,,,,-7.472880225,-15.00191872,0.056158265,-7.47±7.53,26.288686,26.189186,26.388186,26.29±0.1,Data Deficient,Uncertain,Large,Low
Painted Bush Quail,Perdicula erythrorhyncha,R,Least Concern,Schedule-IV,,,,,,,,,,,4.0299632,3.9819632,4.0779632,4.03±0.05,Data Deficient,Data Deficient,Restricted,Moderate
Manipur Bush Quail,Perdicula manipurensis,R,Endangered,Schedule-IV,,,,,,,,,,,,,,,Data Deficient,Data Deficient,Data Deficient,High
Himalayan Quail,Ophrysia superciliosa,R,Critically Endangered,Schedule-I,,,,,,,,,,,,,,,Data Deficient,Data Deficient,Data Deficient,High
Black Francolin,Francolinus francolinus,R,Least Concern,Schedule-IV,,,-33.7553836,-62.13856491,-5.37220229,-33.76±28.38,0.058770379,-7.790611283,7.908152041,0.06±7.85,35.4794869,35.3906869,35.5682869,35.48±0.09,Uncertain,Uncertain,Large,Low
Painted Francolin,Francolinus pictus,R,Least Concern,Schedule-IV,,,,,,,2.635999335,-6.60121003,11.8732087,2.64±9.24,40.2477368,40.1465368,40.3489368,40.25±0.1,Data Deficient,Uncertain,Large,Low
Grey Francolin,Francolinus pondicerianus,R,Least Concern,Schedule-IV,,,5.400299688,-13.83543254,24.63603192,5.4±19.24,2.439642514,-1.064943814,5.944228842,2.44±3.5,154.9081101,154.8354101,154.9808101,154.91±0.07,Stable,Uncertain,Very Large,Low
Swamp Francolin,Francolinus gularis,R,Vulnerable,Schedule-IV,,,,,,,,,,,3.3878056,3.3007056,3.4749056,3.39±0.09,Data Deficient,Data Deficient,Restricted,High
Mountain Bamboo Partridge,Bambusicola fytchii,R,Least Concern,Schedule-I,,,,,,,,,,,3.1075897,3.0340897,3.1810897,3.11±0.07,Data Deficient,Data Deficient,Restricted,Moderate
Red Junglefowl,Gallus gallus,R,Least Concern,Schedule-IV,,,-16.36415242,-45.48609676,12.75779192,-16.36±29.12,2.309657711,-4.104490477,8.723805899,2.31±6.41,37.5486149,37.4808149,37.6164149,37.55±0.07,Uncertain,Uncertain,Large,Low
Grey Junglefowl,Gallus sonneratii,R,Least Concern,Schedule-IV,Appendix II,,-30.62848032,-56.52110836,-4.73585228,-30.63±25.89,-4.900933205,-10.38571867,0.583852261,-4.9±5.48,33.8482206,33.8056206,33.8908206,33.85±0.04,Uncertain,Uncertain,Large,Low
Blood Pheasant,Ithaginis cruentus,R,Least Concern,Schedule-I,Appendix II,,,,,,,,,,1.1155538,1.0652538,1.1658538,1.12±0.05,Data Deficient,Data Deficient,Restricted,Moderate
Himalayan Monal,Lophophorus impejanus,R,Least Concern,Schedule-I,Appendix I,,,,,,6.598082481,-22.11008083,35.30624579,6.6±28.71,7.6153711,7.5605711,7.6701711,7.62±0.05,Data Deficient,Uncertain,Moderate,Low
Sclater's Monal,Lophophorus sclateri,R,Vulnerable,Schedule-I,Appendix I,,,,,,,,,,0.125,0.125,0.125,0.12,Data Deficient,Data Deficient,Very Restricted,High
Snow Partridge,Lerwa lerwa,R,Least Concern,Schedule-IV,,,,,,,,,,,2.8632239,2.7865239,2.9399239,2.86±0.08,Data Deficient,Data Deficient,Restricted,Moderate
Western Tragopan,Tragopan melanocephalus,R,Vulnerable,Schedule-I,Appendix I,,,,,,,,,,0.3125,0.3125,0.3125,0.31,Data Deficient,Data Deficient,Very Restricted,High
Satyr Tragopan,Tragopan satyra,R,Near Threatened,Schedule-I,,,,,,,,,,,1.6482481,1.5618481,1.7346481,1.65±0.09,Data Deficient,Data Deficient,Restricted,Moderate
Blyth's Tragopan,Tragopan blythii,R,Vulnerable,Schedule-I,Appendix I,,,,,,,,,,1.214276,1.131876,1.296676,1.21±0.08,Data Deficient,Data Deficient,Restricted,High
Cheer Pheasant,Catreus wallichii,R,Vulnerable,Schedule-I,Appendix I,,,,,,,,,,2.7876262,2.7135262,2.8617262,2.79±0.07,Data Deficient,Data Deficient,Restricted,High
Kalij Pheasant,Lophura leucomelanos,R,Least Concern,Schedule-I,,,45.68997916,-21.97914677,113.3591051,45.69±67.67,2.369533744,-6.475717017,11.21478451,2.37±8.85,18.6347312,18.5714312,18.6980312,18.63±0.06,Uncertain,Uncertain,Moderate,Low
Koklass Pheasant,Pucrasia macrolopha,R,Least Concern,Schedule-IV,,,,,,,,,,,6.8721133,6.7996133,6.9446133,6.87±0.07,Data Deficient,Data Deficient,Moderate,Moderate
Greater Flamingo,Phoenicopterus roseus,LM,Least Concern,Schedule-IV,,Appendix II,53.96681644,-18.46496433,126.3985972,53.97±72.43,-2.994858251,-11.537083,5.547366498,-2.99±8.54,8.521447,8.458847,8.584047,8.52±0.06,Uncertain,Uncertain,Moderate,Low
Lesser Flamingo,Phoeniconaias minor,LM,Near Threatened,Schedule-IV,,Appendix II,,,,,-2.229507556,-21.98283301,17.52381789,-2.23±19.75,2.2280254,2.1458254,2.3102254,2.23±0.08,Data Deficient,Uncertain,Restricted,Moderate
Little Grebe,Tachybaptus ruficollis,R,Least Concern,Schedule-IV,,,-15.38719324,-29.92786895,-0.84651753,-15.39±14.54,-7.347690277,-9.551138339,-5.144242215,-7.35±2.2,164.0592996,163.9623996,164.1561996,164.06±0.1,Stable,Strong Decline,Very Large,Low
Great Crested Grebe,Podiceps cristatus,LM,Least Concern,Schedule-IV,,,-59.12065219,-100,-10.07232788,-59.12±49.05,5.297641547,-20.48906583,31.08434893,5.3±25.79,14.6196277,14.5555277,14.6837277,14.62±0.06,Uncertain,Uncertain,Moderate,Low
Rock Pigeon,Columba livia,R,Least Concern,Schedule-IV,,,143.9681557,116.9497476,170.9865638,143.97±27.02,8.675199218,6.543838105,10.80656033,8.68±2.13,222.6533985,222.5773985,222.7293985,222.65±0.08,Strong Increase,Strong Increase,Very Large,Low
Hill Pigeon,Columba rupestris,R,Least Concern,Schedule-IV,,,,,,,7.906699008,-15.16345621,30.97685423,7.91±23.07,12.6963159,12.6458159,12.7468159,12.7±0.05,Data Deficient,Uncertain,Moderate,Low
Snow Pigeon,Columba leuconota,R,Least Concern,Schedule-IV,,,,,,,10.14631804,-14.19279561,34.48543169,10.15±24.34,13.7391562,13.6638562,13.8144562,13.74±0.08,Data Deficient,Uncertain,Moderate,Low
Yellow-eyed Pigeon,Columba eversmanni,W/P,Vulnerable,Schedule-IV,,,,,,,,,,,0.6734923,0.5746923,0.7722923,0.67±0.1,Data Deficient,Data Deficient,Restricted,High
Speckled Wood Pigeon,Columba hodgsonii,R,Least Concern,Schedule-IV,,,,,,,-12.72092975,-38.84350715,13.40164765,-12.72±26.12,7.5948535,7.5216535,7.6680535,7.59±0.07,Data Deficient,Uncertain,Moderate,Low
Ashy Wood Pigeon,Columba pulchricollis,R,Least Concern,Schedule-IV,,,,,,,,,,,2.1100197,2.0331197,2.1869197,2.11±0.08,Data Deficient,Data Deficient,Restricted,Moderate
Nilgiri Wood Pigeon,Columba elphinstonii,R,Vulnerable,Schedule-IV,,,-28.55191043,-71.00872228,13.90490142,-28.55±42.46,10.63496428,-3.27755446,24.54748302,10.63±13.91,10.9435872,10.8943872,10.9927872,10.94±0.05,Uncertain,Uncertain,Moderate,Moderate
Pale-capped Pigeon,Columba punicea,R,Vulnerable,Schedule-IV,,,,,,,,,,,1.8712368,1.8039368,1.9385368,1.87±0.07,Data Deficient,Data Deficient,Restricted,High
Andaman Wood Pigeon,Columba palumboides,R,Near Threatened,Schedule-IV,,,,,,,,,,,0.4942783,0.4315783,0.5569783,0.49±0.06,Data Deficient,Data Deficient,Restricted,Moderate
Oriental Turtle Dove,Streptopelia orientalis,LM,Least Concern,Schedule-IV,,,-26.19400722,-50.44926731,-1.93874713,-26.19±24.26,1.6027475,-4.549073776,7.754568776,1.6±6.15,23.2414483,23.1837483,23.2991483,23.24±0.06,Stable,Uncertain,Moderate,Low
Eurasian Collared Dove,Streptopelia decaocto,R,Least Concern,Schedule-IV,,,-6.987613329,-23.13405751,9.158830851,-6.99±16.15,2.74143269,-0.49256142,5.9754268,2.74±3.23,188.1202716,188.0450716,188.1954716,188.12±0.08,Stable,Uncertain,Very Large,Low
Red Collared Dove,Streptopelia tranquebarica,R,Least Concern,Schedule-IV,,,-54.33117243,-65.4197714,-43.24257346,-54.33±11.09,-3.660840581,-7.480461933,0.158780771,-3.66±3.82,122.0231965,121.9211965,122.1251965,122.02±0.1,Moderate Decline,Uncertain,Very Large,Moderate
Spotted Dove,Streptopelia chinensis,R,Least Concern,Schedule-IV,,,17.16874474,1.94345925,32.39403023,17.17±15.23,-2.085838872,-4.074272435,-0.097405309,-2.09±1.99,200.6743278,200.5974278,200.7512278,200.67±0.08,Stable,Stable,Very Large,Low
Laughing Dove,Streptopelia senegalensis,R,Least Concern,Schedule-IV,,,8.498243531,-10.19326779,27.18975485,8.5±18.69,-1.270795273,-4.17492572,1.633335174,-1.27±2.9,181.2654337,181.2032337,181.3276337,181.27±0.06,Stable,Uncertain,Very Large,Low
Barred Cuckoo Dove,Macropygia unchall,R,Least Concern,Schedule-IV,,,,,,,4.59796184,-74.61237544,83.80829912,4.6±79.21,7.3495345,7.2568345,7.4422345,7.35±0.09,Data Deficient,Uncertain,Moderate,Low
Andaman Cuckoo Dove,Macropygia rufipennis,R,Least Concern,Schedule-IV,,,,,,,,,,,0.6066314,0.6021314,0.6111314,0.61±0,Data Deficient,Data Deficient,Restricted,Moderate
Asian Emerald Dove,Chalcophaps indica,R,Least Concern,Schedule-IV,,,-27.48050935,-50.20097749,-4.76004121,-27.48±22.72,-0.046356189,-5.433260181,5.340547803,-0.05±5.39,48.3987975,48.3321975,48.4653975,48.4±0.07,Stable,Uncertain,Large,Low
Orange-breasted Green Pigeon,Treron bicinctus,R,Least Concern,Schedule-IV,,,,,,,-8.128651314,-17.71338719,1.456084562,-8.13±9.58,21.2435486,21.1525486,21.3345486,21.24±0.09,Data Deficient,Uncertain,Moderate,Low
Grey-fronted Green Pigeon,Treron affinis,R,Least Concern,Schedule-IV,,,-50.77077559,-78.94559072,-22.59596046,-50.77±28.17,-5.874891634,-14.51401696,2.764233692,-5.87±8.64,14.3417337,14.3053337,14.3781337,14.34±0.04,Uncertain,Uncertain,Moderate,Low
Andaman Green Pigeon,Treron chloropterus,R,Near Threatened,Schedule-IV,,,,,,,-10.80852135,-17.48044467,-4.136598033,-10.81±6.67,0.6241585,0.5981585,0.6501585,0.62±0.03,Data Deficient,Strong Decline,Restricted,High
Yellow-legged Green Pigeon,Treron phoenicopterus,R,Least Concern,Schedule-IV,,,74.66470985,33.17214811,116.1572716,74.66±41.49,2.331911583,-1.761605338,6.425428504,2.33±4.09,129.0298234,128.9391234,129.1205234,129.03±0.09,Moderate Increase,Uncertain,Very Large,Low
Pin-tailed Green Pigeon,Treron apicauda,R,Least Concern,Schedule-IV,,,,,,,-1.101542182,-43.0730913,40.87000694,-1.1±41.97,8.2404477,8.1787477,8.3021477,8.24±0.06,Data Deficient,Uncertain,Moderate,Low
Wedge-tailed Green Pigeon,Treron sphenurus,R,Least Concern,Schedule-IV,,,,,,,3.826539854,-9.361709406,17.01478911,3.83±13.19,16.5027977,16.4226977,16.5828977,16.5±0.08,Data Deficient,Uncertain,Moderate,Low
Green Imperial-Pigeon,Ducula aenea,R,Least Concern,Schedule-IV,,,4.059892703,-46.99525627,55.11504167,4.06±51.06,-7.664258235,-14.42596189,-0.902554576,-7.66±6.76,23.6102682,23.5608682,23.6596682,23.61±0.05,Uncertain,Uncertain,Moderate,Low
Nicobar Imperial-Pigeon,Ducula nicobarica,R,Least Concern,Schedule-IV,,,,,,,,,,,0.1149693,0.1001693,0.1297693,0.11±0.01,Data Deficient,Data Deficient,Restricted,Moderate
Mountain Imperial Pigeon,Ducula badia,R,Least Concern,Schedule-IV,,,-73.06526888,-83.2806988,-62.84983896,-73.07±10.22,4.027019187,-3.6673342,11.72137257,4.03±7.69,17.1185242,17.0705242,17.1665242,17.12±0.05,Strong Decline,Uncertain,Moderate,Moderate
Tibetan Sandgrouse,Syrrhaptes tibetanus,R,Least Concern,Schedule-IV,,,,,,,,,,,2.6447048,2.5062048,2.7832048,2.64±0.14,Data Deficient,Data Deficient,Restricted,Moderate
Chestnut-bellied Sandgrouse,Pterocles exustus,R,Least Concern,Schedule-IV,,,-53.12742383,-71.54277494,-34.71207272,-53.13±18.42,0.496267622,-7.075739722,8.068274966,0.5±7.57,41.7443954,41.6678954,41.8208954,41.74±0.08,Moderate Decline,Uncertain,Large,Moderate
Painted Sandgrouse,Pterocles indicus,R,Least Concern,Schedule-IV,,,,,,,-5.542543432,-16.42025639,5.335169528,-5.54±10.88,17.2204302,17.1323302,17.3085302,17.22±0.09,Data Deficient,Uncertain,Moderate,Low
Great Indian Bustard,Ardeotis nigriceps,R,Critically Endangered,Schedule-I,Appendix I,,,,,,,,,,2.3148767,2.1985767,2.4311767,2.31±0.12,Data Deficient,Data Deficient,Restricted,High
Bengal Florican,Houbaropsis bengalensis,R,Critically Endangered,Schedule-I,Appendix I,,,,,,,,,,1.8381793,1.7690793,1.9072793,1.84±0.07,Data Deficient,Data Deficient,Restricted,High
Lesser Florican,Sypheotides indicus,R,Endangered,Schedule-I,Appendix II,,,,,,,,,,3.0278956,2.9648956,3.0908956,3.03±0.06,Data Deficient,Data Deficient,Restricted,High
Andaman Coucal,Centropus andamanensis,R,Least Concern,Schedule-IV,,,,,,,-1.771721834,-6.457594079,2.914150411,-1.77±4.69,0.5078349,0.4859349,0.5297349,0.51±0.02,Data Deficient,Uncertain,Restricted,Moderate
Greater Coucal,Centropus sinensis,R,Least Concern,Schedule-IV,,,40.07506372,24.35664629,55.79348115,40.08±15.72,3.842442152,1.794644449,5.890239855,3.84±2.05,193.4335541,193.3565541,193.5105541,193.43±0.08,Stable,Strong Increase,Very Large,Low
Lesser Coucal,Centropus bengalensis,R,Least Concern,Schedule-IV,,,,,,,16.40590228,-3.37729901,36.18910357,16.41±19.78,20.8433026,20.7745026,20.9121026,20.84±0.07,Data Deficient,Uncertain,Moderate,Low
Sirkeer Malkoha,Taccocua leschenaultii,R,Least Concern,Schedule-IV,,,-70.92759378,-80.31414395,-61.54104361,-70.93±9.39,-5.072348205,-9.782911483,-0.361784927,-5.07±4.71,58.1832574,58.0675574,58.2989574,58.18±0.12,Strong Decline,Uncertain,Large,Moderate
Blue-faced Malkoha,Phaenicophaeus viridirostris,R,Least Concern,Schedule-IV,,,-11.9525409,-43.6560551,19.7509733,-11.95±31.7,-4.772564119,-9.945827194,0.400698956,-4.77±5.17,45.9158591,45.8520591,45.9796591,45.92±0.06,Uncertain,Uncertain,Large,Low
Green-billed Malkoha,Phaenicophaeus tristis,R,Least Concern,Schedule-IV,,,24.32694829,-47.36695342,96.02085,24.33±71.69,4.507549263,-7.456964377,16.4720629,4.51±11.96,20.9831856,20.9075856,21.0587856,20.98±0.08,Uncertain,Uncertain,Moderate,Low
Pied Cuckoo,Clamator jacobinus,LM,Least Concern,Schedule-IV,,,-39.22961137,-54.58533578,-23.87388696,-39.23±15.36,-2.224564543,-6.258813687,1.809684601,-2.22±4.03,67.9685595,67.8657595,68.0713595,67.97±0.1,Stable,Uncertain,Large,Low
Asian Koel,Eudynamys scolopaceus,R,Least Concern,Schedule-IV,,,59.44938911,39.82035862,79.0784196,59.45±19.63,5.351202332,3.04780503,7.654599634,5.35±2.3,186.1961492,186.1175492,186.2747492,186.2±0.08,Moderate Increase,Strong Increase,Very Large,Low
Banded Bay Cuckoo,Cacomantis sonneratii,R,Least Concern,Schedule-IV,,,-59.50815228,-75.74667553,-43.26962903,-59.51±16.24,8.709995512,-0.339268917,17.75925994,8.71±9.05,30.3636128,30.2704128,30.4568128,30.36±0.09,Moderate Decline,Uncertain,Large,Moderate
Plaintive Cuckoo,Cacomantis merulinus,LM,Least Concern,Schedule-IV,,,,,,,-11.69630989,-24.98643819,1.59381841,-11.7±13.29,2.8650172,2.7816172,2.9484172,2.87±0.08,Data Deficient,Uncertain,Restricted,Moderate
Grey-bellied Cuckoo,Cacomantis passerinus,R,Least Concern,Schedule-IV,,,-12.79359933,-38.87633354,13.28913488,-12.79±26.08,3.672918435,-2.067596525,9.413433395,3.67±5.74,88.9977786,88.8462786,89.1492786,89±0.15,Uncertain,Uncertain,Large,Low
Fork-tailed Drongo Cuckoo,Surniculus dicruroides,LM,Least Concern,Schedule-IV,,,,,,,-5.539844683,-22.42346653,11.34377717,-5.54±16.88,5.0003648,4.9161648,5.0845648,5±0.08,Data Deficient,Uncertain,Moderate,Low
Square-tailed Drongo Cuckoo,Surniculus lugubris,S,Least Concern,Schedule-IV,,,,,,,1.509636706,-28.64814483,31.66741825,1.51±30.16,7.3234996,7.2000996,7.4468996,7.32±0.12,Data Deficient,Uncertain,Moderate,Low
Large Hawk Cuckoo,Hierococcyx sparverioides,LM,Least Concern,Schedule-IV,,,-42.61104656,-100,18.11890039,-42.61±60.73,-3.080037978,-19.40328455,13.24320859,-3.08±16.32,6.6808378,6.5869378,6.7747378,6.68±0.09,Uncertain,Uncertain,Moderate,Low
Common Hawk Cuckoo,Hierococcyx varius,R,Least Concern,Schedule-IV,,,-36.28824685,-46.52819763,-26.04829607,-36.29±10.24,-3.390163204,-5.855252125,-0.925074283,-3.39±2.47,159.3568466,159.2425466,159.4711466,159.36±0.11,Moderate Decline,Uncertain,Very Large,Moderate
Lesser Cuckoo,Cuculus poliocephalus,LM,Least Concern,Schedule-IV,,,,,,,-17.9638933,-29.99372621,-5.93406039,-17.96±12.03,7.13088,6.99608,7.26568,7.13±0.13,Data Deficient,Strong Decline,Moderate,Moderate
Indian Cuckoo,Cuculus micropterus,LM,Least Concern,Schedule-IV,,,-56.77903707,-78.59673612,-34.96133802,-56.78±21.82,-10.15563347,-16.33775407,-3.973512871,-10.16±6.18,27.5698472,27.5028472,27.6368472,27.57±0.07,Moderate Decline,Strong Decline,Large,Moderate
