"Common.Name","Scientific.Name","IUCN","WLPA.Schedule","Long.Term.Status","Current.Status","Range.Status","Concern.Status"
"Crested Treeswift","Hemiprocne coronata","Least Concern","Schedule-IV","Strong Decline","Strong Decline","Large","High"
"Black-necked Crane","Grus nigricollis","Vulnerable","Schedule-I","Data Deficient","Data Deficient","Restricted","High"
"Pacific Golden Plover","Pluvialis fulva","Least Concern","Schedule-IV","Strong Decline","Strong Decline","Moderate","High"
"Sociable Lapwing","Vanellus gregarius","Critically Endangered","Schedule-IV","Data Deficient","Data Deficient","Very Restricted","High"
"Great Knot","Calidris tenuirostris","Endangered","Schedule-IV","Data Deficient","Data Deficient","Restricted","High"
"Common Greenshank","Tringa nebularia","Least Concern","Schedule-IV","Strong Decline","Moderate Decline","Large","High"
"Jerdon's Courser","Rhinoptilus bitorquatus","Critically Endangered","Schedule-I","Data Deficient","Data Deficient","Data Deficient","High"
"Gull-billed Tern","Gelochelidon nilotica","Least Concern","Schedule-IV","Strong Decline","Uncertain","Restricted","High"
"Black-bellied Tern","Sterna acuticauda","Endangered","Schedule-IV","Data Deficient","Data Deficient","Restricted","High"
"Indian Skimmer","Rynchops albicollis","Vulnerable","Schedule-IV","Data Deficient","Data Deficient","Restricted","High"
"Greater Adjutant","Leptoptilos dubius","Endangered","Schedule-IV","Data Deficient","Data Deficient","Moderate","High"
"Cinnamon Bittern","Ixobrychus cinnamomeus","Least Concern","Schedule-IV","Strong Decline","Strong Decline","Moderate","High"
"White-bellied Heron","Ardea insignis","Critically Endangered","Schedule-I","Data Deficient","Data Deficient","Very Restricted","High"
"Egyptian Vulture","Neophron percnopterus","Endangered","Schedule-IV","Moderate Decline","Strong Decline","Large","High"
"Red-headed Vulture","Sarcogyps calvus","Critically Endangered","Schedule-IV","Strong Decline","Strong Decline","Moderate","High"
"White-rumped Vulture","Gyps bengalensis","Critically Endangered","Schedule-I","Strong Decline","Strong Decline","Moderate","High"
"Indian Vulture","Gyps indicus","Critically Endangered","Schedule-I","Strong Decline","Strong Decline","Moderate","High"
"Slender-billed Vulture","Gyps tenuirostris","Critically Endangered","Schedule-I","Data Deficient","Data Deficient","Restricted","High"
"Andaman Serpent Eagle","Spilornis elgini","Vulnerable","Schedule-I","Data Deficient","Uncertain","Restricted","High"
"Short-toed Snake Eagle","Circaetus gallicus","Least Concern","Schedule-I","Strong Decline","Strong Decline","Very Large","High"
"Tawny Eagle","Aquila rapax","Vulnerable","Schedule-I","Strong Decline","Strong Decline","Large","High"
"Steppe Eagle","Aquila nipalensis","Endangered","Schedule-I","Uncertain","Uncertain","Large","High"
