"sl","Common.Name","Scientific.Name","eBird.English.Name.2018","eBird.English.Name.2019","eBird.species.group","order","family","IUCN","WLPA.Schedule","Long.Term.Analysis","Current.Analysis","Long.Term.Trend","Long.Term.Trend.CI","Current.Annual.Change","Current.Annual.Change.CI","Range.Size","Range.Size.CI","Long.Term.Status","Current.Status","Range.Status","Concern.Status","Migratory.Status","Diet.Category","Waterbirds","Raptors","Raptors.Scavengers","Raptors.Composite","Waterbirds.Composite","Habitat.Composite","Endemics.Composite","Diet.Composite"
401,"Great Grey Shrike","Lanius excubitor","Great Gray Shrike","Great Gray Shrike","Shrikes","Passeriformes","Laniidae (Shrikes)","Least Concern","Schedule-IV","X","X",-84.45900937,6.471064845,-7.896987162,5.881090975,4.2582648,0.0683999999999996,"Strong Decline","Moderate Decline","Moderate","High","Resident","VertFishScav","","","","","","Grassland/Scrub","Resident-Non-Endemics","Carnivorous"
402,"Black-headed Shrike-babbler","Pteruthius rufiventer","Black-headed Shrike-Babbler","Black-headed Shrike-Babbler","Shrike-Babblers and Erpornis","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,4.4434053,0.111499999999999,"Data Deficient","Data Deficient","Moderate","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
403,"Himalayan Shrike-babbler","Pteruthius ripleyi","Himalayan Shrike-Babbler","Himalayan Shrike-Babbler","Shrike-Babblers and Erpornis","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,6.0723591,0.0650000000000004,"Data Deficient","Data Deficient","Moderate","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
404,"Green Shrike-babbler","Pteruthius xanthochlorus","Green Shrike-Babbler","Green Shrike-Babbler","Shrike-Babblers and Erpornis","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Least Concern","Schedule-IV","","X",NA,NA,1.190424929,32.88638092,9.8279927,0.111800000000001,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
405,"White-bellied Erpornis","Erpornis zantholeuca","White-bellied Erpornis","White-bellied Erpornis","Shrike-Babblers and Erpornis","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Least Concern","Schedule-IV","","X",NA,NA,5.360738732,27.78823151,9.9624758,0.0888000000000009,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
406,"Indian Golden Oriole","Oriolus kundoo","Indian Golden Oriole","Indian Golden Oriole","Old World Orioles","Passeriformes","Oriolidae (Old World Orioles)","Least Concern","Schedule-IV","X","X",-9.529976065,15.09588133,-3.578857365,2.565417534,65.2435776,0.097999999999999,"Stable","Uncertain","Large","Low","Migratory-Local","Omnivore","","","","","","Generalists","","Omnivorous"
407,"Black-naped Oriole","Oriolus chinensis","Black-naped Oriole","Black-naped Oriole","Old World Orioles","Passeriformes","Oriolidae (Old World Orioles)","Least Concern","Schedule-IV","X","X",-11.44077417,75.74350076,-2.345425781,14.00055123,24.229411,0.0630000000000024,"Uncertain","Uncertain","Moderate","Low","Migratory-Long-Distance","FruiNect","","","","","","Generalists","","Fruit-Nectar"
408,"Black-hooded Oriole","Oriolus xanthornus","Black-hooded Oriole","Black-hooded Oriole","Old World Orioles","Passeriformes","Oriolidae (Old World Orioles)","Least Concern","Schedule-IV","X","X",-18.11395713,20.90937688,0.505724865,4.471784075,97.0631092,0.0628999999999991,"Stable","Uncertain","Large","Low","Resident","FruiNect","","","","","","Generalists","Resident-Non-Endemics","Fruit-Nectar"
409,"Maroon Oriole","Oriolus traillii","Maroon Oriole","Maroon Oriole","Old World Orioles","Passeriformes","Oriolidae (Old World Orioles)","Least Concern","Schedule-IV","X","X",20.53133052,55.2766339,-1.010921754,7.377783907,16.3643836,0.0752999999999986,"Uncertain","Uncertain","Moderate","Low","Resident","FruiNect","","","","","","Forests","Resident-Non-Endemics","Fruit-Nectar"
410,"Black Drongo","Dicrurus macrocercus","Black Drongo","Black Drongo","Drongos","Passeriformes","Dicruridae (Drongos)","Least Concern","Schedule-IV","X","X",32.16340602,13.50284134,-3.426519177,1.38977742,224.3541128,0.0690999999999917,"Stable","Moderate Decline","Very Large","Low","Resident","Omnivore","","","","","","Grassland/Scrub","Resident-Non-Endemics","Omnivorous"
411,"Ashy Drongo","Dicrurus leucophaeus","Ashy Drongo","Ashy Drongo","Drongos","Passeriformes","Dicruridae (Drongos)","Least Concern","Schedule-IV","X","X",1.323172778,23.36005244,-0.485761933,3.894489172,23.2820705,0.0626999999999995,"Stable","Uncertain","Moderate","Low","Migratory-Local","Invertebrate","","","","","","Generalists","","Invertebrate"
412,"White-bellied Drongo","Dicrurus caerulescens","White-bellied Drongo","White-bellied Drongo","Drongos","Passeriformes","Dicruridae (Drongos)","Least Concern","Schedule-IV","X","X",-30.747967,18.43612592,-7.781276574,3.467553195,92.5248591,0.0853000000000037,"Stable","Strong Decline","Large","Moderate","Resident","Invertebrate","","","","","","Generalists","Others-Subcontinent","Invertebrate"
413,"Bronzed Drongo","Dicrurus aeneus","Bronzed Drongo","Bronzed Drongo","Drongos","Passeriformes","Dicruridae (Drongos)","Least Concern","Schedule-IV","X","X",-34.76758449,20.45371861,-0.866997577,5.695706293,45.5279306,0.0576000000000008,"Stable","Uncertain","Large","Low","Resident","Invertebrate","","","","","","Forests","Resident-Non-Endemics","Invertebrate"
414,"Lesser Racket-tailed Drongo","Dicrurus remifer","Lesser Racket-tailed Drongo","Lesser Racket-tailed Drongo","Drongos","Passeriformes","Dicruridae (Drongos)","Least Concern","Schedule-IV","X","X",-23.26100637,53.90790411,-8.686208207,9.06897529,14.433654,0.0693999999999999,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","Resident-Non-Endemics","Invertebrate"
415,"Hair-crested Drongo","Dicrurus hottentottus","Hair-crested Drongo","Hair-crested Drongo","Drongos","Passeriformes","Dicruridae (Drongos)","Least Concern","Schedule-IV","X","X",-30.69997194,32.80728459,0.598316282,8.677328478,9.1775274,0.0801999999999996,"Uncertain","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Generalists","Resident-Non-Endemics","Omnivorous"
416,"Andaman Drongo","Dicrurus andamanensis","Andaman Drongo","Andaman Drongo","Drongos","Passeriformes","Dicruridae (Drongos)","Least Concern","Schedule-IV","","X",NA,NA,-6.714177325,6.809421539,0.5788416,9.9999999999989e-05,"Data Deficient","Uncertain","Restricted","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
417,"Greater Racket-tailed Drongo","Dicrurus paradiseus","Greater Racket-tailed Drongo","Greater Racket-tailed Drongo","Drongos","Passeriformes","Dicruridae (Drongos)","Least Concern","Schedule-IV","X","X",-47.26180169,16.97490045,-2.728179464,5.302442756,51.8895992,0.0532000000000039,"Moderate Decline","Uncertain","Large","Moderate","Resident","Invertebrate","","","","","","Forests","Resident-Non-Endemics","Invertebrate"
418,"White-throated Fantail","Rhipidura albicollis","White-throated Fantail","White-throated Fantail","Fantails","Passeriformes","Rhipiduridae (Fantails)","Least Concern","Schedule-IV","X","X",52.21668645,56.83352418,1.694773995,6.492145815,36.8164245,0.0722000000000023,"Uncertain","Uncertain","Large","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
419,"White-spotted Fantail","Rhipidura albogularis","Spot-breasted Fantail","Spot-breasted Fantail","Fantails","Passeriformes","Rhipiduridae (Fantails)","Least Concern","Schedule-IV","X","X",44.65647391,51.5238639,15.77735226,8.393654007,47.1414759,0.0712999999999937,"Uncertain","Strong Increase","Large","Low","Resident","Invertebrate","","","","","","Generalists","Others-Subcontinent","Invertebrate"
420,"White-browed Fantail","Rhipidura aureola","White-browed Fantail","White-browed Fantail","Fantails","Passeriformes","Rhipiduridae (Fantails)","Least Concern","Schedule-IV","X","X",-32.99522586,18.51417335,-3.756847496,4.251448393,85.5428955,0.0857000000000028,"Stable","Uncertain","Large","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
421,"Black-naped Monarch","Hypothymis azurea","Black-naped Monarch","Black-naped Monarch","Monarch Flycatchers","Passeriformes","Monarchidae (Monarch Flycatchers)","Least Concern","Schedule-IV","X","X",-46.83718217,13.56922697,-0.015624841,4.332374067,79.0816966,0.0797000000000025,"Moderate Decline","Uncertain","Large","Moderate","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
422,"Indian Paradise-flycatcher","Terpsiphone paradisi","Indian Paradise-Flycatcher","Indian Paradise-Flycatcher","Monarch Flycatchers","Passeriformes","Monarchidae (Monarch Flycatchers)","Least Concern","Schedule-IV","X","X",-20.21237359,16.65745195,-1.925789293,3.380350195,54.3050019,0.0884,"Stable","Uncertain","Large","Low","Migratory-Local","Invertebrate","","","","","","Generalists","","Invertebrate"
423,"Eurasian Jay","Garrulus glandarius","Eurasian Jay","Eurasian Jay","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-IV","","X",NA,NA,-2.848828864,12.82092679,8.1807318,0.0628999999999991,"Data Deficient","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Forests","","Omnivorous"
424,"Black-headed Jay","Garrulus lanceolatus","Black-headed Jay","Black-headed Jay","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-IV","X","X",-19.93604376,59.33520675,0.829627657,13.05801556,9.0703946,0.0486000000000004,"Uncertain","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Generalists","Resident-Non-Endemics","Omnivorous"
425,"Yellow-billed Blue Magpie","Urocissa flavirostris","Yellow-billed Blue-Magpie","Yellow-billed Blue-Magpie","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-IV","X","X",21.93399766,87.27951125,-1.379887049,12.1370772,14.4697577,0.0521999999999991,"Uncertain","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Forests","Resident-Non-Endemics","Omnivorous"
426,"Red-billed Blue Magpie","Urocissa erythroryncha","Red-billed Blue-Magpie","Red-billed Blue-Magpie","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-IV","X","X",-18.19179106,52.68772556,-0.286384651,10.81676905,12.1774325,0.0510000000000002,"Uncertain","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Generalists","Resident-Non-Endemics","Omnivorous"
427,"Common Green Magpie","Cissa chinensis","Common Green-Magpie","Common Green-Magpie","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-IV","X","X",-8.765933436,61.70888958,2.720704837,12.80988412,9.0714071,0.0616000000000003,"Uncertain","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Forests","Resident-Non-Endemics","Omnivorous"
428,"Rufous Treepie","Dendrocitta vagabunda","Rufous Treepie","Rufous Treepie","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-IV","X","X",18.34515236,15.7583482,-2.472228747,2.139870698,173.6997346,0.0749000000000137,"Stable","Uncertain","Very Large","Low","Resident","Omnivore","","","","","","Generalists","Resident-Non-Endemics","Omnivorous"
429,"Grey Treepie","Dendrocitta formosae","Gray Treepie","Gray Treepie","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-IV","X","X",72.72612973,73.39778396,15.6299523,10.95557029,23.5397195,0.0672999999999995,"Uncertain","Strong Increase","Moderate","Low","Resident","Omnivore","","","","","","Forests","Resident-Non-Endemics","Omnivorous"
430,"White-bellied Treepie","Dendrocitta leucogastra","White-bellied Treepie","White-bellied Treepie","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-IV","X","X",-70.09488228,22.06939501,-6.656399913,10.55912865,7.3952031,0.0342000000000002,"Moderate Decline","Uncertain","Moderate","Moderate","Resident","Omnivore","","","","","","Forests","Western-Ghats","Omnivorous"
431,"Collared Treepie","Dendrocitta frontalis","Collared Treepie","Collared Treepie","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-IV","","X",NA,NA,0.990577479,22.09362056,2.7854499,0.0680000000000001,"Data Deficient","Uncertain","Restricted","Moderate","Resident","Omnivore","","","","","","Forests","","Omnivorous"
432,"Andaman Treepie","Dendrocitta bayleii","Andaman Treepie","Andaman Treepie","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Vulnerable","Schedule-IV","","",NA,NA,NA,NA,0.5016529,0.0222,"Data Deficient","Data Deficient","Restricted","High","Resident","Omnivore","","","","","","Forests","","Omnivorous"
433,"Large-spotted Nutcracker","Nucifraga multipunctata","Kashmir Nutcracker","Kashmir Nutcracker","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,2.3990613,0.0844,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","PlantSeed","","","","","","Forests","","Plant-Seed"
434,"Red-billed Chough","Pyrrhocorax pyrrhocorax","Red-billed Chough","Red-billed Chough","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-IV","X","X",-47.70244857,42.30139916,6.370887407,18.49508416,12.6834785,0.0538000000000007,"Uncertain","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Generalists","Resident-Non-Endemics","Omnivorous"
435,"Yellow-billed Chough","Pyrrhocorax graculus","Yellow-billed Chough","Yellow-billed Chough","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-IV","","X",NA,NA,1.851267356,16.8026795,12.6934595,0.0624000000000002,"Data Deficient","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Generalists","","Omnivorous"
436,"House Crow","Corvus splendens","House Crow","House Crow","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-V","X","X",47.10004882,16.02930428,1.399722431,1.852094692,217.9789637,0.0622999999999934,"Moderate Increase","Stable","Very Large","Low","Resident","VertFishScav","","","","","","Generalists","Resident-Non-Endemics","Carnivorous"
437,"Large-billed Crow","Corvus macrorhynchos","Large-billed Crow","Large-billed Crow","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-IV","X","X",4.778673426,12.05023417,2.366035562,2.179039733,203.0057561,0.0745000000000005,"Stable","Uncertain","Very Large","Low","Resident","Omnivore","","","","","","Generalists","Resident-Non-Endemics","Omnivorous"
438,"Common Raven","Corvus corax","Common Raven","Common Raven","Jays, Magpies, Crows, and Ravens","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Least Concern","Schedule-IV","","X",NA,NA,-9.13648496,8.533702451,19.3355067,0.0824999999999996,"Data Deficient","Uncertain","Moderate","Low","Resident","VertFishScav","","","","","","Generalists","","Carnivorous"
439,"Rufous-tailed Lark","Ammomanes phoenicura","Rufous-tailed Lark","Rufous-tailed Lark","Larks","Passeriformes","Alaudidae (Larks)","Least Concern","Schedule-IV","X","X",-67.58329388,8.816884421,-3.05072365,4.244698449,91.1214222,0.0812999999999988,"Strong Decline","Uncertain","Large","Moderate","Resident","Omnivore","","","","","","Grassland/Scrub","Others-Subcontinent","Omnivorous"
440,"Ashy-crowned Sparrow Lark","Eremopterix griseus","Ashy-crowned Sparrow-Lark","Ashy-crowned Sparrow-Lark","Larks","Passeriformes","Alaudidae (Larks)","Least Concern","Schedule-IV","X","X",-51.18866339,10.36094847,-3.520003801,3.47615278,135.9619791,0.0791999999999859,"Moderate Decline","Uncertain","Very Large","Moderate","Resident","PlantSeed","","","","","","Grassland/Scrub","Others-Subcontinent","Plant-Seed"
441,"Singing Bushlark","Mirafra cantillans","Singing Bushlark","Singing Bushlark","Larks","Passeriformes","Alaudidae (Larks)","Least Concern","Schedule-IV","","X",NA,NA,-24.03389697,3.746918938,16.2293687,0.1035,"Data Deficient","Strong Decline","Moderate","Moderate","Resident","Omnivore","","","","","","Grassland/Scrub","","Omnivorous"
442,"Bengal Bushlark","Mirafra assamica","Bengal Bushlark","Bengal Bushlark","Larks","Passeriformes","Alaudidae (Larks)","Least Concern","Schedule-IV","","X",NA,NA,-6.330312631,7.573982277,24.9231348,0.0767999999999986,"Data Deficient","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Grassland/Scrub","Others-Subcontinent","Omnivorous"
443,"Jerdon's Bushlark","Mirafra affinis","Jerdon's Bushlark","Jerdon's Bushlark","Larks","Passeriformes","Alaudidae (Larks)","Least Concern","Schedule-IV","X","X",-13.32721141,37.23661061,-1.051052065,7.308364056,36.0448172,0.0518000000000001,"Uncertain","Uncertain","Large","Low","Resident","Omnivore","","","","","","Grassland/Scrub","Others-Subcontinent","Omnivorous"
444,"Indian Bushlark","Mirafra erythroptera","Indian Bushlark","Indian Bushlark","Larks","Passeriformes","Alaudidae (Larks)","Least Concern","Schedule-IV","X","X",-33.85851447,17.88487945,-3.418607673,4.210042743,90.1980883,0.0964000000000027,"Stable","Uncertain","Large","Low","Resident","Omnivore","","","","","","Grassland/Scrub","Others-Subcontinent","Omnivorous"
445,"Greater Short-toed Lark","Calandrella brachydactyla","Greater Short-toed Lark","Greater Short-toed Lark","Larks","Passeriformes","Alaudidae (Larks)","Least Concern","Schedule-IV","X","X",-41.48048751,173.2092345,191.1569978,400.8028466,24.8879322,0.0625999999999998,"Uncertain","Uncertain","Moderate","Low","Migratory-Long-Distance","Invertebrate","","","","","","Grassland/Scrub","","Invertebrate"
446,"Sykes's Short-toed Lark","Calandrella dukhunensis","Sykes's Short-toed Lark","Sykes's Short-toed Lark","Larks","Passeriformes","Alaudidae (Larks)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,NA,NA,"","","","","Migratory-Long-Distance","Invertebrate","","","","","","Grassland/Scrub","","Invertebrate"
447,"Sand Lark","Alaudala raytal","Sand Lark","Sand Lark","Larks","Passeriformes","Alaudidae (Larks)","Least Concern","Schedule-IV","X","X",-53.57515121,26.16498256,6.223793018,11.97499773,21.7148919,0.0792000000000002,"Moderate Decline","Uncertain","Moderate","Moderate","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
448,"Oriental Skylark","Alauda gulgula","Oriental Skylark","Oriental Skylark","Larks","Passeriformes","Alaudidae (Larks)","Least Concern","Schedule-IV","X","X",-61.11221696,9.842548463,0.330423726,4.55601645,90.1812672,0.116400000000013,"Strong Decline","Uncertain","Large","Moderate","Resident","Omnivore","","","","","","Generalists","Resident-Non-Endemics","Omnivorous"
449,"Crested Lark","Galerida cristata","Crested Lark","Crested Lark","Larks","Passeriformes","Alaudidae (Larks)","Least Concern","Schedule-IV","X","X",-61.47143421,12.94774312,-1.626588818,5.721749749,41.1268596,0.0837999999999965,"Moderate Decline","Uncertain","Large","Moderate","Resident","PlantSeed","","","","","","Generalists","Resident-Non-Endemics","Plant-Seed"
450,"Malabar Lark","Galerida malabarica","Malabar Lark","Malabar Lark","Larks","Passeriformes","Alaudidae (Larks)","Least Concern","Schedule-IV","X","X",-59.79905255,26.14552239,-10.02487759,8.207942202,15.8621432,0.0475999999999992,"Moderate Decline","Moderate Decline","Moderate","Moderate","Resident","Omnivore","","","","","","Grassland/Scrub","Others-Subcontinent","Omnivorous"
451,"Sykes's Lark","Galerida deva","Tawny Lark","Tawny Lark","Larks","Passeriformes","Alaudidae (Larks)","Least Concern","Schedule-IV","","X",NA,NA,-5.178170883,6.819303732,31.8654608,0.0878999999999976,"Data Deficient","Uncertain","Large","Low","Resident","Omnivore","","","","","","Grassland/Scrub","Others-Subcontinent","Omnivorous"
452,"Grey-throated Martin","Riparia chinensis","Gray-throated Martin","Gray-throated Martin","Martins and Swallows","Passeriformes","Hirundinidae (Swallows)","Least Concern","Schedule-IV","X","X",-36.58661678,22.76202813,2.998674503,6.989829189,57.5636633,0.0912000000000006,"Stable","Uncertain","Large","Low","Resident","Invertebrate","","","","","","Wetlands","Resident-Non-Endemics","Invertebrate"
453,"Eurasian Crag Martin","Ptyonoprogne rupestris","Eurasian Crag-Martin","Eurasian Crag-Martin","Martins and Swallows","Passeriformes","Hirundinidae (Swallows)","Least Concern","Schedule-IV","X","X",-77.48642666,22.6217462,-3.396843949,16.34490331,4.8919561,0.0715000000000003,"Strong Decline","Uncertain","Moderate","Moderate","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
454,"Dusky Crag Martin","Ptyonoprogne concolor","Dusky Crag-Martin","Dusky Crag-Martin","Martins and Swallows","Passeriformes","Hirundinidae (Swallows)","Least Concern","Schedule-IV","X","X",-24.61751927,17.41762407,8.154399505,5.333940767,104.7196132,0.0838999999999999,"Stable","Strong Increase","Very Large","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
455,"Barn Swallow","Hirundo rustica","Barn Swallow","Barn Swallow","Martins and Swallows","Passeriformes","Hirundinidae (Swallows)","Least Concern","Schedule-IV","X","X",-16.29675137,12.14461822,-0.411234469,2.273816746,140.6297803,0.0909000000000049,"Stable","Uncertain","Very Large","Low","Migratory-Local","Invertebrate","","","","","","Generalists","","Invertebrate"
456,"Wire-tailed Swallow","Hirundo smithii","Wire-tailed Swallow","Wire-tailed Swallow","Martins and Swallows","Passeriformes","Hirundinidae (Swallows)","Least Concern","Schedule-IV","X","X",-5.905611961,20.40403667,-0.120051933,3.694004333,151.1085767,0.0923000000000229,"Stable","Uncertain","Very Large","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
457,"Hill Swallow","Hirundo domicola","Hill Swallow","Hill Swallow","Martins and Swallows","Passeriformes","Hirundinidae (Swallows)","Least Concern","Schedule-IV","","X",NA,NA,-2.422009275,11.03379883,3.6778123,0.036,"Data Deficient","Uncertain","Restricted","Moderate","Resident","Invertebrate","","","","","","Generalists","Western-Ghats","Invertebrate"
458,"Red-rumped Swallow","Cecropis daurica","Red-rumped Swallow","Red-rumped Swallow","Martins and Swallows","Passeriformes","Hirundinidae (Swallows)","Least Concern","Schedule-IV","X","X",-35.76519142,10.92112462,1.079815456,2.994610667,132.6356495,0.0900000000000034,"Stable","Uncertain","Very Large","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
459,"Streak-throated Swallow","Petrochelidon fluvicola","Streak-throated Swallow","Streak-throated Swallow","Martins and Swallows","Passeriformes","Hirundinidae (Swallows)","Least Concern","Schedule-IV","X","X",-22.59055426,20.31748146,7.156680582,5.331043552,111.1713196,0.130099999999999,"Stable","Strong Increase","Very Large","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
460,"Nepal House Martin","Delichon nipalense","Nepal House-Martin","Nepal House-Martin","Martins and Swallows","Passeriformes","Hirundinidae (Swallows)","Least Concern","Schedule-IV","","X",NA,NA,-9.039444435,23.99171014,2.7922101,0.0797999999999996,"Data Deficient","Uncertain","Restricted","Moderate","Resident","Invertebrate","","","","","","Generalists","","Invertebrate"
461,"Yellow-bellied Fairy-fantail","Chelidorhynx hypoxanthus","Yellow-bellied Fairy-Fantail","Yellow-bellied Fairy-Fantail","Fairy Flycatchers","Passeriformes","Stenostiridae (Fairy Flycatchers)","Least Concern","Schedule-IV","X","X",-40.25525214,33.37008886,-2.535759983,9.612013952,19.206559,0.0874000000000024,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
462,"Grey-headed Canary-flycatcher","Culicicapa ceylonensis","Gray-headed Canary-Flycatcher","Gray-headed Canary-Flycatcher","Fairy Flycatchers","Passeriformes","Stenostiridae (Fairy Flycatchers)","Least Concern","Schedule-IV","X","X",-47.1326582,16.31990771,-7.08680302,4.584036987,13.125781,0.0516000000000005,"Moderate Decline","Moderate Decline","Moderate","Moderate","Migratory-Local","Invertebrate","","","","","","Generalists","","Invertebrate"
463,"Fire-capped Tit","Cephalopyrus flammiceps","Fire-capped Tit","Fire-capped Tit","Tits, Chickadees, and Titmice","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,4.0163889,0.0948000000000002,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
464,"Yellow-browed Tit","Sylviparus modestus","Yellow-browed Tit","Yellow-browed Tit","Tits, Chickadees, and Titmice","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Least Concern","Schedule-IV","X","X",-63.51946267,35.24199763,-0.492114781,16.3763536,7.5412618,0.0639000000000003,"Moderate Decline","Uncertain","Moderate","Moderate","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
465,"Sultan Tit","Melanochlora sultanea","Sultan Tit","Sultan Tit","Tits, Chickadees, and Titmice","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Least Concern","Schedule-IV","","X",NA,NA,2.172221199,55.78209265,6.5727861,0.0534999999999997,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Generalists","","Invertebrate"
466,"Coal Tit","Periparus ater","Coal Tit","Coal Tit","Tits, Chickadees, and Titmice","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Least Concern","Schedule-IV","X","X",-35.20309572,51.7830367,-3.306130498,13.41413546,12.7515261,0.0544000000000011,"Uncertain","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Forests","Resident-Non-Endemics","Omnivorous"
467,"Rufous-naped Tit","Periparus rufonuchalis","Black-breasted Tit","Rufous-naped Tit","Tits, Chickadees, and Titmice","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Least Concern","Schedule-IV","","X",NA,NA,-7.372588084,12.47848656,9.7508702,0.0927000000000007,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
468,"Rufous-vented Tit","Periparus rubidiventris","Rufous-vented Tit","Rufous-vented Tit","Tits, Chickadees, and Titmice","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Least Concern","Schedule-IV","","X",NA,NA,-3.165779743,24.20554019,6.1098471,0.0647000000000002,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
469,"Grey-crested Tit","Lophophanes dichrous","Gray-crested Tit","Gray-crested Tit","Tits, Chickadees, and Titmice","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Least Concern","Schedule-IV","","X",NA,NA,3.816189611,25.74946595,6.1604952,0.0628000000000002,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
470,"Green-backed Tit","Parus monticolus","Green-backed Tit","Green-backed Tit","Tits, Chickadees, and Titmice","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Least Concern","Schedule-IV","X","X",-28.64551794,38.66796285,-3.71417152,8.368318529,18.7528932,0.0498000000000012,"Uncertain","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Generalists","Resident-Non-Endemics","Omnivorous"
