"sl","Common.Name","Scientific.Name","eBird.English.Name.2018","eBird.English.Name.2019","eBird.species.group","order","family","IUCN","WLPA.Schedule","Long.Term.Analysis","Current.Analysis","Long.Term.Trend","Long.Term.Trend.CI","Current.Annual.Change","Current.Annual.Change.CI","Range.Size","Range.Size.CI","Long.Term.Status","Current.Status","Range.Status","Concern.Status","Migratory.Status","Diet.Category","Waterbirds","Raptors","Raptors.Scavengers","Raptors.Composite","Waterbirds.Composite","Habitat.Composite","Endemics.Composite","Diet.Composite"
25,"Chestnut-breasted Hill Partridge","Arborophila mandellii","Chestnut-breasted Partridge","Chestnut-breasted Partridge","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Vulnerable","Schedule-IV","","",NA,NA,NA,NA,1.3832743,0.0689,"Data Deficient","Data Deficient","Restricted","High","Resident","Omnivore","","","","","","Forests","","Omnivorous"
26,"Rufous-throated Hill Partridge","Arborophila rufogularis","Rufous-throated Partridge","Rufous-throated Partridge","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,6.3406383,0.1149,"Data Deficient","Data Deficient","Moderate","Moderate","Resident","Omnivore","","","","","","Forests","","Omnivorous"
27,"White-cheeked Hill Partridge","Arborophila atrogularis","White-cheeked Partridge","White-cheeked Partridge","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Near Threatened","Schedule-IV","","",NA,NA,NA,NA,3.4224822,0.0745,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Omnivore","","","","","","Forests","","Omnivorous"
28,"Indian Peafowl","Pavo cristatus","Indian Peafowl","Indian Peafowl","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-I","X","X",101.8389785,37.45897647,4.871712392,3.557322358,152.4265574,0.0742999999999938,"Strong Increase","Moderate Increase","Very Large","Low","Resident","PlantSeed","","","","","","Generalists","Others-Subcontinent","Plant-Seed"
29,"Red Spurfowl","Galloperdix spadicea","Red Spurfowl","Red Spurfowl","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","X","X",-34.51953367,20.63088279,-3.126040427,4.883762442,36.3436371,0.0671999999999997,"Stable","Uncertain","Large","Low","Resident","Omnivore","","","","","","Forests","Others-Subcontinent","Omnivorous"
30,"Painted Spurfowl","Galloperdix lunulata","Painted Spurfowl","Painted Spurfowl","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","X","X",-33.30049102,35.73894994,-8.903820048,6.831268099,20.7805972,0.0718999999999994,"Uncertain","Moderate Decline","Moderate","Moderate","Resident","Omnivore","","","","","","Grassland/Scrub","Others-Subcontinent","Omnivorous"
31,"Rain Quail","Coturnix coromandelica","Rain Quail","Rain Quail","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","X","X",-66.56176947,16.32191523,33.33069824,19.60986484,38.1848021,0.0977000000000032,"Strong Decline","Strong Increase","Large","Moderate","Resident","PlantSeed","","","","","","Grassland/Scrub","Resident-Non-Endemics","Plant-Seed"
32,"Chukar Partridge","Alectoris chukar","Chukar","Chukar","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","","X",NA,NA,1.917010849,18.49919171,12.6504688,0.0701999999999998,"Data Deficient","Uncertain","Moderate","Low","Resident","PlantSeed","","","","","","Generalists","","Plant-Seed"
33,"Himalayan Snowcock","Tetraogallus himalayensis","Himalayan Snowcock","Himalayan Snowcock","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,5.3742507,0.0941999999999998,"Data Deficient","Data Deficient","Moderate","Moderate","Resident","PlantSeed","","","","","","Grassland/Scrub","","Plant-Seed"
34,"Jungle Bush Quail","Perdicula asiatica","Jungle Bush-Quail","Jungle Bush-Quail","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","X","X",-53.48825391,13.820081,-5.935305112,4.206338195,76.3501871,0.118099999999998,"Moderate Decline","Moderate Decline","Large","Moderate","Resident","PlantSeed","","","","","","Grassland/Scrub","Others-Subcontinent","Plant-Seed"
35,"Rock Bush Quail","Perdicula argoondah","Rock Bush-Quail","Rock Bush-Quail","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","","X",NA,NA,-7.472880225,7.52903849,26.288686,0.0995000000000026,"Data Deficient","Uncertain","Large","Low","Resident","PlantSeed","","","","","","Grassland/Scrub","Others-Subcontinent","Plant-Seed"
36,"Painted Bush Quail","Perdicula erythrorhyncha","Painted Bush-Quail","Painted Bush-Quail","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,4.0299632,0.048,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","PlantSeed","","","","","","Grassland/Scrub","Western-Ghats","Plant-Seed"
37,"Manipur Bush Quail","Perdicula manipurensis","Manipur Bush-Quail","Manipur Bush-Quail","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Endangered","Schedule-IV","","",NA,NA,NA,NA,NA,NA,"Data Deficient","Data Deficient","Data Deficient","High","Resident","PlantSeed","","","","","","Grassland/Scrub","","Plant-Seed"
38,"Himalayan Quail","Ophrysia superciliosa","Himalayan Quail","Himalayan Quail","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Critically Endangered","Schedule-I","","",NA,NA,NA,NA,NA,NA,"Data Deficient","Data Deficient","Data Deficient","High","Resident","PlantSeed","","","","","","Grassland/Scrub","","Plant-Seed"
39,"Black Francolin","Francolinus francolinus","Black Francolin","Black Francolin","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","X","X",-33.7553836,28.38318131,0.058770379,7.849381662,35.4794869,0.0887999999999991,"Uncertain","Uncertain","Large","Low","Resident","PlantSeed","","","","","","Grassland/Scrub","Resident-Non-Endemics","Plant-Seed"
40,"Painted Francolin","Francolinus pictus","Painted Francolin","Painted Francolin","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","","X",NA,NA,2.635999335,9.237209365,40.2477368,0.101199999999999,"Data Deficient","Uncertain","Large","Low","Resident","Omnivore","","","","","","Grassland/Scrub","Others-Subcontinent","Omnivorous"
41,"Grey Francolin","Francolinus pondicerianus","Gray Francolin","Gray Francolin","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","X","X",5.400299688,19.23573223,2.439642514,3.504586328,154.9081101,0.072700000000026,"Stable","Uncertain","Very Large","Low","Resident","PlantSeed","","","","","","Grassland/Scrub","Resident-Non-Endemics","Plant-Seed"
42,"Swamp Francolin","Francolinus gularis","Swamp Francolin","Swamp Francolin","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Vulnerable","Schedule-IV","","",NA,NA,NA,NA,3.3878056,0.0871,"Data Deficient","Data Deficient","Restricted","High","Resident","PlantSeed","","","","","","Wetlands","Others-Subcontinent","Plant-Seed"
43,"Mountain Bamboo Partridge","Bambusicola fytchii","Mountain Bamboo-Partridge","Mountain Bamboo-Partridge","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-I","","",NA,NA,NA,NA,3.1075897,0.0734999999999997,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Omnivore","","","","","","Grassland/Scrub","","Omnivorous"
