eBird English Name 2018,eBird Scientific Name 2018,India Checklist Name,India Scientific Name,eBird English Name 2019,eBird Scientific Name 2019,IUCN,Schedule,CITES Appendix,CMS Appendix
European Turtle-Dove,Streptopelia turtur,European Turtle Dove,Streptopelia turtur,European Turtle-Dove,Streptopelia turtur,Vulnerable,Schedule-IV,,
Oriental Turtle-Dove,Streptopelia orientalis,Oriental Turtle Dove,Streptopelia orientalis,Oriental Turtle-Dove,Streptopelia orientalis,Least Concern,Schedule-IV,,
Eurasian Collared-Dove,Streptopelia decaocto,Eurasian Collared Dove,Streptopelia decaocto,Eurasian Collared-Dove,Streptopelia decaocto,Least Concern,Schedule-IV,,
Red Collared-Dove,Streptopelia tranquebarica,Red Collared Dove,Streptopelia tranquebarica,Red Collared-Dove,Streptopelia tranquebarica,Least Concern,Schedule-IV,,
Spotted Dove,Streptopelia chinensis,Spotted Dove,Streptopelia chinensis,Spotted Dove,Streptopelia chinensis,Least Concern,Schedule-IV,,
Laughing Dove,Streptopelia senegalensis,Laughing Dove,Streptopelia senegalensis,Laughing Dove,Streptopelia senegalensis,Least Concern,Schedule-IV,,
Barred Cuckoo-Dove,Macropygia unchall,Barred Cuckoo Dove,Macropygia unchall,Barred Cuckoo-Dove,Macropygia unchall,Least Concern,Schedule-IV,,
Andaman Cuckoo-Dove,Macropygia rufipennis,Andaman Cuckoo Dove,Macropygia rufipennis,Andaman Cuckoo-Dove,Macropygia rufipennis,Least Concern,Schedule-IV,,
Namaqua Dove,Oena capensis,Namaqua Dove,Oena capensis,Namaqua Dove,Oena capensis,Least Concern,Schedule-IV,,
Asian Emerald Dove,Chalcophaps indica,Asian Emerald Dove,Chalcophaps indica,Asian Emerald Dove,Chalcophaps indica,Least Concern,Schedule-IV,,
Nicobar Pigeon,Caloenas nicobarica,Nicobar Pigeon,Caloenas nicobarica,Nicobar Pigeon,Caloenas nicobarica,Near Threatened,Schedule-I,Appendix I,
Orange-breasted Pigeon,Treron bicinctus,Orange-breasted Green Pigeon,Treron bicinctus,Orange-breasted Green-Pigeon,Treron bicinctus,Least Concern,Schedule-IV,,
Gray-fronted Green-Pigeon,Treron affinis,Grey-fronted Green Pigeon,Treron affinis,Gray-fronted Green-Pigeon,Treron affinis,Least Concern,Schedule-IV,,
Andaman Green-Pigeon,Treron chloropterus,Andaman Green Pigeon,Treron chloropterus,Andaman Green-Pigeon,Treron chloropterus,Near Threatened,Schedule-IV,,
Ashy-headed Green-Pigeon,Treron phayrei,Ashy-headed Green Pigeon,Treron phayrei,Ashy-headed Green-Pigeon,Treron phayrei,Near Threatened,Schedule-IV,,
Thick-billed Pigeon,Treron curvirostra,Thick-billed Green Pigeon,Treron curvirostra,Thick-billed Green-Pigeon,Treron curvirostra,Least Concern,Schedule-IV,,
Yellow-footed Pigeon,Treron phoenicopterus,Yellow-legged Green Pigeon,Treron phoenicopterus,Yellow-footed Green-Pigeon,Treron phoenicopterus,Least Concern,Schedule-IV,,
Pin-tailed Pigeon,Treron apicauda,Pin-tailed Green Pigeon,Treron apicauda,Pin-tailed Green-Pigeon,Treron apicauda,Least Concern,Schedule-IV,,
Wedge-tailed Pigeon,Treron sphenurus,Wedge-tailed Green Pigeon,Treron sphenurus,Wedge-tailed Green-Pigeon,Treron sphenurus,Least Concern,Schedule-IV,,
Green Imperial-Pigeon,Ducula aenea,Green Imperial-Pigeon,Ducula aenea,Green Imperial-Pigeon,Ducula aenea,Least Concern,Schedule-IV,,
Nicobar Imperial-Pigeon,Ducula nicobarica,Nicobar Imperial-Pigeon,Ducula nicobarica,Nicobar Imperial-Pigeon,Ducula nicobarica,Least Concern,Schedule-IV,,
Mountain Imperial-Pigeon,Ducula badia,Mountain Imperial Pigeon,Ducula badia,Mountain Imperial-Pigeon,Ducula badia,Least Concern,Schedule-IV,,
Pied Imperial-Pigeon,Ducula bicolor,Pied Imperial Pigeon,Ducula bicolor,Pied Imperial-Pigeon,Ducula bicolor,Least Concern,Schedule-IV,,
Tibetan Sandgrouse,Syrrhaptes tibetanus,Tibetan Sandgrouse,Syrrhaptes tibetanus,Tibetan Sandgrouse,Syrrhaptes tibetanus,Least Concern,Schedule-IV,,
Pallas's Sandgrouse,Syrrhaptes paradoxus,Pallas's Sandgrouse,Syrrhaptes paradoxus,Pallas's Sandgrouse,Syrrhaptes paradoxus,Least Concern,Schedule-IV,,
Pin-tailed Sandgrouse,Pterocles alchata,Pin-tailed Sandgrouse,Pterocles alchata,Pin-tailed Sandgrouse,Pterocles alchata,Least Concern,Schedule-IV,,
Chestnut-bellied Sandgrouse,Pterocles exustus,Chestnut-bellied Sandgrouse,Pterocles exustus,Chestnut-bellied Sandgrouse,Pterocles exustus,Least Concern,Schedule-IV,,
Spotted Sandgrouse,Pterocles senegallus,Spotted Sandgrouse,Pterocles senegallus,Spotted Sandgrouse,Pterocles senegallus,Least Concern,Schedule-IV,,
Black-bellied Sandgrouse,Pterocles orientalis,Black-bellied Sandgrouse,Pterocles orientalis,Black-bellied Sandgrouse,Pterocles orientalis,Least Concern,Schedule-IV,,
Painted Sandgrouse,Pterocles indicus,Painted Sandgrouse,Pterocles indicus,Painted Sandgrouse,Pterocles indicus,Least Concern,Schedule-IV,,
Indian Bustard,Ardeotis nigriceps,Great Indian Bustard,Ardeotis nigriceps,Great Indian Bustard,Ardeotis nigriceps,Critically Endangered,Schedule-I,Appendix I,
Macqueen's Bustard,Chlamydotis macqueenii,Macqueen's Bustard,Chlamydotis macqueenii,Macqueen's Bustard,Chlamydotis macqueenii,Vulnerable,Schedule-I,Appendix I,Appendix II
Bengal Florican,Houbaropsis bengalensis,Bengal Florican,Houbaropsis bengalensis,Bengal Florican,Houbaropsis bengalensis,Critically Endangered,Schedule-I,Appendix I,
Lesser Florican,Sypheotides indicus,Lesser Florican,Sypheotides indicus,Lesser Florican,Sypheotides indicus,Endangered,Schedule-I,Appendix II,
Little Bustard,Tetrax tetrax,Little Bustard,Tetrax tetrax,Little Bustard,Tetrax tetrax,Near Threatened,Schedule-IV,Appendix II,
