Common Name,Scientific Name,IUCN
,Mionectes olivaceus,NR
,Mionectes macconnelli,NR
Sepia-capped Flycatcher,Leptopogon amaurocephalus,LC
Slaty-capped Flycatcher,Leptopogon superciliaris,LC
White-bellied Flycatcher,Leptopogon albidiventer,LC
Rufous-breasted Flycatcher,Leptopogon rufipectus,LC
Inca Flycatcher,Leptopogon taczanowskii,NT
,Leptopogon superciliaris,NR
Black-chested Tyrant,Taeniotriccus andrei,LC
Brownish Twistwing,Cnipodectes subbrunneus,LC
Rufous Twistwing,Cnipodectes superrufus,VU
Eye-ringed Flatbill,Rhynchocyclus brevirostris,LC
Western Olivaceous Flatbill,Rhynchocyclus aequinoctialis,LC
Eastern Olivaceous Flatbill,Rhynchocyclus olivaceus,LC
Pacific Flatbill,Rhynchocyclus pacificus,LC
Fulvous-breasted Flatbill,Rhynchocyclus fulvipectus,LC
,Rhynchocyclus brevirostris,NR
,Rhynchocyclus olivaceus,NR
Yellow-olive Flatbill,Tolmomyias sulphurescens,LC
Orange-eyed Flatbill,Tolmomyias traylori,LC
Yellow-margined Flatbill,Tolmomyias assimilis,LC
Yellow-winged Flatbill,Tolmomyias flavotectus,LC
Grey-crowned Flatbill,Tolmomyias poliocephalus,LC
Olive-faced Flatbill,Tolmomyias viridiceps,LC
Ochre-lored Flatbill,Tolmomyias flaviventris,LC
,Tolmomyias assimilis,NR
,Tolmomyias flaviventris,NR
Eared Pygmy-tyrant,Myiornis auricularis,LC
White-bellied Pygmy-tyrant,Myiornis albiventris,LC
Black-capped Pygmy-tyrant,Myiornis atricapillus,LC
Short-tailed Pygmy-tyrant,Myiornis ecaudatus,LC
Northern Bentbill,Oncostoma cinereigulare,LC
Southern Bentbill,Oncostoma olivaceum,LC
Scale-crested Pygmy-tyrant,Lophotriccus pileatus,LC
Double-banded Pygmy-tyrant,Lophotriccus vitiosus,LC
Long-crested Pygmy-tyrant,Lophotriccus eulophotes,LC
Helmeted Pygmy-tyrant,Lophotriccus galeatus,LC
Pale-eyed Pygmy-tyrant,Atalotriccus pilaris,LC
Snethlage's Tody-tyrant,Hemitriccus minor,LC
Acre Tody-tyrant,Hemitriccus cohnhafti,NT
Yungas Tody-tyrant,Hemitriccus spodiops,LC
Flammulated Bamboo-tyrant,Hemitriccus flammulatus,LC
Drab-breasted Bamboo-tyrant,Hemitriccus diops,LC
Brown-breasted Bamboo-tyrant,Hemitriccus obsoletus,LC
Boat-billed Tody-tyrant,Hemitriccus josephinae,LC
White-eyed Tody-tyrant,Hemitriccus zosterops,LC
White-bellied Tody-tyrant,Hemitriccus griseipectus,LC
Eye-ringed Tody-tyrant,Hemitriccus orbitatus,NT
Joao's Tody-tyrant,Hemitriccus iohannis,LC
Stripe-necked Tody-tyrant,Hemitriccus striaticollis,LC
Hangnest Tody-tyrant,Hemitriccus nidipendulus,LC
Pearly-vented Tody-tyrant,Hemitriccus margaritaceiventer,LC
Pelzeln's Tody-tyrant,Hemitriccus inornatus,LC
Zimmer's Tody-tyrant,Hemitriccus minimus,LC
Black-throated Tody-tyrant,Hemitriccus granadensis,LC
Cinnamon-breasted Tody-tyrant,Hemitriccus cinnamomeipectus,LC
Buff-breasted Tody-tyrant,Hemitriccus mirandae,VU
Kaempfer's Tody-tyrant,Hemitriccus kaempferi,VU
Buff-throated Tody-tyrant,Hemitriccus rufigularis,NT
Fork-tailed Tody-tyrant,Hemitriccus furcatus,VU
,Hemitriccus zosterops,NR
Rufous-crowned Tody-flycatcher,Poecilotriccus ruficeps,LC
Lulu's Tody-flycatcher,Poecilotriccus luluae,EN
White-cheeked Tody-flycatcher,Poecilotriccus albifacies,LC
Black-and-white Tody-flycatcher,Poecilotriccus capitalis,LC
Buff-cheeked Tody-flycatcher,Poecilotriccus senex,LC
Ruddy Tody-flycatcher,Poecilotriccus russatus,LC
Ochre-faced Tody-flycatcher,Poecilotriccus plumbeiceps,LC
Smoky-fronted Tody-flycatcher,Poecilotriccus fumifrons,LC
Rusty-fronted Tody-flycatcher,Poecilotriccus latirostris,LC
Slate-headed Tody-flycatcher,Poecilotriccus sylvia,LC
Golden-winged Tody-flycatcher,Poecilotriccus calopterus,LC
Black-backed Tody-flycatcher,Poecilotriccus pulchellus,LC
Spotted Tody-flycatcher,Todirostrum maculatum,LC
Yellow-lored Tody-flycatcher,Todirostrum poliocephalum,LC
Common Tody-flycatcher,Todirostrum cinereum,LC
Maracaibo Tody-flycatcher,Todirostrum viridanum,LC
Black-headed Tody-flycatcher,Todirostrum nigriceps,LC
Painted Tody-flycatcher,Todirostrum pictum,LC
Yellow-browed Tody-flycatcher,Todirostrum chrysocrotaphum,LC
Eastern Ornate Flycatcher,Myiotriccus phoenicurus,LC
Western Ornate Flycatcher,Myiotriccus ornatus,LC
,Myiotriccus ornatus,NR
Handsome Flycatcher,Nephelomyias pulcher,LC
Orange-banded Flycatcher,Nephelomyias lintoni,NT
Ochraceous-breasted Flycatcher,Nephelomyias ochraceiventris,LC
Cinnamon Flycatcher,Pyrrhomyias cinnamomeus,LC
Swallow Flycatcher,Hirundinea bellicosa,LC
Cliff Flycatcher,Hirundinea ferruginea,LC
,Hirundinea ferruginea,NR
Red-billed Tyrannulet,Zimmerius cinereicapilla,VU
Mishana Tyrannulet,Zimmerius villarejoi,VU
Chico's Tyrannulet,Zimmerius chicomendesi,NT
Paltry Tyrannulet,Zimmerius vilissimus,LC
Mistletoe Tyrannulet,Zimmerius parvus,LC
Venezuelan Tyrannulet,Zimmerius petersi,LC
Mountain Tyrannulet,Zimmerius improbus,LC
Golden-faced Tyrannulet,Zimmerius chrysops,LC
Choco Tyrannulet,Zimmerius albigularis,LC
Peruvian Tyrannulet,Zimmerius viridiflavus,LC
Slender-footed Tyrannulet,Zimmerius gracilipes,LC
Guianan Tyrannulet,Zimmerius acer,LC
Bolivian Tyrannulet,Zimmerius bolivianus,LC
,Zimmerius vilissimus,NR
,Zimmerius improbus,NR
,Zimmerius chrysops,NR
,Zimmerius gracilipes,NR
Lesser Wagtail-tyrant,Stigmatura napensis,LC
Bahia Wagtail-tyrant,Stigmatura bahiae,LC
Greater Wagtail-tyrant,Stigmatura budytoides,LC
,Stigmatura napensis,NR
Slender-billed Tyrannulet,Inezia tenuirostris,LC
Plain Tyrannulet,Inezia inornata,LC
Amazonian Tyrannulet,Inezia subflava,LC
Pale-tipped Tyrannulet,Inezia caudata,LC
,Inezia subflava,NR
Tawny-crowned Pygmy-tyrant,Euscarthmus meloryphus,LC
Tawny-fronted Pygmy-tyrant,Euscarthmus fulviceps,LC
Rufous-sided Pygmy-tyrant,Euscarthmus rufomarginatus,NT
,Euscarthmus meloryphus,NR
Yellow-bellied Tyrannulet,Ornithion semiflavum,LC
Brown-capped Tyrannulet,Ornithion brunneicapillus,LC
White-lored Tyrannulet,Ornithion inerme,LC
Northern Beardless Tyrannulet,Camptostoma imberbe,LC
Southern Beardless Tyrannulet,Camptostoma obsoletum,LC
Rufous-crowned Elaenia,Elaenia ruficeps,LC
Plain-crested Elaenia,Elaenia cristata,LC
Mottle-backed Elaenia,Elaenia gigas,LC
Great Elaenia,Elaenia dayi,LC
Brazilian Elaenia,Elaenia sordida,LC
Highland Elaenia,Elaenia obscura,LC
Slaty Elaenia,Elaenia strepera,LC
Yellow-bellied Elaenia,Elaenia flavogaster,LC
Small-billed Elaenia,Elaenia parvirostris,LC
Brownish Elaenia,Elaenia pelzelni,LC
Large Elaenia,Elaenia spectabilis,LC
Noronha Elaenia,Elaenia ridleyana,VU
Coopman's Elaenia,Elaenia brachyptera,LC
Lesser Elaenia,Elaenia chiriquensis,LC
Olivaceous Elaenia,Elaenia mesoleuca,LC
Sierran Elaenia,Elaenia pallatangae,LC
Tepui Elaenia,Elaenia olivina,LC
White-crested Elaenia,Elaenia albiceps,LC
Mountain Elaenia,Elaenia frantzii,LC
Caribbean Elaenia,Elaenia martinica,LC
Hispaniolan Elaenia,Elaenia cherriei,LC
Large Jamaican Elaenia,Elaenia fallax,LC
,Elaenia obscura,NR
,Elaenia pallatangae,NR
,Elaenia fallax,NR
,Elaenia chiriquensis,NR
Yellow-crowned Tyrannulet,Tyrannulus elatus,LC
Atlantic Grey Elaenia,Myiopagis caniceps,LC
Amazonian Grey Elaenia,Myiopagis cinerea,LC
Choco Grey Elaenia,Myiopagis parambae,LC
Foothill Elaenia,Myiopagis olallai,LC
Forest Elaenia,Myiopagis gaimardii,LC
Pacific Elaenia,Myiopagis subplacens,LC
Yellow-crowned Elaenia,Myiopagis flavivertex,LC
Greenish Elaenia,Myiopagis viridicata,LC
Small Jamaican Elaenia,Myiopagis cotta,LC
,Myiopagis caniceps,NR
Suiriri Flycatcher,Suiriri suiriri,LC
,Suiriri suiriri,NR
,Suiriri affinis,NR
Yellow Tyrannulet,Capsiempis flaveola,LC
Planalto Tyrannulet,Phyllomyias fasciatus,LC
Yungas Tyrannulet,Phyllomyias weedeni,VU
Rough-legged Tyrannulet,Phyllomyias burmeisteri,LC
White-fronted Tyrannulet,Phyllomyias zeledoni,LC
Greenish Tyrannulet,Phyllomyias virescens,LC
Reiser's Tyrannulet,Phyllomyias reiseri,LC
Urich's Tyrannulet,Phyllomyias urichi,EN
Sclater's Tyrannulet,Phyllomyias sclateri,LC
Grey-capped Tyrannulet,Phyllomyias griseocapilla,NT
Sooty-headed Tyrannulet,Phyllomyias griseiceps,LC
Plumbeous-crowned Tyrannulet,Phyllomyias plumbeiceps,LC
Black-capped Tyrannulet,Phyllomyias nigrocapillus,LC
Ashy-headed Tyrannulet,Phyllomyias cinereiceps,LC
Tawny-rumped Tyrannulet,Phyllomyias uropygialis,LC
,Phyllomyias burmeisteri,NR
,Phyllomyias virescens,NR
,Phyllomyias leucogonys,NR
Tumbes Tyrannulet,Phaeomyias tumbezana,LC
Mouse-colored Tyrannulet,Phaeomyias murina,LC
,Phaeomyias murina,NR
Cocos Flycatcher,Nesotriccus ridgwayi,VU
Grey-and-white Tyrannulet,Pseudelaenia leucospodia,LC
White-tailed Tyrannulet,Mecocerculus poecilocercus,LC
Buff-banded Tyrannulet,Mecocerculus hellmayri,LC
White-banded Tyrannulet,Mecocerculus stictopterus,LC
White-throated Tyrannulet,Mecocerculus leucophrys,LC
Rufous-winged Tyrannulet,Mecocerculus calopterus,LC
Sulphur-bellied Tyrannulet,Mecocerculus minor,LC
Black-crested Tit-tyrant,Anairetes nigrocristatus,LC
Pied-crested Tit-tyrant,Anairetes reguloides,LC
Ash-breasted Tit-tyrant,Anairetes alpinus,EN
Yellow-billed Tit-tyrant,Anairetes flavirostris,LC
Tufted Tit-tyrant,Anairetes parulus,LC
Juan Fernandez Tit-tyrant,Anairetes fernandezianus,NT
Bearded Tachuri,Polystictus pectoralis,NT
Grey-backed Tachuri,Polystictus superciliaris,LC
Sharp-tailed Tyrant,Culicivora caudacuta,VU
Crested Doradito,Pseudocolopteryx sclateri,LC
Subtropical Doradito,Pseudocolopteryx acutipennis,LC
Dinelli's Doradito,Pseudocolopteryx dinelliana,NT
Warbling Doradito,Pseudocolopteryx flaviventris,LC
Ticking Doradito,Pseudocolopteryx citreola,LC
,Pseudocolopteryx flaviventris,NR
Torrent Tyrannulet,Serpophaga cinerea,LC
River Tyrannulet,Serpophaga hypoleuca,LC
Sooty Tyrannulet,Serpophaga nigricans,LC
White-crested Tyrannulet,Serpophaga subcristata,LC
Straneck's Tyrannulet,Serpophaga griseicapilla,LC
,Serpophaga subcristata,NR
,Serpophaga munda,NR
,Serpophaga araguayae,NR
Agile Tit-tyrant,Uromyias agilis,LC
Unstreaked Tit-tyrant,Uromyias agraphia,LC
Short-tailed Field-tyrant,Muscigralla brevicauda,LC
Rufous-tailed Attila,Attila phoenicurus,LC
Cinnamon Attila,Attila cinnamomeus,LC
Ochraceous Attila,Attila torridus,VU
Citron-bellied Attila,Attila citriniventris,LC
White-eyed Attila,Attila bolivianus,LC
Grey-hooded Attila,Attila rufus,LC
Bright-rumped Attila,Attila spadiceus,LC
Piratic Flycatcher,Legatus leucophaius,LC
Large-headed Flatbill,Ramphotrigon megacephalum,LC
Rufous-tailed Flatbill,Ramphotrigon ruficauda,LC
Dusky-tailed Flatbill,Ramphotrigon fuscicauda,LC
Flammulated Flycatcher,Deltarhynchus flammulatus,LC
Great Kiskadee,Pitangus sulphuratus,LC
Lesser Kiskadee,Philohydor lictor,LC
Cattle Tyrant,Machetornis rixosa,LC
Sulphury Flycatcher,Tyrannopsis sulphurea,LC
Boat-billed Flycatcher,Megarynchus pitangua,LC
Golden-bellied Flycatcher,Myiodynastes hemichrysus,LC
Golden-crowned Flycatcher,Myiodynastes chrysocephalus,LC
Baird's Flycatcher,Myiodynastes bairdii,LC
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,LC
Southern Streaked Flycatcher,Myiodynastes solitarius,LC
Northern Streaked Flycatcher,Myiodynastes maculatus,LC
,Myiodynastes chrysocephalus,NR
,Myiodynastes hemichrysus,NR
,Myiodynastes maculatus,NR
Rusty-margined Flycatcher,Myiozetetes cayanensis,LC
Social Flycatcher,Myiozetetes similis,LC
Grey-capped Flycatcher,Myiozetetes granadensis,LC
Dusky-chested Flycatcher,Myiozetetes luteiventris,LC
White-ringed Flycatcher,Conopias albovittatus,LC
Yellow-throated Flycatcher,Conopias parvus,LC
Three-striped Flycatcher,Conopias trivirgatus,LC
Lemon-browed Flycatcher,Conopias cinchoneti,VU
White-bearded Flycatcher,Phelpsia inornata,LC
Variegated Flycatcher,Empidonomus varius,LC
Crowned Slaty Flycatcher,Griseotyrannus aurantioatrocristatus,LC
Snowy-throated Kingbird,Tyrannus niveigularis,LC
White-throated Kingbird,Tyrannus albogularis,LC
Tropical Kingbird,Tyrannus melancholicus,LC
Couch's Kingbird,Tyrannus couchii,LC
Cassin's Kingbird,Tyrannus vociferans,LC
Thick-billed Kingbird,Tyrannus crassirostris,LC
Western Kingbird,Tyrannus verticalis,LC
Eastern Kingbird,Tyrannus tyrannus,LC
Grey Kingbird,Tyrannus dominicensis,LC
Loggerhead Kingbird,Tyrannus caudifasciatus,LC
Giant Kingbird,Tyrannus cubensis,EN
Scissor-tailed Flycatcher,Tyrannus forficatus,LC
Fork-tailed Flycatcher,Tyrannus savana,LC
Rufous Mourner,Rhytipterna holerythra,LC
Greyish Mourner,Rhytipterna simplex,LC
Pale-bellied Mourner,Rhytipterna immunda,LC
Rufous Casiornis,Casiornis rufus,LC
Ash-throated Casiornis,Casiornis fuscus,LC
Choco Sirystes,Sirystes albogriseus,LC
White-rumped Sirystes,Sirystes albocinereus,LC
Sibilant Sirystes,Sirystes sibilator,LC
Todd's Sirystes,Sirystes subcanescens,LC
,Sirystes sibilator,NR
Rufous Flycatcher,Myiarchus semirufus,VU
Swainson's Flycatcher,Myiarchus swainsoni,LC
Sad Flycatcher,Myiarchus barbirostris,LC
Dusky-capped Flycatcher,Myiarchus tuberculifer,LC
Sooty-crowned Flycatcher,Myiarchus phaeocephalus,LC
Panama Flycatcher,Myiarchus panamensis,LC
Short-crested Flycatcher,Myiarchus ferox,LC
Venezuelan Flycatcher,Myiarchus venezuelensis,LC
Pale-edged Flycatcher,Myiarchus cephalotes,LC
Rufous-tailed Flycatcher,Myiarchus validus,LC
La Sagra's Flycatcher,Myiarchus sagrae,LC
Stolid Flycatcher,Myiarchus stolidus,LC
Puerto Rican Flycatcher,Myiarchus antillarum,LC
Lesser Antillean Flycatcher,Myiarchus oberi,LC
Great Crested Flycatcher,Myiarchus crinitus,LC
Yucatan Flycatcher,Myiarchus yucatanensis,LC
Brown-crested Flycatcher,Myiarchus tyrannulus,LC
Grenada Flycatcher,Myiarchus nugator,LC
Apical Flycatcher,Myiarchus apicalis,LC
Ash-throated Flycatcher,Myiarchus cinerascens,LC
Nutting's Flycatcher,Myiarchus nuttingi,LC
Galapagos Flycatcher,Myiarchus magnirostris,LC
Long-tailed Tyrant,Colonia colonus,LC
Mouse-grey Flycatcher,Myiophobus crypterythrus,LC
Bran-colored Flycatcher,Myiophobus fasciatus,LC
Rufescent Flycatcher,Myiophobus rufescens,LC
Olive-chested Flycatcher,Myiophobus cryptoxanthus,LC
Flavescent Flycatcher,Myiophobus flavicans,LC
Orange-crested Flycatcher,Myiophobus phoenicomitra,LC
Unadorned Flycatcher,Myiophobus inornatus,LC
Roraiman Flycatcher,Myiophobus roraimae,LC
,Myiophobus fasciatus,NR
Crowned Chat-tyrant,Silvicultrix frontalis,LC
Jelski's Chat-tyrant,Silvicultrix jelskii,LC
Golden-browed Chat-tyrant,Silvicultrix pulchella,LC
Yellow-bellied Chat-tyrant,Silvicultrix diadema,LC
Patagonian Tyrant,Colorhamphus parvirostris,LC
Slaty-backed Chat-tyrant,Ochthoeca cinnamomeiventris,LC
Blackish Chat-tyrant,Ochthoeca nigrita,LC
Chestnut-belted Chat-tyrant,Ochthoeca thoracica,LC
Rufous-breasted Chat-tyrant,Ochthoeca rufipectoralis,LC
Brown-backed Chat-tyrant,Ochthoeca fumicolor,LC
Rufous-browed Chat-tyrant,Ochthoeca superciliosa,LC
D'Orbigny's Chat-tyrant,Ochthoeca oenanthoides,LC
Piura Chat-tyrant,Ochthoeca piurae,NT
White-browed Chat-tyrant,Ochthoeca leucophrys,LC
Tumbes Tyrant,Ochthoeca salvini,NT
,Ochthoeca cinnamomeiventris,NR
,Ochthoeca fumicolor,NR
Chapada Flycatcher,Guyramemua affinis,NT
Northern Scrub-flycatcher,Sublegatus arenarum,LC
Amazonian Scrub-flycatcher,Sublegatus obscurior,LC
Southern Scrub-flycatcher,Sublegatus modestus,LC
Common Vermilion Flycatcher,Pyrocephalus rubinus,LC
Little Vermilion Flycatcher,Pyrocephalus nanus,VU
Least Vermilion Flycatcher,Pyrocephalus dubius,EX
,Pyrocephalus rubinus,NR
Pied Water-tyrant,Fluvicola pica,LC
Black-backed Water-tyrant,Fluvicola albiventer,LC
Masked Water-tyrant,Fluvicola nengeta,LC
,Fluvicola atripennis,NR
White-headed Marsh-tyrant,Arundinicola leucocephala,LC
Streamer-tailed Tyrant,Gubernetes yetapa,LC
Shear-tailed Grey Tyrant,Muscipipra vetula,LC
Cock-tailed Tyrant,Alectrurus tricolor,VU
Strange-tailed Tyrant,Alectrurus risora,VU
Austral Negrito,Lessonia rufa,LC
Andean Negrito,Lessonia oreas,LC
Spectacled Tyrant,Hymenops perspicillatus,LC
Riverside Tyrant,Knipolegus orenocensis,LC
Sclater's Black-tyrant,Knipolegus sclateri,LC
Amazonian Black-tyrant,Knipolegus poecilocercus,LC
Rufous-tailed Tyrant,Knipolegus poecilurus,LC
Caatinga Black-tyrant,Knipolegus franciscanus,LC
Crested Black-tyrant,Knipolegus lophotes,LC
Velvety Black-tyrant,Knipolegus nigerrimus,LC
Andean Black-tyrant,Knipolegus signatus,LC
Plumbeous Black-tyrant,Knipolegus cabanisi,LC
Blue-billed Black-tyrant,Knipolegus cyanirostris,LC
Cinereous Black-tyrant,Knipolegus striaticeps,LC
Hudson's Black-tyrant,Knipolegus hudsoni,LC
White-winged Black-tyrant,Knipolegus aterrimus,LC
White-rumped Black-tyrant,Knipolegus heterogyna,LC
,Knipolegus signatus,NR
,Knipolegus aterrimus,NR
,Knipolegus aterrimus,NR
,Knipolegus orenocensis,NR
Yellow-browed Tyrant,Satrapa icterophrys,LC
Little Ground-tyrant,Muscisaxicola fluviatilis,LC
Spot-billed Ground-tyrant,Muscisaxicola maculirostris,LC
Taczanowski's Ground-tyrant,Muscisaxicola griseus,LC
Puna Ground-tyrant,Muscisaxicola juninensis,LC
Cinereous Ground-tyrant,Muscisaxicola cinereus,LC
White-fronted Ground-tyrant,Muscisaxicola albifrons,LC
Ochre-naped Ground-tyrant,Muscisaxicola flavinucha,LC
Rufous-naped Ground-tyrant,Muscisaxicola rufivertex,LC
Chestnut-naped Ground-tyrant,Muscisaxicola occipitalis,LC
Dark-faced Ground-tyrant,Muscisaxicola maclovianus,LC
White-browed Ground-tyrant,Muscisaxicola albilora,LC
Plain-capped Ground-tyrant,Muscisaxicola alpinus,LC
Cinnamon-bellied Ground-tyrant,Muscisaxicola capistratus,LC
Black-fronted Ground-tyrant,Muscisaxicola frontalis,LC
,Muscisaxicola rufivertex,NR
,Muscisaxicola alpina,NR
Red-rumped Bush-tyrant,Cnemarchus erythropygius,LC
Rufous-webbed Bush-tyrant,Polioxolmis rufipennis,LC
Fire-eyed Diucon,Xolmis pyrope,LC
Grey Monjita,Xolmis cinereus,LC
Black-crowned Monjita,Xolmis coronatus,LC
White-rumped Monjita,Xolmis velatus,LC
White Monjita,Xolmis irupero,LC
Salinas Monjita,Xolmis salinarum,NT
Rusty-backed Monjita,Xolmis rubetra,LC
Black-and-white Monjita,Xolmis dominicanus,VU
Black-billed Shrike-tyrant,Agriornis montanus,LC
White-tailed Shrike-tyrant,Agriornis albicauda,VU
Great Shrike-tyrant,Agriornis lividus,LC
Grey-bellied Shrike-tyrant,Agriornis micropterus,LC
Lesser Shrike-tyrant,Agriornis murinus,LC
Chocolate-vented Tyrant,Neoxolmis rufiventris,LC
Streak-throated Bush-tyrant,Myiotheretes striaticollis,LC
Santa Marta Bush-tyrant,Myiotheretes pernix,EN
Smoky Bush-tyrant,Myiotheretes fumigatus,LC
Rufous-bellied Bush-tyrant,Myiotheretes fuscorufus,LC
Drab Water-tyrant,Ochthornis littoralis,LC
Fuscous Flycatcher,Cnemotriccus fuscatus,LC
Tawny-chested Flycatcher,Aphanotriccus capitalis,VU
Black-billed Flycatcher,Aphanotriccus audax,NT
Euler's Flycatcher,Lathrotriccus euleri,LC
Grey-breasted Flycatcher,Lathrotriccus griseipectus,VU
Tufted Flycatcher,Mitrephanes phaeocercus,LC
Olive Flycatcher,Mitrephanes olivaceus,LC
Black Phoebe,Sayornis nigricans,LC
Eastern Phoebe,Sayornis phoebe,LC
Say's Phoebe,Sayornis saya,LC
Acadian Flycatcher,Empidonax virescens,LC
Yellow-bellied Flycatcher,Empidonax flaviventris,LC
Yellowish Flycatcher,Empidonax flavescens,LC
Pacific-slope Flycatcher,Empidonax difficilis,LC
Cordilleran Flycatcher,Empidonax occidentalis,LC
White-throated Flycatcher,Empidonax albigularis,LC
Willow Flycatcher,Empidonax traillii,LC
Alder Flycatcher,Empidonax alnorum,LC
Buff-breasted Flycatcher,Empidonax fulvifrons,LC
Black-capped Flycatcher,Empidonax atriceps,LC
American Grey Flycatcher,Empidonax wrightii,LC
Least Flycatcher,Empidonax minimus,LC
Hammond's Flycatcher,Empidonax hammondii,LC
American Dusky Flycatcher,Empidonax oberholseri,LC
Pine Flycatcher,Empidonax affinis,LC
Olive-sided Flycatcher,Contopus cooperi,NT
Greater Pewee,Contopus pertinax,LC
Dark Pewee,Contopus lugubris,LC
Smoke-colored Pewee,Contopus fumigatus,LC
Ochraceous Pewee,Contopus ochraceus,LC
Western Wood-pewee,Contopus sordidulus,LC
Eastern Wood-pewee,Contopus virens,LC
Northern Tropical Pewee,Contopus bogotensis,LC
Western Tropical Pewee,Contopus punensis,LC
Southern Tropical Pewee,Contopus cinereus,LC
Cuban Pewee,Contopus caribaeus,LC
Jamaican Pewee,Contopus pallidus,LC
Hispaniolan Pewee,Contopus hispaniolensis,LC
Lesser Antillean Pewee,Contopus latirostris,LC
White-throated Pewee,Contopus albogularis,LC
Blackish Pewee,Contopus nigrescens,LC
,Contopus caribaeus,NR
,Contopus cinereus,NR
Belted Flycatcher,Xenotriccus callizonus,LC
Pileated Flycatcher,Xenotriccus mexicanus,LC
Albert's Lyrebird,Menura alberti,NT
Superb Lyrebird,Menura novaehollandiae,LC
Rufous Scrub-bird,Atrichornis rufescens,EN
Noisy Scrub-bird,Atrichornis clamosus,EN
White-eared Catbird,Ailuroedus buccoides,LC
Black-eared Catbird,Ailuroedus melanotis,LC
Green Catbird,Ailuroedus crassirostris,LC
Tooth-billed Bowerbird,Scenopoeetes dentirostris,LC
Archbold's Bowerbird,Archboldia papuensis,NT
,Archboldia sanfordi,NR
,Archboldia papuensis,NR
MacGregor's Bowerbird,Amblyornis macgregoriae,LC
Streaked Bowerbird,Amblyornis subalaris,LC
Vogelkop Bowerbird,Amblyornis inornata,LC
Golden-fronted Bowerbird,Amblyornis flavifrons,LC
Golden Bowerbird,Prionodura newtoniana,LC
Regent Bowerbird,Sericulus chrysocephalus,LC
Flame Bowerbird,Sericulus ardens,LC
Masked Bowerbird,Sericulus aureus,LC
Fire-maned Bowerbird,Sericulus bakeri,NT
,Sericulus aureus,NR
Satin Bowerbird,Ptilonorhynchus violaceus,LC
Spotted Bowerbird,Chlamydera maculata,LC
Western Bowerbird,Chlamydera guttata,LC
Yellow-breasted Bowerbird,Chlamydera lauterbachi,LC
Great Bowerbird,Chlamydera nuchalis,LC
Fawn-breasted Bowerbird,Chlamydera cerviniventris,LC
White-throated Treecreeper,Cormobates leucophaea,LC
Papuan Treecreeper,Cormobates placens,LC
Red-browed Treecreeper,Climacteris erythrops,LC
White-browed Treecreeper,Climacteris affinis,LC
Rufous Treecreeper,Climacteris rufus,LC
Brown Treecreeper,Climacteris picumnus,LC
Black-tailed Treecreeper,Climacteris melanurus,LC
Wallace's Fairy-wren,Sipodotus wallacii,LC
Orange-crowned Fairy-wren,Clytomyias insignis,LC
Broad-billed Fairy-wren,Chenorhamphus grayi,LC
Emperor Fairy-wren,Malurus cyanocephalus,LC
Purple-crowned Fairy-wren,Malurus coronatus,LC
Red-winged Fairy-wren,Malurus elegans,LC
Blue-breasted Fairy-wren,Malurus pulcherrimus,LC
Lovely Fairy-wren,Malurus amabilis,LC
Purple-backed Fairy-wren,Malurus assimilis,LC
Variegated Fairy-wren,Malurus lamberti,LC
Superb Fairy-wren,Malurus cyaneus,LC
Splendid Fairy-wren,Malurus splendens,LC
White-shouldered Fairy-wren,Malurus alboscapulatus,LC
Red-backed Fairy-wren,Malurus melanocephalus,LC
White-winged Fairy-wren,Malurus leucopterus,LC
,Malurus grayi,NR
,Malurus campbelli,NR
,Malurus lamberti,NR
Southern Emu-wren,Stipiturus malachurus,LC
Mallee Emu-wren,Stipiturus mallee,EN
Rufous-crowned Emu-wren,Stipiturus ruficeps,LC
Grey Grasswren,Amytornis barbatus,LC
White-throated Grasswren,Amytornis woodwardi,VU
Carpentarian Grasswren,Amytornis dorotheae,VU
Striated Grasswren,Amytornis striatus,LC
Short-tailed Grasswren,Amytornis merrotsyi,NT
Black Grasswren,Amytornis housei,NT
Eyrean Grasswren,Amytornis goyderi,LC
Kalkadoon Grasswren,Amytornis ballarae,LC
Dusky Grasswren,Amytornis purnelli,LC
Western Grasswren,Amytornis textilis,LC
Thick-billed Grasswren,Amytornis modestus,LC
,Amytornis striatus,NR
,Amytornis purnelli,NR
,Amytornis textilis,NR
Eastern Bristlebird,Dasyornis brachypterus,EN
Western Bristlebird,Dasyornis longirostris,EN
Rufous Bristlebird,Dasyornis broadbenti,LC
Dark-eared Myza,Myza celebensis,LC
White-eared Myza,Myza sarasinorum,LC
Banded Honeyeater,Cissomela pectoralis,LC
White-streaked Honeyeater,Trichodere cockerelli,LC
Crescent Honeyeater,Phylidonyris pyrrhopterus,LC
White-cheeked Honeyeater,Phylidonyris niger,LC
New Holland Honeyeater,Phylidonyris novaehollandiae,LC
Scaly-crowned Honeyeater,Lichmera lombokia,LC
Olive Honeyeater,Lichmera argentauris,LC
Brown Honeyeater,Lichmera indistincta,LC
Grey-eared Honeyeater,Lichmera incana,LC
Silver-eared Honeyeater,Lichmera alboauricularis,LC
Scaly-breasted Honeyeater,Lichmera squamata,LC
Buru Honeyeater,Lichmera deningeri,LC
Seram Honeyeater,Lichmera monticola,LC
Flame-eared Honeyeater,Lichmera flavicans,LC
Black-necklaced Honeyeater,Lichmera notabilis,LC
,Lichmera indistincta,NR
,Lichmera limbata,NR
