Common Name,Scientific Name,IUCN
Gunnison Grouse,Centrocercus minimus,EN
,Centrocercus urophasianus,NR
Sharp-tailed Grouse,Tympanuchus phasianellus,LC
Greater Prairie-chicken,Tympanuchus cupido,VU
Lesser Prairie-chicken,Tympanuchus pallidicinctus,VU
Horned Screamer,Anhima cornuta,LC
Northern Screamer,Chauna chavaria,NT
Southern Screamer,Chauna torquata,LC
Magpie Goose,Anseranas semipalmata,LC
White-faced Whistling-duck,Dendrocygna viduata,LC
Black-bellied Whistling-duck,Dendrocygna autumnalis,LC
Spotted Whistling-duck,Dendrocygna guttata,LC
West Indian Whistling-duck,Dendrocygna arborea,NT
Fulvous Whistling-duck,Dendrocygna bicolor,LC
Plumed Whistling-duck,Dendrocygna eytoni,LC
Wandering Whistling-duck,Dendrocygna arcuata,LC
Lesser Whistling-duck,Dendrocygna javanica,LC
White-backed Duck,Thalassornis leuconotus,LC
Black-headed Duck,Heteronetta atricapilla,LC
Masked Duck,Nomonyx dominicus,LC
Ruddy Duck,Oxyura jamaicensis,LC
Andean Duck,Oxyura ferruginea,LC
Lake Duck,Oxyura vittata,LC
Blue-billed Duck,Oxyura australis,NT
Maccoa Duck,Oxyura maccoa,VU
White-headed Duck,Oxyura leucocephala,EN
,Oxyura ferruginea,NR
,Oxyura jamaicensis,NR
,Oxyura jamaicensis,NR
Musk Duck,Biziura lobata,LC
Pink-eared Duck,Malacorhynchus membranaceus,LC
Freckled Duck,Stictonetta naevosa,LC
Cape Barren Goose,Cereopsis novaehollandiae,LC
Coscoroba Swan,Coscoroba coscoroba,LC
Black-necked Swan,Cygnus melancoryphus,LC
Black Swan,Cygnus atratus,LC
Mute Swan,Cygnus olor,LC
Trumpeter Swan,Cygnus buccinator,LC
Whooper Swan,Cygnus cygnus,LC
Tundra Swan,Cygnus columbianus,LC
,Cygnus bewickii,NR
Brent Goose,Branta bernicla,LC
Barnacle Goose,Branta leucopsis,LC
Red-breasted Goose,Branta ruficollis,VU
Cackling Goose,Branta hutchinsii,LC
Canada Goose,Branta canadensis,LC
Hawaiian Goose,Branta sandvicensis,VU
,Branta hrota,NR
,Branta nigricans,NR
,Branta canadensis,NR
Emperor Goose,Anser canagicus,NT
Snow Goose,Anser caerulescens,LC
Ross's Goose,Anser rossii,LC
Bar-headed Goose,Anser indicus,LC
Greylag Goose,Anser anser,LC
Swan Goose,Anser cygnoid,VU
Bean Goose,Anser fabalis,LC
Pink-footed Goose,Anser brachyrhynchus,LC
Greater White-fronted Goose,Anser albifrons,LC
Lesser White-fronted Goose,Anser erythropus,VU
,Anser serrirostris,NR
,Anser middendorfi,NR
Long-tailed Duck,Clangula hyemalis,VU
Spectacled Eider,Somateria fischeri,NT
King Eider,Somateria spectabilis,LC
Common Eider,Somateria mollissima,NT
Steller's Eider,Polysticta stelleri,VU
Surf Scoter,Melanitta perspicillata,LC
Velvet Scoter,Melanitta fusca,VU
Siberian Scoter,Melanitta stejnegeri,LC
White-winged Scoter,Melanitta deglandi,LC
Common Scoter,Melanitta nigra,LC
Black Scoter,Melanitta americana,NT
,Melanitta nigra,NR
,Melanitta fusca,NR
Bufflehead,Bucephala albeola,LC
Common Goldeneye,Bucephala clangula,LC
Barrow's Goldeneye,Bucephala islandica,LC
Smew,Mergellus albellus,LC
Hooded Merganser,Lophodytes cucullatus,LC
Goosander,Mergus merganser,LC
