English Name,Scientific Name,BLI,GEN
Great Myna,Acridotheres grandis,Acridotheres grandis,8.7
Spot-winged Starling,Saroglossa spilopterus,Saroglossa spilopterus,9.6
Jerdon's Leafbird,Chloropsis jerdoni,Chloropsis jerdoni,9
Golden-fronted Leafbird,Chloropsis aurifrons,Chloropsis aurifrons,9
Orange-bellied Leafbird,Chloropsis hardwickii,Chloropsis hardwickii,9
Thick-billed Flowerpecker,Dicaeum agile,Dicaeum agile,7.2
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,Dicaeum erythrorhynchos,7.2
Nilgiri Flowerpecker,Dicaeum concolor,Dicaeum concolor,7.2
Plain Flowerpecker,Dicaeum minullum,Dicaeum minullum,7.8
Andaman Flowerpecker,Dicaeum virescens,Dicaeum minullum,7.8
Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeum ignipectus,6.3
Scarlet-backed Flowerpecker,Dicaeum cruentatum,Dicaeum cruentatum,6
Ruby-cheeked Sunbird,Chalcoparia singalensis,Chalcoparia singalensis,7.2
Purple-rumped Sunbird,Leptocoma zeylonica,Leptocoma zeylonica,6.6
Crimson-backed Sunbird,Leptocoma minima,Leptocoma minima,6.6
Purple Sunbird,Cinnyris asiaticus,Cinnyris asiaticus,14.4
Loten's Sunbird,Cinnyris lotenius,Cinnyris lotenius,9.9
Fire-tailed Sunbird,Aethopyga ignicauda,Aethopyga ignicauda,7.5
Black-throated Sunbird,Aethopyga saturata,Aethopyga saturata,7.2
Mrs Gould's Sunbird,Aethopyga gouldiae,Aethopyga gouldiae,6.9
Green-tailed Sunbird,Aethopyga nipalensis,Aethopyga nipalensis,7.2
Vigors's Sunbird,Aethopyga vigorsii,Aethopyga vigorsii,7.8
Crimson Sunbird,Aethopyga siparaja,Aethopyga siparaja,7.8
Little Spiderhunter,Arachnothera longirostra,Arachnothera longirostra,6.9
Streaked Spiderhunter,Arachnothera magna,Arachnothera magna,8.1
Alpine Accentor,Prunella collaris,Prunella collaris,9
Altai Accentor,Prunella himalayana,Prunella himalayana,8.4
Robin Accentor,Prunella rubeculoides,Prunella rubeculoides,9
Rufous-breasted Accentor,Prunella strophiata,Prunella strophiata,6.9
Black-throated Accentor,Prunella atrogularis,Prunella atrogularis,8.4
Maroon-backed Accentor,Prunella immaculata,Prunella immaculata,7.2
Forest Wagtail,Dendronanthus indicus,Dendronanthus indicus,7.2
Grey Wagtail,Motacilla cinerea,Motacilla cinerea,6.3
Western Yellow Wagtail,Motacilla flava,Motacilla flava,6.3
Citrine Wagtail,Motacilla citreola,Motacilla citreola,8.4
White-browed Wagtail,Motacilla maderaspatensis,Motacilla maderaspatensis,8.4
White Wagtail,Motacilla alba,Motacilla alba,7.8
Richard's Pipit,Anthus richardi,Anthus richardi,6.9
Paddyfield Pipit,Anthus rufulus,Anthus rufulus,6.3
Long-billed Pipit,Anthus similis,Anthus similis,6.9
Blyth's Pipit,Anthus godlewskii,Anthus godlewskii,6.3
Tawny Pipit,Anthus campestris,Anthus campestris,6.6
Nilgiri Pipit,Anthus nilghiriensis,Anthus nilghiriensis,6.9
Upland Pipit,Anthus sylvanus,Anthus sylvanus,6.6
Rosy Pipit,Anthus roseatus,Anthus roseatus,6.3
Tree Pipit,Anthus trivialis,Anthus trivialis,6
Olive-backed Pipit,Anthus hodgsoni,Anthus hodgsoni,6.3
Black-and-yellow Grosbeak,Mycerobas icterioides,Mycerobas icterioides,10.5
Collared Grosbeak,Mycerobas affinis,Mycerobas affinis,11.1
Spot-winged Grosbeak,Mycerobas melanozanthos,Mycerobas melanozanthos,10.5
Common Rosefinch,Carpodacus erythrinus,Carpodacus erythrinus,6.3
Scarlet Finch,Carpodacus sipahi,Carpodacus sipahi,8.4
Blyth's Rosefinch,Carpodacus grandis,Carpodacus rhodochlamys,8.4
Pink-browed Rosefinch,Carpodacus rodochroa,Carpodacus rodochroa,6.6
Spot-winged Rosefinch,Carpodacus rodopeplus,Carpodacus rodopeplus,6.6
Crimson-browed Finch,Carpodacus subhimachalus,Carpodacus subhimachalus,8.4
Himalayan White-browed Rosefinch,Carpodacus thura,Carpodacus thura,7.8
Brown Bullfinch,Pyrrhula nipalensis,Pyrrhula nipalensis,11.1
Orange Bullfinch,Pyrrhula aurantiaca,Pyrrhula aurantiaca,8.1
Red-headed Bullfinch,Pyrrhula erythrocephala,Pyrrhula erythrocephala,10.5
Gold-naped Finch,Pyrrhoplectes epauletta,Pyrrhoplectes epauletta,8.4
Spectacled Finch,Callacanthis burtoni,Callacanthis burtoni,9.6
Dark-breasted Rosefinch,Procarduelis nipalensis,Procarduelis nipalensis,8.4
Plain Mountain Finch,Leucosticte nemoricola,Leucosticte nemoricola,7.2
Yellow-breasted Greenfinch,Chloris spinoides,Chloris spinoides,9
European Goldfinch,Carduelis carduelis,Carduelis carduelis,9
Fire-fronted Serin,Serinus pusillus,Serinus pusillus,6.6
Crested Bunting,Emberiza lathami,Emberiza lathami,8.4
Black-headed Bunting,Emberiza melanocephala,Emberiza melanocephala,8.4
Red-headed Bunting,Emberiza bruniceps,Emberiza bruniceps,6.6
Rock Bunting,Emberiza cia,Emberiza cia,8.4
White-capped Bunting,Emberiza stewarti,Emberiza stewarti,6.3
Grey-necked Bunting,Emberiza buchanani,Emberiza buchanani,6.6
Yellow-breasted Bunting,Emberiza aureola,Emberiza aureola,6.6
House Sparrow,Passer domesticus,Passer domesticus,13.2
Sind Sparrow,Passer pyrrhonotus,Passer pyrrhonotus,9
Russet Sparrow,Passer cinnamomeus,Passer cinnamomeus,6.6
Eurasian Tree Sparrow,Passer montanus,Passer montanus,9.6
Yellow-throated Sparrow,Gymnoris xanthocollis,Gymnoris xanthocollis,7.8
Streaked Weaver,Ploceus manyar,Ploceus manyar,9.6
Baya Weaver,Ploceus philippinus,Ploceus philippinus,12.6
Finn's Weaver,Ploceus megarhynchus,Ploceus megarhynchus,12.9
Black-breasted Weaver,Ploceus benghalensis,Ploceus benghalensis,9.6
Green Munia,Amandava formosa,Amandava formosa,6.3
Red Munia,Amandava amandava,Amandava amandava,7.2
Indian Silverbill,Euodice malabarica,Euodice malabarica,6.3
White-rumped Munia,Lonchura striata,Lonchura striata,6.3
Black-throated Munia,Lonchura kelaarti,Lonchura kelaarti,5.7
Scaly-breasted Munia,Lonchura punctulata,Lonchura punctulata,6.3
Tricoloured Munia,Lonchura malacca,Lonchura malacca,5.7
Chestnut Munia,Lonchura atricapilla,Lonchura atricapilla,5.7
