English Name,Scientific Name,BLI,GEN
Curlew Sandpiper,Calidris ferruginea,Calidris ferruginea,15.6
Temminck's Stint,Calidris temminckii,Calidris temminckii,11.1
Sanderling,Calidris alba,Calidris alba,19.2
Dunlin,Calidris alpina,Calidris alpina,20.4
Little Stint,Calidris minuta,Calidris minuta,12.9
Common Snipe,Gallinago gallinago,Gallinago gallinago,12.3
Pintail Snipe,Gallinago stenura,Gallinago stenura,9.9
Terek Sandpiper,Xenus cinereus,Xenus cinereus,14.1
Common Sandpiper,Actitis hypoleucos,Actitis hypoleucos,13.2
Green Sandpiper,Tringa ochropus,Tringa ochropus,15
Spotted Redshank,Tringa erythropus,Tringa erythropus,13.8
Common Greenshank,Tringa nebularia,Tringa nebularia,18.9
Marsh Sandpiper,Tringa stagnatilis,Tringa stagnatilis,11.7
Wood Sandpiper,Tringa glareola,Tringa glareola,9.9
Common Redshank,Tringa totanus,Tringa totanus,17.1
Yellow-legged Buttonquail,Turnix tanki,Turnix tanki,7.2
Barred Buttonquail,Turnix suscitator,Turnix suscitator,7.2
Indian Courser,Cursorius coromandelicus,Cursorius coromandelicus,11.1
Jerdon's Courser,Rhinoptilus bitorquatus,Rhinoptilus bitorquatus,15
Oriental Pratincole,Glareola maldivarum,Glareola maldivarum,11.4
Little Pratincole,Glareola lactea,Glareola lactea,10.2
Slender-billed Gull,Chroicocephalus genei,Larus genei,28.2
Black-headed Gull,Chroicocephalus ridibundus,Larus ridibundus,28.2
Brown-headed Gull,Chroicocephalus brunnicephalus,Larus brunnicephalus,24.3
Pallas's Gull,Ichthyaetus ichthyaetus,Larus ichthyaetus,38.4
Lesser Black-backed Gull,Larus fuscus,Larus fuscus,37.8
Little Tern,Sternula albifrons,Sternula albifrons,28.8
Gull-billed Tern,Gelochelidon nilotica,Gelochelidon nilotica,28.8
Caspian Tern,Hydroprogne caspia,Hydroprogne caspia,29.1
Whiskered Tern,Chlidonias hybrida,Chlidonias hybrida,15.9
Common Tern,Sterna hirundo,Sterna hirundo,30
Black-bellied Tern,Sterna acuticauda,Sterna acuticauda,20.7
River Tern,Sterna aurantia,Sterna aurantia,23.4
Greater Crested Tern,Thalasseus bergii,Thalasseus bergii,37.2
Lesser Crested Tern,Thalasseus bengalensis,Thalasseus bengalensis,27.3
Indian Skimmer,Rynchops albicollis,Rynchops albicollis,15.9
Asian Openbill,Anastomus oscitans,Anastomus oscitans,18.3
Black Stork,Ciconia nigra,Ciconia nigra,36.9
Woolly-necked Stork,Ciconia episcopus,Ciconia episcopus,27.6
Black-necked Stork,Ephippiorhynchus asiaticus,Ephippiorhynchus asiaticus,32.1
Lesser Adjutant,Leptoptilos javanicus,Leptoptilos javanicus,34.5
Greater Adjutant,Leptoptilos dubius,Leptoptilos dubius,37.8
Painted Stork,Mycteria leucocephala,Mycteria leucocephala,30
Oriental Darter,Anhinga melanogaster,Anhinga melanogaster,21.3
Little Cormorant,Microcarbo niger,Microcarbo niger,13.2
Great Cormorant,Phalacrocorax carbo,Phalacrocorax carbo,22.8
Indian Cormorant,Phalacrocorax fuscicollis,Phalacrocorax fuscicollis,14.7
Great White Pelican,Pelecanus onocrotalus,Pelecanus onocrotalus,37.5
Spot-billed Pelican,Pelecanus philippensis,Pelecanus philippensis,27.6
Dalmatian Pelican,Pelecanus crispus,Pelecanus crispus,33.6
Yellow Bittern,Ixobrychus sinensis,Ixobrychus sinensis,10.5
Cinnamon Bittern,Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,11.7
Black Bittern,Ixobrychus flavicollis,Ixobrychus flavicollis,16.8
Grey Heron,Ardea cinerea,Ardea cinerea,25.5
White-bellied Heron,Ardea insignis,Ardea insignis,18
Purple Heron,Ardea purpurea,Ardea purpurea,18.3
Great Egret,Ardea alba,Ardea alba,17.4
Intermediate Egret,Ardea intermedia,Ardea intermedia,16.2
Little Egret,Egretta garzetta,Egretta garzetta,14.4
Western Reef Egret,Egretta gularis,Egretta gularis,14.4
Cattle Egret,Bubulcus ibis,Bubulcus ibis,20.4
Indian Pond Heron,Ardeola grayii,Ardeola grayii,16.5
Striated Heron,Butorides striata,Butorides striata,12.6
Black-crowned Night Heron,Nycticorax nycticorax,Nycticorax nycticorax,24.6
Malayan Night Heron,Gorsachius melanolophus,Gorsachius melanolophus,14.1
Glossy Ibis,Plegadis falcinellus,Plegadis falcinellus,30.9
Black-headed Ibis,Threskiornis melanocephalus,Threskiornis melanocephalus,27
Indian Black Ibis,Pseudibis papillosa,Pseudibis papillosa,27
Eurasian Spoonbill,Platalea leucorodia,Platalea leucorodia,28.8
Osprey,Pandion haliaetus,Pandion haliaetus,28.2
Black-winged Kite,Elanus caeruleus,Elanus caeruleus,13.5
Bearded Vulture,Gypaetus barbatus,Gypaetus barbatus,47.1
Egyptian Vulture,Neophron percnopterus,Neophron percnopterus,44.1
Oriental Honey Buzzard,Pernis ptilorhynchus,Pernis ptilorhynchus,26.1
Jerdon's Baza,Aviceda jerdoni,Aviceda jerdoni,17.4
Black Baza,Aviceda leuphotes,Aviceda leuphotes,14.4
